gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
AKT3,0.973476601,2.690076087,0.927570137,0.364835019,0.823291967,-4.596281507,,,,,,,,,,,,,,,,,,,
ALCAM,0.691534182,2.425817391,0.891863333,0.383210108,0.823291967,-4.596797024,,,,,,,,,,,,,,,,,,,
ALDH1A1,1.494045934,2.805123913,1.19876977,0.244812342,0.823291967,-4.591843192,,,,,,,,,,,,,,,,,,,
ALDH3A1,0.196863398,8.654563043,1.121253468,0.275636576,0.823291967,-4.593201378,,,,,,,,,,,,,,,,,,,
ALPI,-1.324771218,-6.162502174,-1.178554454,0.252588871,0.823291967,-4.592203892,,,,,,,,,,,,,,,,,,,
ALPP,1.25197861,-7.683782609,1.282681078,0.214462728,0.823291967,-4.59029898,,,,,,,,,,,,,,,,,,,
AMDHD2,0.765687901,5.474552174,0.94898812,0.354102152,0.823291967,-4.595964189,,,,,,,,,,,,,,,,,,,
AMIGO2,0.945909496,-1.826691304,0.82341024,0.420112764,0.823291967,-4.597736994,,,,,,,,,,,,,,,,,,,
AMPD3,1.515987728,1.126995652,1.042805323,0.309643163,0.823291967,-4.594504845,,,,,,,,,,,,,,,,,,,
AMY1A_AMY1B_AMY1C,2.077189803,1.503413043,1.941978663,0.066548476,0.823291967,-4.57608677,,,,,,,,,,,,,,,,,,,
AMY2A,2.179745917,-1.742758696,2.086272871,0.05014606,0.823291967,-4.572634857,,,,,,,,,,,,,,,,,,,
AMY2B,2.290617573,-1.468636957,2.259346773,0.035338418,0.823291967,-4.568406417,,,,,,,,,,,,,,,,,,,
ANG,0.510628317,-1.76575,0.724915098,0.477010694,0.823291967,-4.598973982,,,,,,,,,,,,,,,,,,,
ANGPT1,1.821944883,0.670419565,2.114032432,0.047444121,0.823291967,-4.571962236,,,,,,,,,,,,,,,,,,,
ANGPTL1,1.349054761,2.245973913,1.815700706,0.084639559,0.823291967,-4.579033023,,,,,,,,,,,,,,,,,,,
ANGPTL2,1.103734728,1.08613913,1.373526579,0.184989744,0.823291967,-4.588546342,,,,,,,,,,,,,,,,,,,
ANGPTL3,2.07667227,-5.07165,1.810767532,0.085426169,0.823291967,-4.579146462,,,,,,,,,,,,,,,,,,,
ANGPTL4,0.627293387,2.212343478,0.833515859,0.414527096,0.823291967,-4.597602293,,,,,,,,,,,,,,,,,,,
ANKRA2,1.902911674,-3.515345652,0.753786382,0.459875756,0.823291967,-4.598625838,,,,,,,,,,,,,,,,,,,
ANKRD54,0.877181046,0.15588913,0.77132081,0.449652664,0.823291967,-4.598408503,,,,,,,,,,,,,,,,,,,
ANXA1,0.610240575,3.201543478,0.892372595,0.382943808,0.823291967,-4.596789791,,,,,,,,,,,,,,,,,,,
ANXA2,1.195605302,6.117423913,1.194140058,0.246577161,0.823291967,-4.591926197,,,,,,,,,,,,,,,,,,,
ANXA3,1.855303273,0.9919,1.834021428,0.081773258,0.823291967,-4.578610579,,,,,,,,,,,,,,,,,,,
ANXA4,0.25215702,8.494795652,0.927875455,0.364680495,0.823291967,-4.596277026,,,,,,,,,,,,,,,,,,,
AOC3,0.472288155,-2.085767391,0.731528868,0.473052488,0.823291967,-4.598895304,,,,,,,,,,,,,,,,,,,
AP2B1,0.776775764,1.619152174,0.770523017,0.450114768,0.823291967,-4.598418487,,,,,,,,,,,,,,,,,,,
AP3B1,0.722816467,3.007591304,0.740115501,0.467942728,0.823291967,-4.598792202,,,,,,,,,,,,,,,,,,,
APBB1IP,1.11851786,-0.531421739,1.165562084,0.257683873,0.823291967,-4.59243332,,,,,,,,,,,,,,,,,,,
APCS,2.775095787,-0.280613043,1.845403414,0.080035546,0.823291967,-4.578347229,,,,,,,,,,,,,,,,,,,
APEX1,0.366586522,3.277873913,0.76021712,0.456110251,0.823291967,-4.598546645,,,,,,,,,,,,,,,,,,,
APLP1,0.25328015,5.042493478,0.878442562,0.390272013,0.823291967,-4.596986363,,,,,,,,,,,,,,,,,,,
APOA1,1.319346018,0.182173913,1.597708632,0.125993887,0.823291967,-4.583903866,,,,,,,,,,,,,,,,,,,
APOA2,2.236445894,-6.332541304,1.633559018,0.118201709,0.823291967,-4.583124456,,,,,,,,,,,,,,,,,,,
APOB,2.076653093,-2.248886957,1.78540473,0.089571541,0.823291967,-4.579727542,,,,,,,,,,,,,,,,,,,
APOBR,1.667293479,-2.898080435,1.324559556,0.200449877,0.823291967,-4.589501095,,,,,,,,,,,,,,,,,,,
APOC1,2.067401494,-0.58166087,1.659735889,0.11277263,0.823291967,-4.582549603,,,,,,,,,,,,,,,,,,,
APOD,1.119719401,4.710754348,1.544939545,0.138243595,0.823291967,-4.585033735,,,,,,,,,,,,,,,,,,,
APOE,0.753051893,5.064130435,1.357869082,0.189826597,0.823291967,-4.588854129,,,,,,,,,,,,,,,,,,,
APOF,1.582497576,-2.395513043,1.354848388,0.190771193,0.823291967,-4.588913241,,,,,,,,,,,,,,,,,,,
APOL1,1.889285606,-5.915797826,1.209877522,0.240617105,0.823291967,-4.591643089,,,,,,,,,,,,,,,,,,,
APOM,2.00610485,-5.127393478,1.71931299,0.10120151,0.823291967,-4.581224089,,,,,,,,,,,,,,,,,,,
APRT,0.941652083,5.382345652,1.049589559,0.306588908,0.823291967,-4.594395046,,,,,,,,,,,,,,,,,,,
ARAF,0.824660562,-5.294928261,0.734707119,0.471157317,0.823291967,-4.598857267,,,,,,,,,,,,,,,,,,,
ARF6,2.406026028,-0.751958696,1.400677106,0.176835901,0.823291967,-4.588007194,,,,,,,,,,,,,,,,,,,
ARFIP1,0.909691431,1.993043478,1.061274117,0.301379072,0.823291967,-4.594204622,,,,,,,,,,,,,,,,,,,
ARG1,2.135960257,-1.603286957,1.391104209,0.179677314,0.823291967,-4.588198069,,,,,,,,,,,,,,,,,,,
ARG2,1.389663149,1.145597826,1.437757631,0.166168807,0.823291967,-4.587260003,,,,,,,,,,,,,,,,,,,
ARHGAP1,2.962691118,-1.623073913,1.949003014,0.065650939,0.823291967,-4.575920661,,,,,,,,,,,,,,,,,,,
ARHGAP25,1.51561999,-1.069213043,1.417369184,0.171967768,0.823291967,-4.587672369,,,,,,,,,,,,,,,,,,,
ARHGAP45,2.040844855,1.597480435,1.488026633,0.152546729,0.823291967,-4.586227798,,,,,,,,,,,,,,,,,,,
ARHGEF1,1.879315671,-0.8616,1.611938525,0.122850796,0.823291967,-4.583595611,,,,,,,,,,,,,,,,,,,
ARHGEF10,0.824935238,0.356430435,0.880410804,0.389231036,0.823291967,-4.596958748,,,,,,,,,,,,,,,,,,,
ARHGEF12,1.055122383,1.560078261,0.849081375,0.406016649,0.823291967,-4.597392039,,,,,,,,,,,,,,,,,,,
ARHGEF5,1.28221336,3.175904348,1.105724865,0.282141357,0.823291967,-4.593465199,,,,,,,,,,,,,,,,,,,
ARMCX2,1.359065186,-2.126126087,0.974847999,0.341432511,0.823291967,-4.595573103,,,,,,,,,,,,,,,,,,,
ASAH2,1.359644808,-5.815852174,1.895354912,0.072786229,0.823291967,-4.577183653,,,,,,,,,,,,,,,,,,,
ASGR1,1.001881464,-2.952547826,0.813220226,0.425793087,0.823291967,-4.597871374,,,,,,,,,,,,,,,,,,,
ASGR2,1.758398635,1.540271739,1.570477503,0.132196812,0.823291967,-4.584489574,,,,,,,,,,,,,,,,,,,
ASPN,1.149487614,-1.6254,1.979997662,0.061817699,0.823291967,-4.575185182,,,,,,,,,,,,,,,,,,,
ASPSCR1,1.7501857,3.431921739,1.304984321,0.206907817,0.823291967,-4.589876236,,,,,,,,,,,,,,,,,,,
ASS1,0.831237257,4.323023913,1.136116256,0.269514587,0.823291967,-4.592946247,,,,,,,,,,,,,,,,,,,
ATG16L1,1.101977081,2.130895652,1.130000469,0.272021411,0.823291967,-4.593051538,,,,,,,,,,,,,,,,,,,
ATG4A,1.682946264,0.273628261,1.534497946,0.140781217,0.823291967,-4.585254758,,,,,,,,,,,,,,,,,,,
ATP1B2,2.169359499,-1.070808696,2.315061486,0.031502426,0.823291967,-4.567030681,,,,,,,,,,,,,,,,,,,
ATP5F1D,-1.007972387,-0.954528261,-0.962931092,0.347231719,0.823291967,-4.595754399,,,,,,,,,,,,,,,,,,,
ATP5PO,1.211952789,0.694419565,1.106991669,0.281606537,0.823291967,-4.593443782,,,,,,,,,,,,,,,,,,,
ATRN,1.558992427,2.544841304,1.652681038,0.114214572,0.823291967,-4.582704997,,,,,,,,,,,,,,,,,,,
ATXN10,1.254302885,4.471841304,1.29024074,0.211878327,0.823291967,-4.590156255,,,,,,,,,,,,,,,,,,,
ATXN2,0.952344311,-1.085384783,1.166470089,0.257325317,0.823291967,-4.592417347,,,,,,,,,,,,,,,,,,,
ATXN3,1.008259358,1.942619565,0.989739312,0.33428021,0.823291967,-4.595343998,,,,,,,,,,,,,,,,,,,
AXIN1,0.924865804,-0.091736957,1.042341113,0.309852939,0.823291967,-4.594512338,,,,,,,,,,,,,,,,,,,
AXL,0.436583852,2.418404348,0.730485091,0.47367587,0.823291967,-4.598907763,,,,,,,,,,,,,,,,,,,
AZI2,0.952311776,0.485697826,0.905719032,0.376008372,0.823291967,-4.596599003,,,,,,,,,,,,,,,,,,,
AZU1,2.662428672,-2.175021739,1.550418932,0.136927198,0.823291967,-4.584917407,,,,,,,,,,,,,,,,,,,
B2M,0.159000993,8.81831087,1.112786784,0.279169402,0.823291967,-4.593345571,,,,,,,,,,,,,,,,,,,
B3GAT3,0.481725306,0.858202174,0.81916489,0.422473443,0.823291967,-4.597793156,,,,,,,,,,,,,,,,,,,
B4GALT1,1.194828089,-0.883147826,1.047759312,0.307410757,0.823291967,-4.594424723,,,,,,,,,,,,,,,,,,,
B4GAT1,0.346716262,5.769732609,1.032709015,0.314228497,0.823291967,-4.594667201,,,,,,,,,,,,,,,,,,,
BABAM1,1.084935747,-0.510041304,1.114258128,0.278553095,0.823291967,-4.593320573,,,,,,,,,,,,,,,,,,,
BACH1,1.380230937,1.504793478,1.777258101,0.090939571,0.823291967,-4.579913413,,,,,,,,,,,,,,,,,,,
BAG3,1.534374261,-0.217469565,1.041137577,0.310397287,0.823291967,-4.59453175,,,,,,,,,,,,,,,,,,,
BAG4,1.045682356,3.80693913,0.756804008,0.458106461,0.823291967,-4.598588751,,,,,,,,,,,,,,,,,,,
BAG6,1.039944802,0.301678261,1.251742498,0.225295218,0.823291967,-4.590876978,,,,,,,,,,,,,,,,,,,
BAMBI,-0.325074953,3.750632609,-0.756221027,0.458447954,0.823291967,-4.598595927,,,,,,,,,,,,,,,,,,,
BANK1,2.746902878,-3.228697826,2.199573524,0.039927412,0.823291967,-4.569875425,,,,,,,,,,,,,,,,,,,
BAP18,1.866403814,-1.451658696,0.997495316,0.330596491,0.823291967,-4.595223553,,,,,,,,,,,,,,,,,,,
BATF,2.236436344,-6.578404348,1.198449599,0.244934081,0.823291967,-4.59184894,,,,,,,,,,,,,,,,,,,
BAX,1.911489929,5.646315217,1.292659341,0.211056625,0.823291967,-4.59011047,,,,,,,,,,,,,,,,,,,
BCAM,0.937270908,3.313245652,0.955888151,0.350690652,0.823291967,-4.595860685,,,,,,,,,,,,,,,,,,,
BCHE,1.795294748,-1.23858913,1.970914155,0.062919911,0.823291967,-4.575401146,,,,,,,,,,,,,,,,,,,
BCL2L1,1.111306945,1.773217391,0.978179608,0.339823238,0.823291967,-4.595522092,,,,,,,,,,,,,,,,,,,
BCL2L15,1.98498434,-1.544795652,1.023826827,0.318302034,0.823291967,-4.594808993,,,,,,,,,,,,,,,,,,,
BCL7A,1.705702433,-1.807769565,0.75316363,0.460241401,0.823291967,-4.598633476,,,,,,,,,,,,,,,,,,,
BCR,0.743347315,-0.101956522,0.72920012,0.474443971,0.823291967,-4.59892308,,,,,,,,,,,,,,,,,,,
BDNF,1.925811412,-1.026593478,1.758264861,0.09419946,0.823291967,-4.580345253,,,,,,,,,,,,,,,,,,,
BEX3,-4.099741688,-5.832213043,-3.47145807,0.002445551,0.823291967,-4.538762583,,,,,,,,,,,,,,,,,,,
BGLAP,1.351476889,-1.096954348,0.919348243,0.369012739,0.823291967,-4.596401715,,,,,,,,,,,,,,,,,,,
BGN,1.64462894,-0.389756522,1.360492195,0.189009344,0.823291967,-4.588802727,,,,,,,,,,,,,,,,,,,
BHMT2,1.311806301,0.671604348,2.160888363,0.043181121,0.823291967,-4.57082164,,,,,,,,,,,,,,,,,,,
BIN2,2.641607497,-0.889932609,1.92585971,0.068649322,0.823291967,-4.576467116,,,,,,,,,,,,,,,,,,,
BLMH,0.786443325,1.886241304,1.015824647,0.322003772,0.823291967,-4.594935896,,,,,,,,,,,,,,,,,,,
BLNK,1.6604485,4.216302174,1.234736907,0.231426144,0.823291967,-4.591190424,,,,,,,,,,,,,,,,,,,
BLOC1S2,-1.658273482,-1.559015217,-0.93512102,0.361026402,0.823291967,-4.596170324,,,,,,,,,,,,,,,,,,,
BLOC1S3,0.876497604,1.500704348,0.78633316,0.441011257,0.823291967,-4.598218921,,,,,,,,,,,,,,,,,,,
BLVRB,0.939725811,4.371545652,1.031778662,0.314653435,0.823291967,-4.594682099,,,,,,,,,,,,,,,,,,,
BMPER,0.955871805,0.743469565,0.998205223,0.330260739,0.823291967,-4.595212491,,,,,,,,,,,,,,,,,,,
BNIP2,0.830303694,1.088108696,1.002610468,0.328182587,0.823291967,-4.595143702,,,,,,,,,,,,,,,,,,,
BNIP3L,1.028341386,4.65861087,0.825307203,0.419060639,0.823291967,-4.597711817,,,,,,,,,,,,,,,,,,,
BOC,0.842185251,-1.367613043,1.110039765,0.280322728,0.823291967,-4.593392174,,,,,,,,,,,,,,,,,,,
BOLA1,1.267459297,2.102197826,1.221270186,0.236371168,0.823291967,-4.591436464,,,,,,,,,,,,,,,,,,,
BOLA2_BOLA2B,0.610901628,3.725004348,0.990408235,0.333961385,0.823291967,-4.59533364,,,,,,,,,,,,,,,,,,,
BPIFB1,1.778978276,-7.15236087,1.191349939,0.247645366,0.823291967,-4.591976107,,,,,,,,,,,,,,,,,,,
BPIFB2,1.879492943,-2.252704348,1.651226029,0.114513898,0.823291967,-4.582737003,,,,,,,,,,,,,,,,,,,
BRAP,1.985843079,1.035223913,1.538527278,0.139797432,0.823291967,-4.585169569,,,,,,,,,,,,,,,,,,,
BRD1,-1.990502559,-1.849254348,-1.105020447,0.282439069,0.823291967,-4.593477099,,,,,,,,,,,,,,,,,,,
BRD3,1.11938482,0.72465,0.74592254,0.464505804,0.823291967,-4.598721866,,,,,,,,,,,,,,,,,,,
BRK1,1.250415548,0.00553913,1.23695015,0.23062106,0.823291967,-4.591149803,,,,,,,,,,,,,,,,,,,
BST1,1.218429441,-1.6214,1.58731067,0.128333015,0.823291967,-4.584128168,,,,,,,,,,,,,,,,,,,
BST2,1.544247842,1.335915217,1.155378931,0.261730626,0.823291967,-4.592611817,,,,,,,,,,,,,,,,,,,
BTD,0.898602361,4.10861087,1.929698891,0.068143689,0.823291967,-4.576376632,,,,,,,,,,,,,,,,,,,
BTN1A1,0.635634443,-1.655852174,0.87530255,0.391936494,0.823291967,-4.59703031,,,,,,,,,,,,,,,,,,,
BTN2A1,0.398692937,3.934752174,0.806458886,0.42958866,0.823291967,-4.597959734,,,,,,,,,,,,,,,,,,,
BTNL10,1.515786345,-0.944954348,1.233096814,0.232024127,0.823291967,-4.591220493,,,,,,,,,,,,,,,,,,,
C19orf12,1.346323417,-0.55653913,1.503087689,0.148648178,0.823291967,-4.585914376,,,,,,,,,,,,,,,,,,,
C1GALT1C1,2.850982117,-1.578815217,2.00854045,0.058465446,0.823291967,-4.57450439,,,,,,,,,,,,,,,,,,,
C1QA,1.129777253,-0.12501087,1.3925395,0.179248977,0.823291967,-4.588169504,,,,,,,,,,,,,,,,,,,
C1QL2,0.95763244,-0.699454348,1.147208606,0.265011554,0.823291967,-4.592754183,,,,,,,,,,,,,,,,,,,
C1QTNF6,0.949813913,-1.1253,1.207354909,0.241565041,0.823291967,-4.591688651,,,,,,,,,,,,,,,,,,,
C1R,1.752681869,2.695280435,2.224003974,0.037989622,0.823291967,-4.569275974,,,,,,,,,,,,,,,,,,,
C1RL,1.527587777,2.832693478,1.572303802,0.13177297,0.823291967,-4.584450468,,,,,,,,,,,,,,,,,,,
C1S,2.08434835,4.288,1.977843492,0.062077523,0.823291967,-4.575236429,,,,,,,,,,,,,,,,,,,
C2,2.124007377,-5.332173913,1.516040512,0.145361226,0.823291967,-4.585643333,,,,,,,,,,,,,,,,,,,
C2CD2L,0.882227077,-0.432421739,1.037379566,0.312101372,0.823291967,-4.594592252,,,,,,,,,,,,,,,,,,,
C3,0.519204239,0.9124,0.945053966,0.356057349,0.823291967,-4.596022926,,,,,,,,,,,,,,,,,,,
C4BPB,1.121532733,-2.718880435,1.263381816,0.221171506,0.823291967,-4.590660694,,,,,,,,,,,,,,,,,,,
C5,1.889325773,1.116317391,1.551942998,0.136562906,0.823291967,-4.584885009,,,,,,,,,,,,,,,,,,,
C7,1.508905591,4.195691304,1.93164171,0.067889071,0.823291967,-4.576330817,,,,,,,,,,,,,,,,,,,
C7orf50,0.73518885,1.022345652,0.745040946,0.465026604,0.823291967,-4.598732576,,,,,,,,,,,,,,,,,,,
C8B,1.62934882,1.235023913,1.451459508,0.162361401,0.823291967,-4.586980813,,,,,,,,,,,,,,,,,,,
C9,1.066338843,0.434213043,1.313266399,0.204155928,0.823291967,-4.589717982,,,,,,,,,,,,,,,,,,,
C9orf40,1.442222134,0.453652174,0.980669858,0.338623794,0.823291967,-4.59548387,,,,,,,,,,,,,,,,,,,
CA1,1.818666506,0.751028261,1.042920969,0.309590919,0.823291967,-4.594502978,,,,,,,,,,,,,,,,,,,
CA12,-0.850330417,3.103343478,-1.044369363,0.30893712,0.823291967,-4.594479582,,,,,,,,,,,,,,,,,,,
CA13,1.426098476,4.707669565,1.641875002,0.116453507,0.823291967,-4.582942351,,,,,,,,,,,,,,,,,,,
CA3,1.595653215,3.478828261,1.335703235,0.196844938,0.823291967,-4.589285851,,,,,,,,,,,,,,,,,,,
