gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
MIA-RAB4B,0.550912661,5.689080773,1.170090407,0.241978979,0.99669898,-4.872669316,NA
MIA2,0.246532968,5.330824713,0.453285158,0.650348494,0.99669898,-5.235828012,NA
MIB1,0.180826188,8.273169813,0.769424898,0.441650491,0.99669898,-5.766258545,NA
MIB2,-0.119615375,6.255136971,-0.299128913,0.764844894,0.99669898,-5.525709251,NA
MICA,0.238752456,5.598067046,0.489671373,0.624372005,0.99669898,-5.303695152,NA
MICAL2,-0.177590434,8.956443685,-0.882509851,0.377512102,0.99669898,-5.820311671,NA
MICALL1,0.401660745,6.784757097,1.242261429,0.214155155,0.99669898,-5.055779488,NA
MICALL2,0.062097511,7.080065318,0.204527369,0.837943555,0.99669898,-5.788873004,NA
MICB,-0.212805978,5.24320169,-0.363446314,0.716275475,0.99669898,-5.210386303,NA
MID1IP1,-0.896974767,5.080536702,-1.322413049,0.186046253,0.99669898,-4.566082055,NA
MID2,0.352321918,7.068283839,1.134514272,0.256592924,0.99669898,-5.203126405,NA
MIDN,-0.045116019,6.672621343,-0.132446048,0.89463287,0.99669898,-5.696375306,NA
MIEF2,-0.199230989,5.26053962,-0.344577899,0.730415463,0.99669898,-5.22429903,NA
MIEN1,-1.082263285,3.968977388,-1.110411884,0.266835358,0.99669898,-4.633480326,NA
MIF,0.493636522,4.519878948,0.711095464,0.47703364,0.99669898,-4.971988976,NA
MIGA1,0.397243861,7.240523228,1.28633123,0.198342856,0.99669898,-5.040597018,NA
MINK1,0.205136745,7.099502989,0.695289349,0.486882325,0.99669898,-5.612694633,NA
MINOS1,0.196044908,5.764426594,0.458869631,0.646332935,0.99669898,-5.419603319,NA
MIOS,-0.080137917,6.373982639,-0.21159101,0.832428349,0.99669898,-5.591399949,NA
MIPEP,0.171759931,8.03834442,0.687844377,0.49155902,0.99669898,-5.766894854,NA
MIS18A,0.405084337,4.965624569,0.650691318,0.515253484,0.99669898,-5.064238012,NA
MISP3,-1.031262328,4.831517406,-1.668366217,0.095259206,0.99669898,-4.227043633,NA
MITF,0.190958663,8.770732242,0.901786894,0.367181291,0.99669898,-5.756738932,NA
MKL1,-0.245527232,8.525656817,-1.101785998,0.270568403,0.99669898,-5.519577493,NA
MKL2,0.127284819,8.135777452,0.535465431,0.5923342,0.99669898,-5.899926329,NA
MKLN1,0.224694479,9.141975184,1.153741469,0.248620407,0.99669898,-5.58522934,Matrisome/cell adhesion/binding/signaling
MKNK1,0.329585271,6.979965981,1.09708883,0.272616195,0.99669898,-5.267989255,NA
MKRN2,0.237793239,5.913584798,0.529196794,0.596675002,0.99669898,-5.350452618,NA
MKS1,-0.07003679,4.769521306,-0.108676123,0.913460506,0.99669898,-5.186183028,NA
MLANA,-0.388308233,5.296762813,-0.745475806,0.455993174,0.99669898,-5.131296408,NA
MLEC,-0.39723718,5.729277266,-0.850645267,0.394976946,0.99669898,-5.140134324,Inflammation/Immune/Stress/Toxic/Detox
MLF2,-0.449782738,6.936810511,-1.418251312,0.156133487,0.99669898,-4.858901554,NA
MLH1,-0.266161898,6.96839169,-0.841712178,0.399959467,0.99669898,-5.450492387,NA
MLH3,0.35277508,5.888371352,0.840198664,0.400807374,0.99669898,-5.224809801,NA
MLLT1,-0.263109014,7.520127319,-0.939574887,0.347447374,0.99669898,-5.474401721,NA
MLLT10,-0.044337779,8.499386531,-0.198933347,0.842316971,0.99669898,-6.077457796,NA
MLLT3,0.348954344,8.649228977,1.594916036,0.110747321,0.99669898,-4.902976476,NA
MLNR,-0.586650272,3.961892018,-0.61665887,0.537467,0.99669898,-4.856665179,NA
MLST8,-0.219452809,4.894786594,-0.35921492,0.71943823,0.99669898,-5.181745969,NA
MLXIP,-0.403821265,7.287567781,-1.384163995,0.166324185,0.99669898,-4.965210229,NA
MLXIPL,0.244042032,6.399546053,0.662671518,0.507548836,0.99669898,-5.44314862,NA
MLYCD,0.113678664,6.610486764,0.325278697,0.744973664,0.99669898,-5.634535673,NA
MMD,-0.122819043,5.849521229,-0.268722771,0.788145888,0.99669898,-5.422369324,NA
MMGT1,-1.468215675,4.561852619,-1.579639567,0.114205754,0.99669898,-4.31256493,NA
MMP14,-0.431872228,6.047582443,-1.034017827,0.301140733,0.99669898,-5.075308828,NA
MMP15,-0.126909494,6.560298003,-0.365827494,0.714497796,0.99669898,-5.628566479,NA
MMP19,0.269322571,4.113201232,0.326092771,0.744357688,0.99669898,-5.000486582,NA
MMP23B,-0.862650917,2.850934185,-0.639952231,0.522211222,0.99669898,-4.735144099,NA
MMP24,-0.363888688,7.091543572,-1.183605365,0.236583835,0.99669898,-5.159439774,NA
MMP24-AS1,-0.207711745,7.596578223,-0.764361589,0.444661099,0.99669898,-5.638898955,NA
MMP28,-0.335416034,6.846410537,-0.978598207,0.327790762,0.99669898,-5.272532358,NA
MMS19,-0.250615638,6.957210555,-0.807388947,0.419452343,0.99669898,-5.491888139,NA
MOAP1,-0.378448817,4.759569652,-0.501089935,0.616313522,0.99669898,-5.006970392,NA
MOB1A,-0.596280961,5.698998724,-1.247101994,0.212375174,0.99669898,-4.788459227,NA
MOB3B,0.116373282,8.880176508,0.565477668,0.571755457,0.99669898,-6.019261413,Development (cell cycle)
MOGAT3,1.492877151,3.673299518,1.58872805,0.112138118,0.99669898,-4.306210982,NA
MOGS,-1.072847986,4.468550964,-1.315149157,0.18847534,0.99669898,-4.530031803,NA
MOK,-0.073535468,7.091033431,-0.245962887,0.805713567,0.99669898,-5.794363612,NA
