gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
RP13-1032I1.10,-0.686102874,6.729866751,-0.422984494,0.672313063,0.984540386,-5.011428229,NA
RP13-279N23.2,0.241690773,7.556504475,0.184982626,0.853245339,0.984540386,-5.196570938,NA
RP3-382I10.7,-1.204219264,7.349946329,-0.885955528,0.375656689,0.984540386,-4.91017498,NA
RP3-468K18.5,-0.94854204,6.153294814,-0.564029934,0.572742784,0.984540386,-4.949990975,NA
RP4-559A3.7,-0.287428953,6.994027168,-0.194351726,0.845903302,0.984540386,-5.112031518,NA
RP4-583P15.15,0.444067384,6.201545917,0.272490131,0.785249192,0.984540386,-5.040586056,NA
RP4-635E18.9,0.208479324,6.417455231,0.131812684,0.895134345,0.984540386,-5.076144821,NA
RP4-734P14.4,-1.341748349,6.81828587,-0.859197332,0.390246347,0.984540386,-4.857714977,NA
RP5-850E9.3,-0.602950217,6.621187301,-0.373666405,0.708658173,0.984540386,-5.026430987,NA
RP5-994D16.12,0.707983638,6.546610805,0.462586388,0.643668048,0.984540386,-5.034056705,NA
RP9,-0.94854204,6.153294814,-0.564029934,0.572742784,0.984540386,-4.949990975,NA
RPA2,-0.824951901,6.783396492,-0.515681359,0.606085109,0.984540386,-4.992511868,NA
RPA3,-0.162224075,7.461919655,-0.111046732,0.911580879,0.984540386,-5.128356494,NA
RPGR,0.682471888,6.089572592,0.431026438,0.666455775,0.984540386,-5.023137368,NA
RPGRIP1,-0.801875738,7.004483127,-0.529969662,0.596141359,0.984540386,-5.019332801,NA
RPL13,1.356364353,5.885545537,0.827161205,0.408159777,0.984540386,-4.852471857,NA
RPL15,1.521180709,6.173770939,0.933984262,0.350328099,0.984540386,-4.798274752,NA
RPL17-C18orf32,1.383621347,5.705878452,0.874510869,0.381855086,0.984540386,-4.843556784,NA
RPL18,-0.309146949,6.388274113,-0.184143281,0.853903717,0.984540386,-5.035229968,NA
RPL22,0.710005565,6.465706334,0.467023289,0.640490474,0.984540386,-5.036682097,NA
RPL23,-0.210333097,6.102485717,-0.124361779,0.901030618,0.984540386,-5.036354933,NA
RPL26L1,-0.321772137,6.575970298,-0.20851551,0.834829503,0.984540386,-5.083236725,NA
RPL35,0.898977042,6.053885124,0.539407307,0.589614407,0.984540386,-4.962783403,NA
RPL36A-HNRNPH2,-0.29686873,5.64684807,-0.178608749,0.858247506,0.984540386,-5.041714815,NA
RPL39,-0.469594178,5.987897012,-0.280177827,0.779345212,0.984540386,-5.02294956,NA
RPL4,0.898037861,6.482888583,0.573431277,0.566361917,0.984540386,-4.984692891,NA
RPL41,-0.544397195,6.042057371,-0.327169209,0.743544793,0.984540386,-5.018598725,NA
RPN1,0.216960414,7.986232366,0.185070057,0.853176764,0.984540386,-5.274821497,NA
RPP38,-0.588861272,6.436525216,-0.366296308,0.714149513,0.984540386,-5.030266693,NA
RPS17,1.055384043,6.215694067,0.673468104,0.500660637,0.984540386,-4.945275228,NA
RPS5,-0.727329072,6.129229829,-0.423641483,0.671833797,0.984540386,-4.979833944,NA
RPS6,0.626505057,6.276122413,0.394155104,0.693472526,0.984540386,-5.030337385,NA
RPS6KA4,0.332312422,6.309340548,0.208658512,0.834717861,0.984540386,-5.06378679,NA
RPS6KA6,0.242858556,6.458188014,0.152282454,0.878966355,0.984540386,-5.069244944,NA
RRAS,-0.127466757,7.385152262,-0.090853155,0.927610571,0.984540386,-5.156605824,NA
RRAS2,0.242450173,7.076118312,0.156513834,0.87563027,0.984540386,-5.086853529,NA
RRM2,-0.469594178,5.987897012,-0.280177827,0.779345212,0.984540386,-5.02294956,NA
RRP8,0.30884384,6.237568156,0.19531001,0.845153092,0.984540386,-5.069813877,NA
RSAD1,-0.310532583,5.685402327,-0.187355816,0.851384374,0.984540386,-5.042418598,NA
RSBN1L,-0.309894358,7.272456867,-0.205820442,0.836934162,0.984540386,-5.09907612,NA
RSF1,-0.223579021,7.870781759,-0.179656754,0.857424643,0.984540386,-5.231832771,NA
RSPH1,0.671428168,6.498924469,0.44290788,0.657839202,0.984540386,-5.045406014,Cilia
RSPH3,0.619642025,5.911008486,0.382768477,0.70189724,0.984540386,-5.022452625,Cilia
RSPH4A,-0.212075501,6.175168903,-0.125931859,0.89978767,0.984540386,-5.038761734,Cilia
RSPO3,-0.337030984,6.617893426,-0.20371669,0.838577856,0.984540386,-5.04158279,Development (differentiation)
RSRC2,0.548926543,6.053885124,0.338966896,0.734639746,0.984540386,-5.031905909,NA
RSRP1,0.356018126,7.320586837,0.235322887,0.81396157,0.984540386,-5.091853383,NA
RTF1,-0.21476093,7.242414772,-0.148624293,0.88185224,0.984540386,-5.132310006,NA
RTKN2,0.475121104,6.617770559,0.319382252,0.749441427,0.984540386,-5.087366403,NA
RTN2,0.20392019,6.842488078,0.131777701,0.895162016,0.984540386,-5.089758801,NA
RTN3,-1.185111945,7.683914494,-0.854215297,0.393000307,0.984540386,-4.918406052,NA
RTN4IP1,0.289696605,6.384801863,0.181446945,0.856019397,0.984540386,-5.065548378,NA
RTN4R,0.180122696,7.017794567,0.115819101,0.907797571,0.984540386,-5.087870393,NA
RTN4RL2,-0.765124196,6.740721025,-0.462492648,0.643735252,0.984540386,-4.989829691,NA
RUFY3,0.906226007,7.646360081,0.670628246,0.502468432,0.984540386,-5.029327512,NA
RUFY4,0.363323855,7.196367343,0.246545849,0.805263327,0.984540386,-5.106796131,NA
RUNDC3A,-0.418082588,5.945973884,-0.246259335,0.805485092,0.984540386,-5.020846946,NA
RUNX2,0.766790521,9.286400725,0.87632779,0.380866878,0.984540386,-5.197660712,NA
RUNX3,0.229394538,8.112299491,0.178256604,0.858524034,0.984540386,-5.208111241,NA
RUSC2,0.915061824,6.8385462,0.632190228,0.527272892,0.984540386,-5.006083146,NA
RXFP1,-0.33948817,8.52607597,-0.286193096,0.774734461,0.984540386,-5.248326058,NA
RYR1,-0.570628928,8.305477183,-0.496592651,0.619484124,0.984540386,-5.209381592,Transport
S100A11,-0.179711233,6.906557123,-0.118316941,0.90581823,0.984540386,-5.102619909,Transport
