gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
GPR156,0.284414655,3.875933021,0.402153123,0.690004498,0.99988663,-5.390962599,NA,0.011214953
GPR157,0.154466185,5.222612648,0.331650744,0.742120828,0.99988663,-5.635813449,NA,0.044859813
GPR160,-0.448830218,4.022520308,-0.500353016,0.619942504,0.99988663,-5.324770249,NA,0.005607477
GPR161,0.245911893,5.208834283,0.527374225,0.601244276,0.99988663,-5.564298624,NA,0.054205607
GPR173,0.145463329,5.73586871,0.375678543,0.709411852,0.99988663,-5.740949259,NA,0.061682243
GPR180,0.309854322,4.707230701,0.602744064,0.550545173,0.99988663,-5.428855103,NA,0.028037383
GPR39,0.154919428,4.018739195,0.233738834,0.816542659,0.99988663,-5.466096721,NA,0.014953271
GPR63,0.376655043,4.931215801,0.807350922,0.424889825,0.99988663,-5.375910652,NA,0.029906542
GPR89A,0.513523433,3.983480645,0.806136542,0.42558037,0.99988663,-5.193058601,NA,0.020560748
GPR89B,0.268454577,4.788973614,0.424138992,0.674047023,0.99988663,-5.469765669,NA,0.041121495
GPRASP1,0.377624696,5.678443513,1.031154494,0.309506045,0.99988663,-5.332655921,NA,0.065420561
GPRC5D-AS1,-0.1062844,4.666172423,-0.17460377,0.862392023,0.99988663,-5.559003114,NA,0.020560748
GPS1,0.752713463,3.566714016,1.047907283,0.301828026,0.99988663,-4.97839058,NA,0.013084112
GPS2,-0.124104212,4.360443114,-0.188076402,0.851897492,0.99988663,-5.473868347,NA,0.014953271
GPSM1,0.531459592,4.376996257,0.953172105,0.347006882,0.99988663,-5.133053058,NA,0.029906542
GPSM2,0.80988343,4.203611845,1.311037337,0.198339166,0.99988663,-4.788268237,NA,0.024299065
GPT2,0.257302299,5.148858173,0.564875208,0.575743452,0.99988663,-5.544233779,NA,0.037383178
GPX4,-0.41084323,5.31997762,-0.768597738,0.447261653,0.99988663,-5.412499608,Inflammation/Immune/Stress/Toxic/Detox,0.035514019
GRAMD1A,0.096980843,5.741489989,0.240332553,0.811467539,0.99988663,-5.777008552,Metabolism or Transport (lipid),0.065420561
GRAMD1C,0.034116849,4.93013182,0.062376449,0.950616123,0.99988663,-5.629273055,Metabolism or Transport (lipid),0.028037383
GRAMD2B,0.156790522,7.722685291,0.802527784,0.427636484,0.99988663,-6.084508853,Metabolism or Transport (lipid),0.259813084
GRAMD4,0.269927582,4.735522702,0.525446086,0.602569688,0.99988663,-5.468182375,Metabolism or Transport (lipid),0.037383178
GRB14,0.227508366,4.972877874,0.396203823,0.694347752,0.99988663,-5.545342464,NA,0.037383178
GRB2,0.226898409,6.63720434,0.798554089,0.429907491,0.99988663,-5.735425869,NA,0.121495327
GREB1,-0.129422347,4.598036094,-0.211071712,0.834049302,0.99988663,-5.550994394,NA,0.020560748
GREM1,0.062610894,3.900286716,0.064547106,0.94890001,0.99988663,-5.451206081,NA,0.009345794
GREM2,0.304351223,4.015939131,0.445174917,0.658920784,0.99988663,-5.385958902,NA,0.009345794
GRHL1,0.690712101,3.793613054,1.05511427,0.298565983,0.99988663,-4.981001659,Development (differentiation),0.014953271
GRHL1,0.690712101,3.793613054,1.05511427,0.298565983,0.99988663,-4.981001659,Matrisome/cell adhesion/binding/signaling,0.014953271
GRHPR,0.692619532,4.211901242,1.234886413,0.225057649,0.99988663,-4.864434693,NA,0.028037383
GRIA1,-0.299709942,4.569490439,-0.483783703,0.631537412,0.99988663,-5.423360147,NA,0.013084112
GRIA3,0.415274559,4.60365115,0.708509201,0.483297974,0.99988663,-5.331408397,NA,0.029906542
GRIA4,0.019790207,4.562870926,0.031536004,0.975020329,0.99988663,-5.549340868,NA,0.01682243
GRIK1,0.386025427,5.007623144,0.708779364,0.483132349,0.99988663,-5.439586393,NA,0.039252336
GRIK2,0.019619657,5.529853717,0.038556475,0.969461989,0.99988663,-5.725114241,NA,0.035514019
GRIK4,-0.016387192,4.872635521,-0.029374974,0.976731556,0.99988663,-5.622182974,NA,0.028037383
GRIK5,0.099525727,5.99298434,0.277330498,0.783149623,0.99988663,-5.842077112,NA,0.091588785
GRIN2A,-0.13318496,6.159523084,-0.333770383,0.74053435,0.99988663,-5.826425421,NA,0.074766355
GRIN2B,0.594959295,4.39522395,0.797499023,0.430511697,0.99988663,-5.281843094,NA,0.024299065
GRINA,0.404370917,4.715320947,0.701483465,0.487616423,0.99988663,-5.398485065,NA,0.028037383
GRIPAP1,-0.364719192,5.654073702,-0.842916252,0.404970216,0.99988663,-5.417812315,NA,0.063551402
GRK2,-0.008960041,5.378833297,-0.019711275,0.984385076,0.99988663,-5.719785521,NA,0.042990654
GRK3,-0.601937386,5.662185135,-1.321016404,0.195024871,0.99988663,-4.968198779,NA,0.039252336
GRK4,-0.319606019,5.273004353,-0.639191984,0.526838612,0.99988663,-5.450131395,NA,0.039252336
GRK6,-0.077449854,4.064624081,-0.112952962,0.910709982,0.99988663,-5.433110078,NA,0.007476636
GRM1,0.617375055,4.326335574,0.99075009,0.328573783,0.99988663,-5.090716739,NA,0.024299065
GRM5,0.590445404,4.776633354,1.00431998,0.322083031,0.99988663,-5.171394655,NA,0.028037383
GRM7,-0.399079169,5.764271077,-0.766000472,0.448785634,0.99988663,-5.497584954,NA,0.052336449
GRM8,-0.285034851,7.017011714,-0.892684662,0.378092252,0.99988663,-5.772637001,NA,0.14953271
GRN,0.086449796,4.710596782,0.142581439,0.887434289,0.99988663,-5.581428867,Inflammation/Immune/Stress/Toxic/Detox,0.018691589
GRSF1,0.112218305,5.838918588,0.298047524,0.767420197,0.99988663,-5.813838913,NA,0.074766355
GRTP1,0.277596232,4.733318687,0.554581801,0.582689798,0.99988663,-5.460286898,NA,0.03364486
GSAP,0.207411472,4.459859072,0.318485199,0.752000156,0.99988663,-5.512881364,AD,0.024299065
GSDMB,-0.212003325,4.520946821,-0.372987388,0.711395945,0.99988663,-5.441267047,Inflammation/Immune/Stress/Toxic/Detox,0.022429907
GSDMD,-0.029748148,4.354266122,-0.04816633,0.961856111,0.99988663,-5.504186432,Inflammation/Immune/Stress/Toxic/Detox,0.018691589
GSE1,0.183108078,7.896700284,0.74863651,0.459052848,0.99988663,-6.132735483,NA,0.246728972
GSG1L,0.017974039,5.370891751,0.036715075,0.970919747,0.99988663,-5.711796656,Transport,0.035514019
