"","Show","Aggregated","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"188",NA,NA,"GOCC_GABA_ERGIC_SYNAPSE","8.68375663860929e-06","0.000395715492392322","0.593325476396405","0.611497301840962","1.93374485987312","70","c(""ADRA1A"", ""GABRB1"", ""ERBB4"", ""CDH10"", ""GABBR1"", ""PLCB1"", ""KCND2"", ""SLITRK2"", ""SLC6A11"", ""NLGN3"", ""GABRA2"", ""CNR1"", ""SLC6A1"", ""LRFN4"", ""SLITRK3"", ""NLGN4X"", ""GAP43"", ""LRRTM1"", ""LRFN5"")"
"189",NA,NA,"GOMF_ACIDIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","8.68375663860929e-06","0.000395715492392322","0.593325476396405","0.818417173154844","2.29218693917666","17","c(""SLC1A2"", ""SLC7A11"", ""SLC25A18"", ""SLC1A3"", ""SLC1A4"")"
"190",NA,NA,"GOMF_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","8.82269380437027e-06","0.00039951821000922","0.593325476396405","0.848887165489712","2.30964092742359","14","c(""SLC1A2"", ""SLC7A11"", ""SLC25A18"", ""SLC1A3"")"
"191",NA,NA,"GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION","1.03510052116933e-05","0.000465795234526196","0.593325476396405","0.669772558341131","2.05249110053955","45","c(""MAP2"", ""MT3"", ""SEMA6A"", ""SEMA3D"", ""KIAA0319"", ""TNR"", ""WNT3"", ""CDKL3"", ""SEMA4B"", ""SEMA5B"", ""NTN1"", ""PTPRS"", ""SEMA6D"", ""SEMA3B"", ""IFRD1"", ""SEMA3A"")"
"192",NA,NA,"GOBP_ENSHEATHMENT_OF_NEURONS","1.32686992351561e-05","0.000582528259104416","0.593325476396405","0.516985991266514","1.69826368958524","138","c(""CNTN1"", ""ANK2"", ""PTPRZ1"", ""NFASC"", ""ACSBG1"", ""POU3F2"", ""TENM4"", ""NTRK2"", ""ID4"", ""KCNJ10"", ""SLC8A3"", ""ITGB4"", ""CNTNAP1"", ""MAL"", ""QKI"", ""PARD3"", ""PMP22"", ""LGI4"", ""CLU"", ""ARHGEF10"", ""GAL3ST1"", ""HGF"", ""SCN8A"", ""PLEC"", ""RXRG"", ""KEL"", ""WASF3"")"
"193",NA,NA,"GOBP_NEURON_CELL_CELL_ADHESION","1.39633893407548e-05","0.000609311534869301","0.593325476396405","0.825294353348442","2.29435850499794","16","c(""ASTN2"", ""NCAM2"", ""ASTN1"", ""NRXN2"", ""TNR"", ""NRXN1"", ""NLGN3"", ""NLGN4X"")"
"194",NA,NA,"GOBP_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION","1.46608175131601e-05","0.000628320750564006","0.593325476396405","0.569276100382895","1.82802456827886","85","c(""PTPRZ1"", ""EGF"", ""CDH2"", ""FOXG1"", ""PAX6"", ""ADGRG1"", ""ID4"", ""LHX2"", ""GPR37L1"", ""GLI3"", ""DISP3"", ""TOX"", ""VEGFC"", ""FGF2"", ""NES"", ""VAX1"", ""FZD3"", ""PROX1"", ""NOTCH1"")"
"195",NA,NA,"GOBP_RESPONSE_TO_FORSKOLIN","1.46608175131601e-05","0.000628320750564006","0.593325476396405","0.856811685404637","2.33139952264862","13","c(""ADCY2"", ""ADCY8"", ""ADCY1"")"
"196",NA,NA,"GOMF_CALCIUM_ION_BINDING","1.46608175131601e-05","0.000628320750564006","0.593325476396405","0.393380984306172","1.34561552965203","661","c(""CDH20"", ""ADGRL3"", ""PAMR1"", ""TTYH1"", ""ASTN2"", ""EGF"", ""FAT3"", ""MASP1"", ""TTN"", ""LRP4"", ""DCHS2"", ""CDH2"", ""VCAN"", ""CDH10"", ""PCDH9"", ""MATN2"", ""DGKB"", ""CRB1"", ""PLSCR4"", ""NCS1"", ""CRB2"", ""SPOCK2"", ""CDH22"", ""NCAN"", ""S100B"", ""CDH4"", ""PLCB1"", ""CAPN2"", ""PLA2G4C"", ""PCDH10"", ""EPS15L1"", ""PLCD1"", ""GALNT3"", ""NRXN1"", ""SYT17"", ""ADGRV1"", ""PCDHA10"", ""NOTCH2"", ""LTBP1"", ""SYT11"", ""TKT"", ""FSTL5"", ""PADI2"", ""RYR1"", ""PCDHA1"", ""REPS1"", ""SYT4"", ""BAIAP3"", ""DST"", ""CALM2"", ""ADAMTS13"", ""PCDHB9"", ""PCDHB12"", ""ESYT3"", ""PCDHB4"", ""EFHD1"", 
""PLCG1"", ""MACF1"", ""SPTAN1"", ""HPCAL4"", ""SPARC"", ""TUBB4A"", ""S100A1"", ""PCDHA5"", ""PCDH7"", ""PLS3"", ""THBS4"", ""ANXA1"", ""PCDHB5"", ""PLCH1"", ""PCDHGA1"", ""EFEMP1"", ""FAM20C"", ""SYT9"", ""PCDHB2"", ""PCDHB13"", ""PCDHB10"", ""VWCE"", ""CASQ1"", ""PCDHGB2"", ""DNER"", ""ANXA8"", ""CELSR2"", ""PCDHA9"", ""RPH3A"", ""NPNT"", ""MAN1C1"", ""EFCAB2"", ""PCDHA4"", ""HRC"", ""PLCZ1"", ""CDH26"", ""PON1"", ""CDHR3"", ""DHH"", ""NOTCH1"", ""SRI"", ""MYL3"", ""F12"", ""PCDHB8"", ""PCDHB15"", ""RYR3"", ""PCDHGC4"", ""CAPS"", ""PCDH1"", ""PCDHA6"", ""EHD2"", ""PCDHB11"", ""NOTCH2NLB"", ""LDLR"", 
""PCDHB7"", ""PCDHB3"", ""PCDHB6"", ""DGKG"", ""PCDHAC1"", ""CDH24"", ""PCDHGC3"", ""DLK1"")"
"197",NA,NA,"GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY","1.52193082727816e-05","0.00064839656546762","0.593325476396405","0.63097325985283","1.96378570010019","54","c(""NRCAM"", ""CNTN1"", ""NFASC"", ""PALLD"", ""CNN3"", ""SIRPA"", ""PLXNB3"", ""BAIAP2"", ""NTNG1"", ""CDC42EP1"", ""ROBO3"", ""ANXA1"")"
