gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
TXNDC15,0.08404298,4.770792755,0.245980893,0.80615944,0.999517463,-6.663248175,NA,0.037867464
TXNDC16,-0.048840905,5.357704219,-0.182097663,0.855844179,0.999517463,-6.762540643,NA,0.050323866
TXNDC17,0.102493082,1.83760201,0.179817638,0.85762947,0.999517463,-6.253616028,NA,0.004484305
TXNDC5,0.067114479,4.422610528,0.180928865,0.856759271,0.999517463,-6.60989692,NA,0.028898854
TXNDC8,-0.44880179,1.828322821,-0.666167285,0.506711104,0.999517463,-5.978154544,NA,0.001743896
TXNDC9,-0.022591016,3.86395752,-0.084531053,0.932789216,0.999517463,-6.577517813,NA,0.017189836
TXNIP,0.811505187,6.520977608,1.15862512,0.249140184,0.999517463,-6.438903053,NA,0.153961136
TXNL1,-0.029877783,5.257382007,-0.133819219,0.893792197,0.999517463,-6.769907856,Inflammation/Immune/Stress/Toxic/Detox,0.04857997
TXNL4A,0.054320583,5.340926649,0.255095404,0.79912993,0.999517463,-6.752016903,Inflammation/Immune/Stress/Toxic/Detox,0.054559043
TXNL4B,-0.234991081,4.269798666,-0.74110356,0.460223677,0.999517463,-6.328015791,Inflammation/Immune/Stress/Toxic/Detox,0.01918286
TXNRD1,0.233365362,6.874908708,0.506114326,0.613798104,0.999517463,-6.965385523,Inflammation/Immune/Stress/Toxic/Detox,0.142501246
TXNRD3,0.052516064,3.958577856,0.183023769,0.855119237,0.999517463,-6.569285005,Inflammation/Immune/Stress/Toxic/Detox,0.01918286
TYK2,-0.328866512,4.778552171,-1.073334948,0.285490415,0.999517463,-6.065282756,NA,0.031639263
TYMP,-0.386340832,4.018211855,-0.436601616,0.66326359,0.999517463,-6.439214808,NA,0.019930244
TYMS,0.713276642,0.609078624,1.098525427,0.274394773,0.999517463,-5.603158821,NA,0.002491281
TYMSOS,-0.002353283,1.989152382,-0.004663225,0.996287819,0.999517463,-6.278637232,NA,0.003736921
TYR,-0.130655427,2.480775441,-0.201403304,0.840758458,0.999517463,-6.28276569,NA,0.004484305
TYRO3,0.216021304,3.288380426,0.389969733,0.697319612,0.999517463,-6.41785628,NA,0.013951171
TYROBP,0.185626659,1.468307971,0.291793152,0.770999178,0.999517463,-6.175067126,NA,0.002242152
TYRP1,-0.159622249,2.582428182,-0.242378117,0.808942478,0.999517463,-6.31326825,NA,0.005729945
TYSND1,-0.423534934,3.128857261,-1.140405354,0.256616077,0.999517463,-5.745937964,NA,0.008221226
TYW1,-0.140850874,7.055232326,-0.405185652,0.686134888,0.999517463,-6.999403141,NA,0.14573991
TYW1B,-0.224068659,6.855550297,-0.636928212,0.525506534,0.999517463,-6.818379958,NA,0.116591928
TYW3,-0.064924459,4.386916682,-0.275494509,0.783457723,0.999517463,-6.565304095,NA,0.025161933
TYW5,-0.361217877,4.55214145,-1.217858716,0.225906405,0.999517463,-5.870205482,NA,0.024912805
U2AF1,-0.242114158,2.168808165,-0.395485275,0.693257451,0.999517463,-6.219733299,Metabolism (other),0.004982561
U2AF1L4,-0.596326702,1.888722213,-0.846988556,0.398856612,0.999517463,-5.875443956,Metabolism (other),0.003736921
U2AF1L5,-0.602499072,1.751215628,-0.87611903,0.382891271,0.999517463,-5.81450614,NA,0.002242152
U2AF2,0.368454968,4.562157788,1.133320341,0.259565407,0.999517463,-6.093942488,Metabolism (other),0.037369208
U2SURP,0.021739511,7.115059419,0.109447934,0.913048382,0.999517463,-7.11515546,Metabolism (other),0.150722471
U47924.2,0.468324277,0.122728924,0.697268446,0.487118785,0.999517463,-5.870621642,NA,0.000498256
U52111.1,0.410625104,1.171209706,0.646672522,0.519202774,0.999517463,-6.012639793,NA,0.002491281
U52112.1,0.448154305,-0.284330944,0.575792307,0.565942007,0.999517463,-5.913339666,NA,0
U62631.1,0.91954833,-0.202902469,1.228367556,0.221953686,0.999517463,-5.398801037,NA,0.000747384
U73166.1,-0.364286078,1.60989824,-0.680786389,0.497449754,0.999517463,-5.967125114,NA,0.001743896
U73169.1,0.078955859,0.9214777,0.14544739,0.884626171,0.999517463,-6.144666589,NA,0.001743896
U91319.1,-0.259291379,4.896542896,-0.55854038,0.57762059,0.999517463,-6.54555905,Metabolism (other),0.029147982
U91328.1,0.176611636,0.882365554,0.317321734,0.751606281,0.999517463,-6.121904825,NA,0.001743896
U91328.2,0.563393908,0.288089204,0.712054677,0.47795164,0.999517463,-5.878196247,NA,0.000747384
U95743.1,-0.53279914,1.984352274,-0.837258136,0.404278765,0.999517463,-5.872804051,NA,0.002491281
UAP1,0.275400806,4.624945056,0.622107663,0.535169726,0.999517463,-6.498177117,NA,0.030144494
UAP1L1,-0.550276326,2.51322308,-0.7655359,0.445606341,0.999517463,-5.993371096,NA,0.006975585
UBA1,0.157076048,5.239346633,0.635880836,0.526186454,0.999517463,-6.620705117,Metabolism (other),0.056552068
UBA3,-0.302786714,5.607376132,-1.133405341,0.259529883,0.999517463,-6.173831328,Metabolism (other),0.04982561
UBA5,-0.204252814,5.512937567,-0.813840904,0.417509735,0.999517463,-6.48994241,Metabolism (other),0.051569507
UBA52,0.63677693,4.806499997,1.040907653,0.300220844,0.999517463,-6.224698915,Metabolism (other),0.054559043
UBA6-AS1,-0.252909917,6.750313612,-0.611802889,0.541941701,0.999517463,-6.81795377,NA,0.090433483
UBA7,0.057137886,1.551666615,0.094007392,0.925275805,0.999517463,-6.225667788,Metabolism (other),0.004235177
UBAC1,-0.455943048,4.483820585,-1.40383706,0.163208988,0.999517463,-5.633720029,Metabolism (other),0.020179372
UBAC2-AS1,-0.325461217,1.72157416,-0.585352724,0.559520008,0.999517463,-6.028064053,NA,0.002242152
UBALD1,0.341800626,3.312214297,0.642764227,0.521726355,0.999517463,-6.280005993,NA,0.018186348
UBALD2,-0.212264768,4.040739125,-0.429316492,0.668539987,0.999517463,-6.474854739,NA,0.01793722
UBAP1,-0.309466118,7.406943656,-0.920740339,0.359218541,0.999517463,-6.709911006,Metabolism (other),0.156701545
UBAP1L,-0.004535562,4.844453136,-0.01385325,0.988972374,0.999517463,-6.693913837,Metabolism (other),0.041106129
UBAP2,-0.208120204,6.940859547,-0.595625439,0.552659733,0.999517463,-6.834929702,Metabolism (other),0.140259093
UBAP2L,0.171703845,5.922914016,0.980111116,0.329200834,0.999517463,-6.470090297,Metabolism (other),0.083956153
UBASH3A,-0.034850573,0.613263768,-0.053741757,0.957239251,0.999517463,-6.112666801,Metabolism (other),0.000747384
