gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
RGS7BP,-0.980993812,3.882668843,-2.741955646,0.007140084,0.06543559,-3.054946258,NA,0.011106596
SKIL,0.522383184,6.461684926,2.742002222,0.007139138,0.06543559,-3.720179035,NA,0.153866992
ZNF500,-0.660415995,4.451255227,-2.741936447,0.007140474,0.06543559,-3.186641989,NA,0.02085873
FAM182B,-1.134244123,4.225704901,-2.741816311,0.007142915,0.065436907,-3.089500299,NA,0.013950968
MYO7A,-1.183991025,4.532423179,-2.73791055,0.007222671,0.066146291,-3.123133468,NA,0.017066233
CAPS2,-0.883712954,6.424743158,-2.737101615,0.00723929,0.06627719,-3.510756202,NA,0.072599214
EARS2,-0.825711696,4.806321426,-2.735904372,0.007263951,0.066481605,-3.207035184,NA,0.022348639
ALDH1L1,-1.518634288,5.50860013,-2.735601465,0.007270203,0.066517452,-3.284796924,Metabolism (other),0.028037383
LHFPL6,1.085026744,8.244979015,2.735475173,0.007272811,0.066519951,-4.208550132,NA,0.372748205
RAB20,-0.857492346,5.047214074,-2.735091687,0.007280735,0.066571056,-3.245468948,Transport,0.026818367
PRSS45P,-1.653681915,0.999693608,-2.734368297,0.007295704,0.066686523,-2.700632571,Metabolism (other),0.000270893
MNS1,-1.222634869,4.572682223,-2.733311912,0.007317613,0.066865338,-3.150498687,NA,0.015169985
MRS2,-0.581322752,4.663767097,-2.731968145,0.00734557,0.067099276,-3.285937262,NA,0.025057565
SKAP2,0.663421965,5.689084551,2.731595101,0.007353349,0.067148799,-3.62347594,Inflammation/Immune/Stress/Toxic/Detox,0.099146688
ARRB2,-1.187669357,3.597064454,-2.730146439,0.007383625,0.067403676,-3.02945738,NA,0.007991331
AL021918.5,-1.035911603,3.379696544,-2.729054737,0.007406517,0.067580035,-3.017623993,NA,0.007855885
SYNGR1,-1.105536818,5.159700851,-2.728998951,0.007407688,0.067580035,-3.255788587,NA,0.028443722
FUT4,-1.511341504,1.551093243,-2.728351608,0.007421295,0.067682492,-2.767603957,Metabolism (other),0.000948124
MAP3K7CL,0.647005767,4.126905283,2.727864271,0.007431553,0.067754358,-3.36670789,NA,0.034267913
PI4KB,-0.537847872,5.666535428,-2.726578416,0.007458681,0.067979937,-3.466027038,Metabolism (other),0.053772179
NSMCE1-DT,-0.7809148,3.853150429,-2.725965639,0.007471641,0.068076277,-3.154785042,NA,0.011783828
FUT1,1.527906623,0.495537013,2.725558533,0.007480262,0.068105422,-2.92086356,Metabolism (other),0.005011513
