"","X.2","X.1","X","show","Aggregated","pathway","gs_number.x","gs_description.x","gs_number.y","gs_description.y","gs_number.x.x","gs_description.x.x","gs_number.y.y","gs_description.y.y","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","16","16","16","","Adhesion","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","4.94694506640716e-10","2.03319442229334e-07","0.801215574617779","0.469271131620455","2.32030637358301","276","c(""FBLN5"", ""CDH13"", ""LTBP4"", ""ADAMTS1"", ""SERPINE2"", ""SEMA7A"", ""EFNA5"", ""COL8A1"", ""DST"", ""ELN"", ""MGP"", ""S100A6"", ""FBLN2"", ""BGN"", ""SRPX"", ""FBN1"", ""ABI3BP"", ""HMCN1"", ""SRPX2"", ""WNT2B"", ""FN1"", ""LAMA3"", ""NTN1"", ""MMP28"", ""SULF1"", ""LTBP1"", ""ITGB4"", ""MFGE8"", ""EFEMP1"", ""LAMA2"", ""COL5A2"", ""CLEC14A"", ""SBSPON"", ""HMCN2"", ""CXCL12"", ""CLU"", ""CCN1"", ""CCN2"", ""SDC3"", ""CTSZ"", ""HSPG2"", ""THBS1"", ""DCN"", ""TMEFF1"", ""OMD"", ""NTNG1"", ""NAV2"", ""LTBP3"", ""COL25A1"", ""MMRN2"", ""CD151"", ""ANXA1"", ""SERPING1"")"
"2","18","18","18","","Adhesion","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GO:0030312","A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space. [GOC:go_curators]","GO:0030312","A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space. [GOC:go_curators]","GO:0030312","A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space. [GOC:go_curators]","GO:0030312","A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space. [GOC:go_curators]","1.29806844655452e-08","4.00129598650429e-06","0.747739663149885","0.420649422583274","2.10323377916623","344","c(""FBLN5"", ""CDH13"", ""LTBP4"", ""ADAMTS1"", ""SERPINE2"", ""SEMA7A"", ""EFNA5"", ""COL8A1"", ""DST"", ""ELN"", ""MGP"", ""S100A6"", ""FBLN2"", ""BGN"", ""SRPX"", ""FBN1"", ""ABI3BP"", ""HMCN1"", ""SRPX2"", ""WNT2B"", ""FN1"", ""LAMA3"", ""NTN1"", ""MMP28"", ""SULF1"", ""LTBP1"", ""ADAMTS6"", ""ITGB4"", ""MFGE8"", ""LRIG1"", ""EFEMP1"", ""LAMA2"", ""COL5A2"", ""CLEC14A"", ""SBSPON"", ""HMCN2"", ""CXCL12"", ""HSD17B12"", ""CLU"", ""CCN1"", ""LRIG3"", ""CCN2"", ""SDC3"", ""CTSZ"", ""HSPG2"", ""THBS1"", ""DCN"", ""TMEFF1"", ""OMD"", ""NTNG1"", ""NAV2"", ""LTBP3"", ""COL25A1"", ""MMRN2"", ""CD151"", ""ANXA1"", 
""SERPING1"")"
"3","19","19","19","","Adhesion","GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT","GO:0005201","The action of a molecule that contributes to the structural integrity of the extracellular matrix. [GOC:mah]","GO:0005201","The action of a molecule that contributes to the structural integrity of the extracellular matrix. [GOC:mah]","GO:0005201","The action of a molecule that contributes to the structural integrity of the extracellular matrix. [GOC:mah]","GO:0005201","The action of a molecule that contributes to the structural integrity of the extracellular matrix. [GOC:mah]","6.08772847612012e-07","0.000134038735911716","0.659444398037935","0.526732514066049","2.50495698728355","117","c(""FBLN5"", ""LTBP4"", ""COL8A1"", ""ELN"", ""MGP"", ""FBLN2"", ""BGN"", ""SRPX"", ""FBN1"", ""ABI3BP"", ""HMCN1"", ""SRPX2"", ""FN1"", ""LAMA3"", ""LTBP1"", ""MFGE8"", ""EFEMP1"", ""LAMA2"", ""COL5A2"", ""SBSPON"", ""HMCN2"", ""CCN1"", ""HSPG2"", ""THBS1"", ""DCN"", ""COL25A1"", ""MMRN2"", ""FBN2"")"
"4","21","21","21","","Adhesion","GOMF_STRUCTURAL_MOLECULE_ACTIVITY","GO:0005198","The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell. [GOC:mah, GOC:vw]","GO:0005198","The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell. [GOC:mah, GOC:vw]","GO:0005198","The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell. [GOC:mah, GOC:vw]","GO:0005198","The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell. [GOC:mah, GOC:vw]","1.75772038472069e-13","1.54804945311472e-10","0.943632225232838","0.451318145143173","2.26537527365494","453","c(""FBLN5"", ""LTBP4"", ""COL8A1"", ""DST"", ""ELN"", ""MGP"", ""FBLN2"", ""BGN"", ""CLDN10"", ""MAP2"", ""SRPX"", ""FBN1"", ""ABI3BP"", ""HMCN1"", ""SRPX2"", ""FN1"", ""LAMA3"", ""VIM"", ""MRPL33"", ""LTBP1"", ""RPL23A"", ""MFGE8"", ""EFEMP1"", ""LAMA2"", ""COL5A2"", ""RPL22"", ""SBSPON"", ""HMCN2"", ""CCN1"", ""RPS18"", ""CCDC6"", ""ERC1"", ""MALL"", ""HIP1"", ""RPL36"", ""NUP160"", ""HSPG2"", ""THBS1"", ""DCN"", ""PLLP"", ""SPTAN1"", ""RPL9"", ""ANK1"", ""JAG1"", ""COL25A1"", ""MMRN2"", ""RPL7"", ""RPL32"", ""RPL30"", ""MAP4"", ""RPS24"", ""RPL26"", ""RPL13"", ""FBN2"", ""BICD1"", ""RPL41"", ""RPL13A"", ""RPS27A"", 
""RPL35A"", ""RPS14"", ""RPL36A"", ""RPL29"", ""RPL12"", ""RPL27"", ""RPLP0"", ""RPS25"", ""NUP107"", ""RPS29"", ""RPS12"", ""MRPS23"", ""RPL35"", ""MRPS9"", ""RPS23"", ""NPHP4"", ""RPS2"", ""RPL28"", ""RPL15"", ""RPS13"", ""RPS7"", ""TUBA1A"", ""RPL18"", ""RPL38"", ""RPS20"", ""RPL6"", ""RPL19"", ""RPL17"", ""RPS5"", ""RPL7A"", ""PGM5"", ""RPS3"", ""RPS8"", ""RPL8"", ""TINAGL1"", ""CTBP2"", ""RPL39"", ""RPL34"", ""CLDN15"", ""TUBG2"", ""LTBP2"", ""MRPL3"", ""RPS28"", ""RPS4X"", ""RPL37A"", ""RPL31"", ""RPSA"", ""FGL2"", ""NUMA1"", ""RPLP2"", ""ARPC3"", ""LAMA4"", ""CLDN5"", ""RPS3A"", ""OGN"", ""THBS2"", 
""SEC31A"", ""MRPS31"", ""RPS19"", ""RPS9"", ""RPL4"", ""RPS21"", ""RPS16"", ""MRPL20"", ""RPS17"", ""TLN1"", ""ARPC1B"", ""RPS10"", ""COPE"", ""NUP93"", ""EIF3A"", ""POM121C"", ""NUP153"", ""ISG15"", ""MRPL27"", ""LAMB1"", ""RPS15"", ""RPL10"", ""ROCK2"", ""NUP35"", ""UBA52"", ""PLEC"", ""EPB41L2"", ""RPL37"", ""ARPC5"", ""ANOS1"", ""RPL21"", ""RPS11"", ""NUP214"", ""RPLP1"", ""CAPN3"", ""TUBA1B"", ""SEH1L"", ""TPM2"", ""MRPS7"", ""SRBD1"", ""RPL18A"", ""NUP85"", ""TUBE1"", ""RPS27"", ""TECTA"", ""MRPL42"")"
"5","25","25","25","","Adhesion","GOBP_CONNECTIVE_TISSUE_DEVELOPMENT","GO:0061448","The progression of a connective tissue over time, from its formation to the mature structure. [GOC:BHF]","GO:0061448","The progression of a connective tissue over time, from its formation to the mature structure. [GOC:BHF]","GO:0061448","The progression of a connective tissue over time, from its formation to the mature structure. [GOC:BHF]","GO:0061448","The progression of a connective tissue over time, from its formation to the mature structure. [GOC:BHF]","8.74250090251842e-05","0.00673718975800326","0.538434096309916","0.41137080804906","2.00397903347794","184","c(""BMP6"", ""FGF2"", ""MGP"", ""EXT1"", ""BGN"", ""WNT2B"", ""EDN1"", ""SULF1"", ""FGF18"", ""CSF1"", ""CD34"", ""EFEMP1"", ""SH3PXD2B"", ""SMAD3"", ""CCN1"", ""SOX5"", ""CCN2"", ""BMPR2"", ""PGRMC2"", ""LTBP3"", ""CHSY1"", ""ACVRL1"", ""ZBTB16"", ""HMGA2"", ""BMP4"", ""ID4"", ""CFLAR"", ""UBB"", ""SLC39A14"", ""LNPK"", ""EVC"", ""LOX"", ""PDGFD"", ""ARID5A"", ""PKD1"", ""GLI3"", ""GLG1"", ""SLC39A13"", ""MAPK3"", ""BBS4"", ""MDK"")"
"6","109","109","109","","Development (Differentiation","GOBP_BLOOD_VESSEL_MORPHOGENESIS","GO:0048514","The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood. [GOC:jid]","GO:0048514","The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood. [GOC:jid]","GO:0048514","The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood. [GOC:jid]","GO:0048514","The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood. [GOC:jid]","0.000100961609401092","0.00732268614067922","0.538434096309916","0.332086744183429","1.66454319671049","469","c(""PTGIS"", ""FGF2"", ""GJA5"", ""CDH13"", ""ADAMTS1"", ""TBX1"", ""HEY1"", ""COL8A1"", ""PDE3B"", ""VEGFC"", ""HEY2"", ""CXCL8"", ""PTGS2"", ""RHOB"", ""CCL2"", ""SRPX2"", ""GATA6"", ""THSD7A"", ""FN1"", ""EDN1"", ""CAV1"", ""CX3CL1"", ""EFNB2"", ""SULF1"", ""HSPB1"", ""FGF18"", ""SLIT2"", ""PRKX"", ""CD34"", ""MFGE8"", ""CLEC14A"", ""HS6ST1"", ""CCN1"", ""ALOX5"", ""DDAH1"", ""PIK3CB"", ""GADD45A"", ""CCN2"", ""HSPG2"", ""BMPR2"", ""THBS1"", ""DCN"", ""PTK2"", ""UBP1"", ""B4GALT1"", ""JAG1"", ""ITGA5"", ""MMRN2"", ""VASH1"", ""ACVRL1"", ""PKD2"", ""RIN2"", ""ANXA1"", ""PTPRB"", ""ACVR1"", ""UNC5B"", ""EPAS1"", 
""HMGA2"", ""BMP4"", ""YAP1"", ""GLUL"", ""NOS3"", ""ACE"", ""PARVA"", ""SERPINE1"", ""TIE1"", ""HEG1"", ""PTPRM"", ""S1PR1"", ""ADGRB1"", ""RAPGEF2"", ""SOX18"", ""LOX"", ""ADGRA2"", ""SOX17"", ""GATA2"", ""VEGFD"", ""ADAM15"", ""FOXC1"", ""NCL"", ""SLC12A2"", ""VEZF1"", ""ZFP36L1"", ""ERBB2"", ""ANXA3"", ""RNF213"", ""AKT1"", ""MDK"", ""GRN"", ""TAL1"", ""AKT3"", ""MMP14"", ""ITGAV"", ""AMOTL2"", ""TEK"", ""CLDN5"", ""THBS2"", ""ECSCR"", ""RAMP2"", ""TJP1"", ""ID1"", ""SP100"", ""PDCD6"")"
"7","119","119","119","","Development (Differentiation)","GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION","GO:0045597","Any process that activates or increases the frequency, rate or extent of cell differentiation. [GOC:go_curators]","GO:0045597","Any process that activates or increases the frequency, rate or extent of cell differentiation. [GOC:go_curators]","GO:0045597","Any process that activates or increases the frequency, rate or extent of cell differentiation. [GOC:go_curators]","GO:0045597","Any process that activates or increases the frequency, rate or extent of cell differentiation. [GOC:go_curators]","1.82910163262643e-05","0.00212762482361169","0.575610261071129","0.32528568735499","1.63977400822385","599","c(""BMP6"", ""FGF2"", ""PDE3A"", ""IGFBP3"", ""SERPINE2"", ""TBX1"", ""SEMA7A"", ""EFNA5"", ""TOX"", ""VEGFC"", ""PTGS2"", ""AR"", ""CAPRIN2"", ""CARMIL1"", ""GATA6"", ""BLOC1S5"", ""FN1"", ""EDN1"", ""NTN1"", ""ADD1"", ""CX3CL1"", ""EFNB2"", ""MTURN"", ""CD83"", ""FGF18"", ""CSF1"", ""SLIT2"", ""RUFY3"", ""CD34"", ""CMKLR1"", ""GAS6"", ""GLIPR2"", ""CXCL12"", ""SMAD3"", ""CCN1"", ""MEDAG"", ""CYP26B1"", ""SOX5"", ""EPHA4"", ""CCN2"", ""BMPR2"", ""MYADM"", ""SOX13"", ""LTBP3"", ""FBXW8"", ""EEF2K"", ""JAG1"", ""NPTN"", ""ACVRL1"", ""DDR2"", ""RIN2"", ""ANXA1"", ""ARHGEF2"", ""PLXNA4"", ""ACVR1"", ""MAP3K5"", 
""ACVR1B"", ""IL15RA"", ""ZEB2"", ""STAU2"", ""RFX3"", ""PA2G4"", ""FBN2"", ""NAPEPLD"", ""ZBTB16"", ""DIXDC1"", ""BMP4"", ""YAP1"", ""LRRC8A"", ""ACE"", ""SERPINE1"", ""PITHD1"", ""DOCK1"", ""TSPO"", ""SKIL"", ""NAP1L1"", ""RAPGEF2"", ""DBNL"", ""SMAD4"", ""CCDC3"", ""CARM1"", ""SMAD2"", ""RCOR1"", ""SOX17"", ""GATA2"", ""FOXC1"", ""MYC"", ""PLXNA2"", ""BCL9L"", ""VEZF1"", ""GLI3"", ""CREBL2"", ""FAM20C"", ""RIPOR2"", ""MAPK9"", ""LIMS2"", ""ZFP36L1"", ""TENT5A"", ""PLA2G5"", ""SIN3A"", ""GDPD5"", ""AKT1"", ""SLC9B2"", ""ADNP"", ""RIPK2"", ""MDK"", ""TAL1"", ""MMP14"", ""TLR2"", ""PDLIM7"", ""DMTN"", ""NUMA1"", 
""CAPRIN1"", ""NF2"", ""CLDN5"", ""CREB1"", ""RAMP2"")"
"8","121","121","121","","Development (Differentiation)","GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","GO:0051094","Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]","GO:0051094","Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]","GO:0051094","Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]","GO:0051094","Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]","8.21627466518162e-07","0.000168844444369482","0.659444398037935","0.316408376353745","1.61592738242933","902","c(""PTGIS"", ""BMP6"", ""FGF2"", ""PDE3A"", ""IGFBP3"", ""SERPINE2"", ""TBX1"", ""SYT1"", ""SEMA7A"", ""EFNA5"", ""TOX"", ""VEGFC"", ""IGF1R"", ""HEY2"", ""CXCL8"", ""PTGS2"", ""ITSN2"", ""RHOB"", ""AR"", ""CAPRIN2"", ""SRPX2"", ""WNT2B"", ""CARMIL1"", ""GATA6"", ""BLOC1S5"", ""FN1"", ""EDN1"", ""RIMS2"", ""NTN1"", ""ADD1"", ""CX3CL1"", ""EFNB2"", ""MTURN"", ""CD83"", ""HSPB1"", ""FGF18"", ""CSF1"", ""SLIT2"", ""RUFY3"", ""CD34"", ""CMKLR1"", ""GAS6"", ""NLGN1"", ""ANO6"", ""GLIPR2"", ""CXCL12"", ""SMAD3"", ""SYNDIG1"", ""CCN1"", ""ALOX5"", ""MEDAG"", ""CYP26B1"", ""DDAH1"", ""SOX5"", ""EPHA4"", ""CCN2"", 
""BMPR2"", ""THBS1"", ""DCN"", ""SLC8A1"", ""MYADM"", ""SOX13"", ""LTBP3"", ""FBXW8"", ""EEF2K"", ""SLITRK4"", ""JAG1"", ""NPTN"", ""ITGA5"", ""MMRN2"", ""ACVRL1"", ""DDR2"", ""RIN2"", ""ANXA1"", ""ARHGEF2"", ""PLXNA4"", ""CLASP2"", ""ACVR1"", ""MAP3K5"", ""ACVR1B"", ""IL15RA"", ""ZEB2"", ""STAU2"", ""EXOSC6"", ""RFX3"", ""EHD2"", ""PA2G4"", ""FBN2"", ""NAPEPLD"", ""ZBTB16"", ""HMGA2"", ""DIXDC1"", ""BMP4"", ""YAP1"", ""NOS3"", ""LRRC8A"", ""ACE"", ""SERPINE1"", ""SMURF1"", ""TIE1"", ""TP53BP1"", ""PITHD1"", ""DOCK1"", ""TSPO"", ""ADGRB1"", ""SKIL"", ""NAP1L1"", ""RAPGEF2"", ""FLOT1"", ""DBNL"", ""SMAD4"", 
""CCDC3"", ""PAWR"", ""CARM1"", ""SMAD2"", ""RCOR1"", ""SOX17"", ""GATA2"", ""VEGFD"", ""UTP25"", ""FOXC1"", ""MYC"", ""PLXNA2"", ""BCL9L"", ""VEZF1"", ""GLI3"", ""SMURF2"", ""STAT6"", ""EEF1E1"", ""CREBL2"", ""FAM20C"", ""RIPOR2"", ""MAPK9"", ""LIMS2"", ""ZFP36L1"", ""NR2C2"", ""TENT5A"", ""ANXA3"", ""ADGRL1"", ""PLA2G5"", ""SIN3A"", ""RALBP1"", ""GDPD5"", ""AKT1"", ""SLC9B2"", ""BBS4"", ""ACACB"", ""ADNP"", ""TP53"", ""RIPK2"", ""MDK"", ""GRN"", ""TAL1"", ""TMEM106B"", ""AKT3"", ""MMP14"", ""TLR2"", ""PDLIM7"", ""DMTN"", ""NUMA1"", ""CAPRIN1"", ""NF2"", ""TEK"", ""CLDN5"", ""CREB1"", ""THBS2"", ""RAMP2""
)"
"9","125","125","125","","Development (Differentiation)","GOBP_REGULATION_OF_CELL_DIFFERENTIATION","GO:0045595","Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features. [GOC:go_curators]","GO:0045595","Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features. [GOC:go_curators]","GO:0045595","Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features. [GOC:go_curators]","GO:0045595","Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features. [GOC:go_curators]","5.1355256247532e-05","0.00439729381619493","0.557332238758646","0.284820120752763","1.45904528698219","1063","c(""BMP6"", ""FGF2"", ""PDE3A"", ""IGFBP3"", ""SERPINE2"", ""TBX1"", ""SEMA7A"", ""EFNA5"", ""HEY1"", ""TOX"", ""VEGFC"", ""HEY2"", ""MAP2"", ""SEMA3G"", ""PTGS2"", ""FBN1"", ""AR"", ""CAPRIN2"", ""CARMIL1"", ""GATA6"", ""BLOC1S5"", ""FN1"", ""EDN1"", ""CAV1"", ""NTN1"", ""ADD1"", ""ARHGAP4"", ""CX3CL1"", ""SMAD6"", ""EFNB2"", ""TWIST2"", ""MTURN"", ""CRIM1"", ""PDCD4"", ""CD83"", ""FGF18"", ""CSF1"", ""SLIT2"", ""PRKX"", ""RUFY3"", ""CD34"", ""LRRK2"", ""CMKLR1"", ""GAS6"", ""NLGN1"", ""EFEMP1"", ""COL5A2"", ""ID3"", ""GLIPR2"", ""CXCL12"", ""SMAD3"", ""CCN1"", ""ALOX5"", ""MEDAG"", ""CYP26B1"", ""AJAP1"", 
""SOX5"", ""EPHA4"", ""SH3RF1"", ""CCN2"", ""BMPR2"", ""MYADM"", ""TBX19"", ""SOX13"", ""PTK2"", ""LTBP3"", ""FBXW8"", ""EEF2K"", ""KIAA1109"", ""JAG1"", ""NPTN"", ""ACVRL1"", ""DDR2"", ""MOSMO"", ""RIN2"", ""ANXA1"", ""ARHGEF2"", ""PLXNA4"", ""CLASP2"", ""ACVR1"", ""MAP3K5"", ""CASZ1"", ""ACVR1B"", ""IL15RA"", ""ZEB2"", ""STAU2"", ""RFX3"", ""PA2G4"", ""FBN2"", ""NPR2"", ""NAPEPLD"", ""ST7"", ""TMEM178A"", ""ZBTB16"", ""DIXDC1"", ""BMP4"", ""YAP1"", ""ID4"", ""LRRC8A"", ""ACE"", ""SERPINE1"", ""PPP3CA"", ""EIF2AK4"", ""ZFP36L2"", ""CCDC85B"", ""SPRED3"", ""PITHD1"", ""DOCK1"", ""TSPO"", ""LNPK"", ""SKIL"", 
""NAP1L1"", ""RAPGEF2"", ""DDX6"", ""DBNL"", ""DROSHA"", ""SMAD4"", ""LOX"", ""CCDC3"", ""CARM1"", ""RCC2"", ""SMAD2"", ""ADGRA2"", ""FLOT2"", ""RCOR1"", ""SOX17"", ""GATA2"", ""MEIS2"", ""IRF1"", ""RYK"", ""FOXC1"", ""MYC"", ""TMEM131L"", ""G6PD"", ""PLXNA2"", ""BCL9L"", ""VEZF1"", ""EPHA3"", ""GLI3"", ""ZDHHC21"", ""MIB1"", ""ATAT1"", ""ACTN4"", ""PUS7"", ""CREBL2"", ""LDLRAD4"", ""AXIN1"", ""NFKBIA"", ""FAM20C"", ""RIPOR2"", ""MAPK9"", ""LIMS2"", ""ZFP36L1"", ""ERBB2"", ""TENT5A"", ""GLG1"", ""PLA2G5"", ""SIN3A"", ""GDPD5"", ""RUNX1T1"", ""CERS2"", ""AKT1"", ""SLC9B2"", ""ADNP"", ""METTL3"", ""TP53"", 
""RIPK2"", ""MDK"", ""GRN"", ""TAL1"", ""ANP32B"", ""MMP14"", ""TLR2"", ""ITGAV"", ""FGL2"", ""PDLIM7"", ""DMTN"", ""CDK5RAP3"", ""NUMA1"", ""FOXO1"", ""CAPRIN1"", ""RARG"", ""NF2"", ""CLDN5"", ""CREB1"", ""RAMP2"", ""NCOA3"", ""RPS19"", ""UQCC2"", ""ID1"", ""UBASH3B"", ""NEPRO"", ""TOMM70"", ""FAXDC2"", ""CYFIP1"", ""PLEKHB2"", ""SEMA6C"", ""SART1"")"
"10","130","130","130","","Development (Differentiation)","GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT","GO:2000026","Any process that modulates the frequency, rate or extent of multicellular organismal development. [GOC:obol]","GO:2000026","Any process that modulates the frequency, rate or extent of multicellular organismal development. [GOC:obol]","GO:2000026","Any process that modulates the frequency, rate or extent of multicellular organismal development. [GOC:obol]","GO:2000026","Any process that modulates the frequency, rate or extent of multicellular organismal development. [GOC:obol]","3.28465453409962e-06","0.000578568434363547","0.627256739718528","0.30504070776415","1.55817016025969","918","c(""PTGIS"", ""BMP6"", ""FGF2"", ""ADAMTS1"", ""SERPINE2"", ""SEMA7A"", ""EFNA5"", ""HEY1"", ""TOX"", ""MGP"", ""PDE3B"", ""VEGFC"", ""HEY2"", ""CXCL8"", ""MAP2"", ""SEMA3G"", ""RHOB"", ""FBN1"", ""CAPRIN2"", ""SRPX2"", ""WNT2B"", ""GATA6"", ""FN1"", ""EDN1"", ""CAV1"", ""LAMA3"", ""NTN1"", ""ADD1"", ""ARHGAP4"", ""CX3CL1"", ""MTURN"", ""SULF1"", ""CD83"", ""HSPB1"", ""FGF18"", ""CSF1"", ""SLIT2"", ""PRKX"", ""RUFY3"", ""CD34"", ""GAS6"", ""NLGN1"", ""EFEMP1"", ""LAMA2"", ""ANO6"", ""VGLL4"", ""CXCL12"", ""SMAD3"", ""SYNDIG1"", ""CCN1"", ""ALOX5"", ""CYP26B1"", ""AJAP1"", ""DDAH1"", ""PIK3CB"", ""SOX5"", ""GADD45A"", 
""EPHA4"", ""SH3RF1"", ""CCN2"", ""HSPG2"", ""BMPR2"", ""THBS1"", ""DCN"", ""SLC8A1"", ""SRGN"", ""OMD"", ""SOX13"", ""LTBP3"", ""FBXW8"", ""EEF2K"", ""SLITRK4"", ""KIAA1109"", ""JAG1"", ""NPTN"", ""ITGA5"", ""MMRN2"", ""VASH1"", ""ACVRL1"", ""DDR2"", ""ANXA1"", ""PLXNA4"", ""CLASP2"", ""ACVR1"", ""ACVR1B"", ""IL15RA"", ""STAU2"", ""RFX3"", ""FBN2"", ""TMEM178A"", ""ZBTB16"", ""HMGA2"", ""DIXDC1"", ""BMP4"", ""YAP1"", ""ID4"", ""GLUL"", ""POGLUT1"", ""NOS3"", ""ACE"", ""SERPINE1"", ""PPP3CA"", ""TIE1"", ""ZFP36L2"", ""SPRED3"", ""PITHD1"", ""TSPO"", ""PTPRM"", ""LNPK"", ""S1PR1"", ""ADGRB1"", ""SKIL"", ""NAP1L1"", 
""RAPGEF2"", ""DBNL"", ""DROSHA"", ""SMAD4"", ""LOX"", ""ADGRA2"", ""RCOR1"", ""SOX17"", ""GATA2"", ""MEIS2"", ""IRF1"", ""VEGFD"", ""UTP25"", ""RYK"", ""FOXC1"", ""MYC"", ""RPS6KA6"", ""TMEM131L"", ""G6PD"", ""PLXNA2"", ""SLC12A2"", ""VEZF1"", ""GLI3"", ""ZDHHC21"", ""ADAM10"", ""NFKBIA"", ""FAM20C"", ""ZFP36L1"", ""ERBB2"", ""NR2C2"", ""TENT5A"", ""ANXA3"", ""GLG1"", ""CERS2"", ""AKT1"", ""SLC9B2"", ""ACACB"", ""ADNP"", ""METTL3"", ""TP53"", ""RIPK2"", ""MDK"", ""GRN"", ""TAL1"", ""AKT3"", ""MMP14"", ""TLR2"", ""FGL2"", ""NUMA1"", ""CAPRIN1"", ""RARG"", ""LAMA4"", ""NF2"", ""TEK"", ""CLDN5"", ""CREB1"", 
""THBS2"", ""ECSCR"", ""RAMP2"", ""NCOA3"", ""TJP1"", ""ID1"", ""UBASH3B"", ""TOMM70"", ""SP100"", ""PDCD6"", ""FAXDC2"", ""CYFIP1"", ""SYNJ2BP"", ""SEMA6C"", ""SART1"", ""TPBG"")"
