gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
GLUL,-1.633932491,5.74433795,-9.593990276,9.86E-11,5.41E-08,14.55282109,Metabolism (other),0.079818191
AL031073.2,-1.786825751,2.913875052,-9.548596715,1.10E-10,5.93E-08,14.31154934,NA,0.011126027
RPL7A,-2.37704197,4.878864369,-9.469651846,1.33E-10,7.06E-08,14.26148267,NA,0.039285672
MTRNR2L3,-3.272071239,1.868029832,-9.40502885,1.56E-10,7.98E-08,13.61273384,NA,0.002621169
MTUS2,0.918743846,9.007576032,9.406204539,1.56E-10,7.98E-08,13.86854187,NA,0.64458856
CHD3,-1.698313907,4.857349509,-9.379354761,1.66E-10,8.23E-08,14.04883176,NA,0.049427764
MMGT1,-1.408752401,2.760167824,-9.385992533,1.63E-10,8.23E-08,13.93892733,NA,0.013727279
METTL7A,-2.671674489,6.066047874,-9.365727465,1.72E-10,8.37E-08,14.00888776,NA,0.077463919
RPL6,-1.797224363,5.92595542,-9.353688915,1.77E-10,8.49E-08,13.97247172,NA,0.088581979
RPS3A,-1.885229233,5.090393147,-9.333202012,1.86E-10,8.79E-08,13.93844611,NA,0.05261858
OST4,-1.793398861,2.946734679,-9.326571687,1.89E-10,8.79E-08,13.82142055,Metabolism (other),0.01200639
TMED7,-1.784267785,4.874600628,-9.317819652,1.93E-10,8.85E-08,13.90166091,NA,0.051877642
SCOC,-1.746091727,4.747214508,-9.265479907,2.20E-10,9.92E-08,13.77581435,NA,0.0456195
RPL22,-1.239435922,5.590424057,-9.241749874,2.33E-10,1.01E-07,13.70631595,NA,0.094792318
RPL30,-1.598648921,4.252529064,-9.222652456,2.44E-10,1.01E-07,13.66733849,NA,0.03462493
SELENOK,-1.601143577,3.840841945,-9.232646925,2.38E-10,1.01E-07,13.67758811,Metabolism (other),0.024339429
SRP14,-2.143078899,4.659656583,-9.242979455,2.32E-10,1.01E-07,13.72070725,NA,0.027466508
TUBB,-2.217965348,4.913804348,-9.228681805,2.40E-10,1.01E-07,13.68747818,Transport,0.040233754
VIM,-2.099368461,6.159664688,-9.225563494,2.42E-10,1.01E-07,13.65970559,NA,0.100468863
TMEM47,-1.913512952,5.709406159,-9.212352595,2.50E-10,1.02E-07,13.63537225,NA,0.075296873
FLT1,-2.562710212,3.445769538,-9.198221709,2.59E-10,1.05E-07,13.53670843,Development (differentiation),0.009094422
MORF4L1,-1.206201606,7.139763853,-9.19146377,2.63E-10,1.05E-07,13.5109858,NA,0.23424012
SPTSSA,-1.755855934,3.50273713,-9.183839712,2.68E-10,1.06E-07,13.54042544,Metabolism or Transport (lipid),0.02094147
MTPN,-1.074932718,5.354425077,-9.148635975,2.93E-10,1.14E-07,13.48448018,NA,0.088677584
SYPL1,-1.379610207,3.971100154,-9.133765627,3.04E-10,1.17E-07,13.44715035,NA,0.031238921
TTR,-2.803032843,13.26646819,-9.110889996,3.22E-10,1.22E-07,12.82806487,NA,0.52810985
PGRMC1,-2.584477557,3.792647694,-9.094508582,3.35E-10,1.24E-07,13.32677174,NA,0.01825258
RPS8,-2.16971573,5.999664717,-9.098632861,3.32E-10,1.24E-07,13.35541096,NA,0.08551067
RPL23,-1.87879145,5.161236501,-9.085525183,3.42E-10,1.25E-07,13.33905115,NA,0.058454466
SOSTDC1,-2.417909579,3.93754706,-9.071343748,3.55E-10,1.28E-07,13.28356783,Development (differentiation),0.021550951
RPS29,-1.224739809,5.912152842,-9.053578071,3.71E-10,1.32E-07,13.23465612,NA,0.114208092
MAT2B,-1.444861763,4.185178398,-9.037538367,3.86E-10,1.36E-07,13.22149676,NA,0.033728633
MGAT2,-2.119772826,1.437167503,-9.017934568,4.05E-10,1.40E-07,12.79508895,NA,0.003903869
SGCD,-2.001184795,3.518577217,-9.017479877,4.06E-10,1.40E-07,13.12493701,NA,0.014022061
RPL23A,-1.578721347,4.810074481,-9.00723557,4.16E-10,1.42E-07,13.15094364,NA,0.052120638
AOAH,-2.349473471,2.512381181,-8.982701585,4.42E-10,1.42E-07,12.92291561,Metabolism or Transport (lipid),0.006126685
ARF3,-1.419817712,4.44036209,-8.992943128,4.31E-10,1.42E-07,13.11619084,NA,0.043878693
CSTB,-2.108608878,4.44415257,-8.999889791,4.24E-10,1.42E-07,13.13149027,NA,0.028151677
LAMP2,-1.249581302,5.211154951,-8.980610208,4.45E-10,1.42E-07,13.07896348,NA,0.082132628
LIN7C,-1.1422816,4.959725341,-8.993816938,4.30E-10,1.42E-07,13.11463108,Polarity,0.064150928
RPS20,-1.528882602,5.202770575,-8.981647848,4.44E-10,1.42E-07,13.08279209,NA,0.063127159
RSL1D1,-0.958830329,4.386875046,-8.941534103,4.90E-10,1.55E-07,12.99109289,NA,0.049487518
COX6A1,-1.870602485,3.485546381,-8.911734087,5.28E-10,1.64E-07,12.88727382,NA,0.019479511
RPL17,-1.72771434,6.429569838,-8.914351043,5.25E-10,1.64E-07,12.87278275,NA,0.121717065
CHMP1B,-2.272045197,3.563141081,-8.907130378,5.34E-10,1.64E-07,12.87237243,NA,0.017388152
HCFC1,-1.3308945,4.088460314,-8.900238401,5.44E-10,1.65E-07,12.88674742,NA,0.039524684
NPC2,-1.963917701,6.60529699,-8.891520572,5.56E-10,1.66E-07,12.8119618,Metabolism or Transport (lipid),0.132054351
RPL3,-2.71707142,6.083742196,-8.89380876,5.53E-10,1.66E-07,12.85628648,NA,0.073261284
CDH12,0.877895295,9.496874837,8.885924941,5.64E-10,1.66E-07,12.52925459,Matrisome/cell adhesion/binding/signaling,0.673301916
HSPA13,-1.458989838,3.776370564,-8.874052446,5.81E-10,1.70E-07,12.8132522,Metabolism (other),0.026183809
ENTPD1,-1.715576832,1.902474357,-8.859214117,6.03E-10,1.75E-07,12.55846281,Metabolism (other),0.006170503
RBM8A,-1.3252288,3.817421121,-8.846134802,6.23E-10,1.78E-07,12.75036463,NA,0.02781706
RPL41,-2.23053696,5.936489563,-8.843318557,6.27E-10,1.78E-07,12.72622279,NA,0.076312676
ATP5PF,-1.451754753,4.865873175,-8.831958479,6.45E-10,1.79E-07,12.71943758,NA,0.056144013
EIF4A3,-1.221985401,3.074312698,-8.836769053,6.38E-10,1.79E-07,12.68791416,NA,0.019244482
MT-ND4,-5.555531735,9.590103004,-8.83204108,6.45E-10,1.79E-07,12.60710063,NA,0.068532822
ATP5IF1,-1.314974285,3.994704796,-8.82542741,6.56E-10,1.80E-07,12.70282817,NA,0.032214888
PRMT6,-1.46750342,3.145185944,-8.821398449,6.63E-10,1.80E-07,12.65593728,Metabolism (other),0.018065354
DYNLT3,-1.672323293,3.043315363,-8.807854923,6.86E-10,1.82E-07,12.61333859,Cilia,0.014635526
MAGI1,0.651225857,10.14350769,8.810968235,6.80E-10,1.82E-07,12.27949698,Matrisome/cell adhesion/binding/signaling,0.829157919
