gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
DMRTA2,-1.070405974,-0.513270722,-1.489536244,0.143880337,0.333568299,-5.140755712,Development (differentiation),0.000607615
IL17F,0.964017627,-0.83308971,1.489458256,0.143900788,0.33357469,-5.250222629,Inflammation/Immune/Stress/Toxic/Detox,0.001282744
SAE1,0.180265986,5.720118283,1.489444729,0.143904336,0.33357469,-6.205690216,NA,0.098838779
AC008277.1,0.703878644,-0.31561007,1.488911868,0.144044136,0.333823837,-5.291383864,NA,0.00216041
COL18A1-AS1,-0.810469903,-0.685069872,-1.488751541,0.144086221,0.333823837,-5.171445992,NA,0.00047259
KRT6A,0.95944451,-0.890601348,1.488766158,0.144082383,0.333823837,-5.239573357,NA,0.001417769
MICAL2,-0.956961574,7.044168845,-1.488782457,0.144078105,0.333823837,-6.260457921,NA,0.160613016
PBXIP1,-1.249021655,4.926821637,-1.488983,0.144025468,0.333823837,-5.887076585,NA,0.034566568
PCDHA11,-1.008191982,-1.009623006,-1.488933563,0.144038443,0.333823837,-5.12035896,Development (differentiation),0.000202538
UIMC1,0.201935316,6.443422341,1.48878262,0.144078062,0.333823837,-6.347712075,NA,0.164731299
RNF26,-0.968356128,0.827541939,-1.488700532,0.144099612,0.333830236,-5.300425129,NA,0.001620308
AC009468.2,1.045113404,-0.847234323,1.488484127,0.144156436,0.333926026,-5.255126067,NA,0.001080205
AC024337.1,0.735807959,0.028624376,1.488443602,0.144167079,0.333926026,-5.338951458,NA,0.002565487
F11,0.589464749,0.420113417,1.488421603,0.144172857,0.333926026,-5.379262632,NA,0.003240616
AL355303.1,0.752309745,0.254791954,1.488156903,0.144242392,0.334062445,-5.358616204,NA,0.003173103
AL049646.1,0.586063032,2.251472538,1.487740525,0.144351827,0.334250007,-5.666029424,NA,0.011072104
MUC12,0.763400488,1.465156192,1.487779015,0.144341708,0.334250007,-5.533247493,Matrisome/cell adhesion/binding/signaling,0.008776668
RAB38,0.685554689,2.802267655,1.487727292,0.144355306,0.334250007,-5.728706059,Transport,0.019916284
AC009292.1,0.952905445,-1.75265062,1.487529124,0.144407414,0.334321365,-5.170407673,NA,0.000607615
FAM225B,0.822930461,-0.023910013,1.487541018,0.144404286,0.334321365,-5.326137,NA,0.002227923
OR5A1,0.90053957,-0.32533691,1.487434297,0.144432354,0.334354458,-5.315335635,NA,0.001822846
AC092100.1,0.765133323,4.773472362,1.487260589,0.144478048,0.334435588,-6.130407247,NA,0.059883878
DNAJB1,0.721921,8.053657163,1.487097233,0.14452103,0.334485777,-6.778425315,Metabolism (other),0.288144748
PGM3,-0.341422155,4.96300413,-1.487135353,0.144510999,0.334485777,-5.975179294,Metabolism (other),0.047258979
Z99127.4,0.741643016,0.064136231,1.48699697,0.144547416,0.334522194,-5.329685055,NA,0.002768026
KLF4,-0.574971816,3.460748669,-1.486917931,0.144568219,0.334545687,-5.735348411,NA,0.014177694
AC131235.2,0.800006448,-1.023108213,1.486659654,0.144636215,0.334653721,-5.224445582,NA,0.001080205
SCRT2,0.910214818,-1.181030859,1.486665445,0.14463469,0.334653721,-5.209893701,NA,0.001012692
CHL1-AS2,0.682539485,1.872730733,1.486575504,0.144658374,0.334680336,-5.582121071,NA,0.009181745
AC097494.1,0.964222362,-1.816836658,1.486236723,0.144747614,0.334812808,-5.157523509,NA,0.000540103
LINC01879,0.863770401,-1.046036642,1.486309828,0.144728353,0.334812808,-5.232781629,NA,0.00094518
MBTD1,0.262350895,6.771089085,1.486265737,0.144739969,0.334812808,-6.418037913,NA,0.19173643
ABCB7,0.234973395,5.700088269,1.485967629,0.144818527,0.334902841,-6.182128106,Metabolism (other),0.110383473
GUCY1A2,-0.610708178,4.761448832,-1.485994715,0.144811388,0.334902841,-5.985968605,NA,0.033621388
SLC25A15,-0.509287433,2.046072012,-1.486043043,0.144798651,0.334902841,-5.495580404,Transport,0.004928436
FOS,0.781459523,6.714770843,1.485898326,0.144836795,0.334920426,-6.518134282,NA,0.201728328
AC068643.1,0.75813427,1.952973839,1.485690895,0.144891483,0.334975925,-5.608451577,NA,0.009654334
CLEC4C,0.841396541,1.784344915,1.485685929,0.144892793,0.334975925,-5.652388937,NA,0.009519309
ZMYND12,-0.549409472,2.202189141,-1.485737038,0.144879316,0.334975925,-5.501836602,NA,0.006008642
NDE1,0.316281457,5.357883678,1.485417183,0.144963671,0.33511512,-6.156347681,Development (differentiation),0.087091547
ENTPD7,-0.447257344,3.66458802,-1.48526034,0.145005049,0.33516841,-5.737159596,Metabolism (other),0.017823386
JADE3,-0.252058415,4.824693168,-1.485248904,0.145008067,0.33516841,-5.998593423,NA,0.041520389
AC008572.1,0.825278182,-0.438893619,1.485099202,0.14504757,0.335235046,-5.290121084,NA,0.001822846
