gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
DGAT2,0.364109754,0.912691274,1.196749643,0.238171939,0.380617009,-5.757282086,NA,0.005024165
AC004551.1,0.337994755,1.865722678,1.196639538,0.238214406,0.380665506,-5.910385651,NA,0.010206571
Z99572.1,0.25058237,1.865822165,1.19642459,0.238297327,0.380778639,-5.883323492,NA,0.009257123
AC010245.2,0.382600521,0.417068747,1.196081891,0.238429575,0.380970576,-5.666499877,NA,0.004008782
AL512274.1,-0.571352865,-0.580913178,-1.196040407,0.238445587,0.380976779,-5.453655685,NA,0.00108791
AC090505.2,-0.628073073,-1.53470005,-1.19600308,0.238459995,0.380980419,-5.364006832,NA,0.000494504
IFIT1B,-0.554364292,-1.12173914,-1.195956989,0.238477787,0.380989464,-5.384768394,Inflammation/Immune/Stress/Toxic/Detox,0.000731867
LINC02120,-0.552807086,-1.080600946,-1.195808032,0.238535295,0.381061954,-5.423447219,NA,0.000679119
AC008619.1,-0.557486071,-0.410609436,-1.195679347,0.238584985,0.381121948,-5.500612606,NA,0.001219778
NFE2,-0.663253318,-0.308431191,-1.19555852,0.238631647,0.3811771,-5.49396552,NA,0.001312085
BRINP2,-0.353926729,2.657671037,-1.195399244,0.238693168,0.381255979,-5.978688361,Development (differentiation),0.011301074
AL512380.2,0.396421843,3.464020184,1.195287754,0.238736238,0.381305382,-6.188147766,NA,0.025239505
