gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
BX322557.1,0.218087821,-2.067350607,0.42987397,0.670302982,0.766149647,-5.826215329,NA,0.000157533
ALDH6A1,-0.100667843,5.582407317,-0.429799301,0.670356712,0.766154032,-7.001485898,Metabolism (other),0.033533843
RIIAD1,-0.189204917,0.430841561,-0.429805435,0.670352298,0.766154032,-6.133125228,NA,0.001057131
RNF183,0.22215208,-1.876392693,0.42970922,0.670421535,0.766199604,-5.841836936,NA,0.000198989
LINC01973,-0.161093687,1.577058076,-0.429558264,0.67053017,0.766295243,-6.336560942,NA,0.002263503
AP002807.1,0.233042521,-0.676944946,0.429308785,0.670709723,0.766391253,-6.021414502,NA,0.000750355
DAB2,0.07547899,4.555385938,0.42930284,0.670714002,0.766391253,-6.842114149,Development (differentiation),0.014563529
ELAC1,0.084489003,2.813261072,0.429392165,0.670649711,0.766391253,-6.56246346,NA,0.00509081
LENG1,0.118025613,0.800615431,0.42932237,0.670699945,0.766391253,-6.238669286,NA,0.001218809
AL031670.1,-0.260236909,-1.755424069,-0.42879408,0.671080224,0.766724135,-5.813992874,NA,0.00016997
RAB41,-0.321522316,-3.417165385,-0.428853488,0.671037455,0.766724135,-5.66721196,Transport,3.73E-05
SEC24C,0.098883138,4.740268095,0.428821203,0.671060698,0.766724135,-6.882534317,NA,0.021237962
AL445645.1,-0.236712043,-1.812978526,-0.428733155,0.671124085,0.766745722,-5.822136528,NA,0.000161679
PEX6,-0.095567461,4.566452998,-0.428671521,0.671168458,0.766767893,-6.821376894,NA,0.017254031
RALGAPB,-0.043336452,6.436425936,-0.428432895,0.671340266,0.766935643,-7.096274908,NA,0.059833595
SMPD4,0.091993633,5.006175156,0.428011875,0.67164344,0.767247118,-6.903961847,Metabolism or Transport (lipid),0.026647984
TMEM19,0.084570311,3.368467492,0.427984879,0.671662882,0.767247118,-6.692711669,NA,0.008001028
AP000289.1,0.30757123,-2.883020403,0.427895921,0.671726947,0.767291761,-5.744296082,NA,0.000128514
PANO1,-0.2262246,-1.16587944,-0.427771142,0.671816816,0.767337334,-5.911380498,NA,0.000368959
UTP23,0.129966881,5.037227155,0.427776442,0.671812998,0.767337334,-6.903862052,NA,0.020263744
LRRC24,-0.212285421,0.861301303,-0.427579597,0.671954779,0.76746637,-6.21447317,NA,0.001471692
TAS2R43,-0.16425072,0.337894327,-0.427428934,0.672063305,0.767561776,-6.109008956,NA,0.000771084
AC008676.1,0.213612764,-1.947598133,0.427163289,0.672254672,0.767737078,-5.845457469,NA,0.000186552
AC092376.3,-0.316159683,-3.507610285,-0.427120374,0.67228559,0.767737078,-5.665770683,NA,3.32E-05
SPIN2B,-0.136550719,0.695914138,-0.427111764,0.672291793,0.767737078,-6.173379456,NA,0.001202227
ADAT3,-0.276068098,-2.118638865,-0.427045046,0.67233986,0.767763421,-5.807174807,NA,0.000149242
MDH1B,0.132235304,4.662209942,0.426893812,0.672448823,0.767859297,-6.852579569,NA,0.024052832
AL445235.1,0.370210089,-2.929626493,0.426346553,0.672843178,0.768258123,-5.728652419,NA,0.000124368
CABP7,0.308127471,-3.148826173,0.426304303,0.672873627,0.768258123,-5.722154953,NA,6.63E-05
FGF16,-0.186563558,0.356649661,-0.426270269,0.672898156,0.768258123,-6.112828991,Development (differentiation),0.000708899
SMIM2,-0.311334547,-3.30408437,-0.426294048,0.672881018,0.768258123,-5.68800226,NA,4.15E-05
PRSS45P,-0.137768123,0.471024587,-0.426099347,0.673021346,0.768370206,-6.138950907,Metabolism (other),0.000994947
ASPRV1,-0.251925882,-1.388211207,-0.426036192,0.673066866,0.76839361,-5.873515009,NA,0.000194844
CLIP3,0.104404468,3.704336613,0.425986945,0.673102363,0.768405571,-6.72982865,Transport,0.01049254
AL139384.2,0.171448884,-0.108514903,0.425721591,0.673293641,0.768515904,-6.067469897,NA,0.00057624
MLLT3,-0.082567608,7.715783532,-0.425775231,0.673254973,0.768515904,-7.255951084,NA,0.122125537
PCDHB5,0.165236157,-0.996173635,0.42578374,0.67324884,0.768515904,-5.957505093,Development (differentiation),0.000368959
TFB2M,0.066183577,3.551724258,0.425679294,0.673324132,0.768515904,-6.690607231,NA,0.008618724
USP1,0.070155909,4.100372843,0.425697963,0.673310674,0.768515904,-6.776547217,NA,0.011926921
UCKL1,0.127442588,3.185906626,0.425440114,0.673496566,0.768684147,-6.619964626,NA,0.00733773
AC048344.4,0.24518521,-2.419677507,0.425271972,0.673617796,0.76879394,-5.795250218,NA,0.000145096
LSR,0.057549006,4.675351446,0.425174862,0.673687816,0.768845281,-6.848496417,Metabolism or Transport (lipid),0.01898275
AC127540.1,0.224995863,-1.88094549,0.425119036,0.67372807,0.76886265,-5.847518518,NA,0.000215572
