gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
AXIN1,-2.230757827,-0.091736957,-2.67496137,0.014658996,0.096125412,-2.912947688,,,,,,,,,,,,,,,,,,,
AZU1,-4.887371231,-2.175021739,-3.028170697,0.006709601,0.096125412,-2.262385969,,,,,,,,,,,,,,,,,,,
BABAM1,-2.761977727,-0.510041304,-3.01811586,0.006862814,0.096125412,-2.281259439,,,,,,,,,,,,,,,,,,,
BACH1,-2.716647837,1.504793478,-3.721911413,0.001371251,0.096125412,-0.930829321,,,,,,,,,,,,,,,,,,,
BAG6,-2.399612164,0.301678261,-3.073121329,0.006064189,0.096125412,-2.177800467,,,,,,,,,,,,,,,,,,,
BANK1,-3.154074604,-3.228697826,-2.687206764,0.014273576,0.096125412,-2.890884138,,,,,,,,,,,,,,,,,,,
BAP18,-4.803766563,-1.451658696,-2.731625072,0.012954757,0.096125412,-2.810521422,,,,,,,,,,,,,,,,,,,
BCHE,-2.309470605,-1.23858913,-2.697604828,0.013953872,0.096125412,-2.872117772,,,,,,,,,,,,,,,,,,,
BCL2L1,-3.057748012,1.773217391,-2.863651816,0.009686189,0.096125412,-2.568803596,,,,,,,,,,,,,,,,,,,
BCL7B,-2.447128757,0.562436957,-2.663226551,0.015037595,0.096125412,-2.934053413,,,,,,,,,,,,,,,,,,,
BDNF,-3.883232247,-1.026593478,-3.772227263,0.001220277,0.096125412,-0.833001999,,,,,,,,,,,,,,,,,,,
BEX3,3.344992095,-5.832213043,3.013592103,0.006932843,0.096125412,-2.289744987,,,,,,,,,,,,,,,,,,,
BIN2,-4.209455717,-0.889932609,-3.265248568,0.003922608,0.096125412,-1.812843312,,,,,,,,,,,,,,,,,,,
BLMH,-2.075644425,1.886241304,-2.852582515,0.009926622,0.096125412,-2.589223162,,,,,,,,,,,,,,,,,,,
BLNK,-3.771268095,4.216302174,-2.983804534,0.007411508,0.096125412,-2.345528162,,,,,,,,,,,,,,,,,,,
BLVRB,-2.541180111,4.371545652,-2.96862115,0.007667615,0.096125412,-2.373899448,,,,,,,,,,,,,,,,,,,
