gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
RP11-298I3.5,0.298972531,6.7440149,0.481404193,0.631759658,0.999917524,-4.604865106,NA
RP11-2C24.9,-0.355131753,6.874416328,-0.607206242,0.545716472,0.999917524,-4.604054884,NA
RP11-302M6.4,0.223510218,9.037411298,0.595644936,0.553370412,0.999917524,-4.617967064,NA
RP11-314N13.10,-0.14878294,7.050098445,-0.260707067,0.795098565,0.999917524,-4.609238461,NA
RP11-315D16.2,-0.423667005,7.086521794,-0.834482389,0.406902608,0.999917524,-4.601336535,NA
RP11-322E11.6,-0.166965978,7.088143276,-0.260966811,0.794899074,0.999917524,-4.608030637,NA
RP11-385J1.3,-0.33889956,9.039278702,-0.875779169,0.384202983,0.999917524,-4.603165779,NA
RP11-403P17.5,0.764444014,7.393465912,1.39927105,0.166232266,0.999917524,-4.58071556,NA
RP11-407N17.3,0.098981042,7.755932996,0.222042411,0.824939842,0.999917524,-4.617792859,NA
RP11-411B6.6,-1.51596357,5.034253895,-1.964582918,0.053510041,0.999917524,-4.573251834,NA
RP11-426L16.10,0.694504441,5.9611529,0.986718312,0.327244415,0.999917524,-4.595459782,NA
RP11-434D12.1,-1.157919208,6.090895562,-1.946729029,0.055658569,0.999917524,-4.559445857,NA
RP11-435I10.4,0.745671453,6.378900973,1.082531239,0.282802852,0.999917524,-4.593513402,NA
RP11-437B10.1,-0.304821708,8.192765767,-0.735097251,0.46478319,0.999917524,-4.608185614,NA
RP11-439C15.6,-0.310717236,9.091536387,-0.811068827,0.420128152,0.999917524,-4.607341766,NA
RP11-446E24.4,0.05292744,6.663110429,0.086047679,0.931678894,0.999917524,-4.607650538,NA
RP11-449H3.3,-0.286738069,7.665651725,-0.581275708,0.562957617,0.999917524,-4.608287473,NA
RP11-45M22.4,-0.22181593,6.896937874,-0.385336143,0.701179322,0.999917524,-4.608100584,NA
RP11-463C8.4,0.165423677,8.435538742,0.39305897,0.695493411,0.999917524,-4.617666464,NA
RP11-463D19.2,0.061622968,8.453775906,0.163508899,0.870597993,0.999917524,-4.626965626,NA
RP11-468E2.4,0.388064381,6.54028283,0.613421652,0.54162397,0.999917524,-4.602558703,NA
RP11-47I22.4,0.17634296,8.700494297,0.486212283,0.628364568,0.999917524,-4.622401647,NA
RP11-505K9.4,-0.41270223,6.37609687,-0.635586596,0.527158193,0.999917524,-4.602440524,NA
RP11-507K12.1,-0.220880996,8.466551852,-0.481781473,0.631492964,0.999917524,-4.612868504,NA
RP11-507M3.1,0.035443927,6.011961997,0.047654779,0.962129688,0.999917524,-4.604357811,NA
RP11-512M8.5,-0.056833597,7.213038813,-0.107124481,0.915002555,0.999917524,-4.612689361,NA
RP11-514O12.4,0.027778911,8.194921634,0.065796524,0.947730986,0.999917524,-4.621630308,NA
RP11-51F16.8,0.227792316,7.127310726,0.380427019,0.704802588,0.999917524,-4.607176126,NA
RP11-540D14.8,-0.085097931,7.141751037,-0.141501445,0.887888083,0.999917524,-4.608893745,NA
RP11-542C16.2,-0.253251756,5.788180887,-0.356979209,0.722201943,0.999917524,-4.603351977,NA
RP11-544M22.13,-0.596261968,7.10402777,-1.062369541,0.291789495,0.999917524,-4.593429139,NA
RP11-561B11.2,0.080443668,8.41952699,0.200380444,0.841775264,0.999917524,-4.623458983,NA
RP11-571M6.15,-0.072881553,6.417455231,-0.118405773,0.906091799,0.999917524,-4.607869242,NA
RP11-574F21.3,-0.10277852,7.592261902,-0.18480895,0.853923565,0.999917524,-4.610457409,NA
RP11-574K11.31,-0.424607812,6.961373799,-0.72211985,0.472672511,0.999917524,-4.602047196,NA
RP11-58C22.1,0.79457115,7.743348449,1.585564452,0.117432337,0.999917524,-4.567067295,NA
RP11-599B13.6,0.252713811,8.418224598,0.609817703,0.543995062,0.999917524,-4.613104508,NA
RP11-644F5.10,-0.389111002,5.769675669,-0.549628902,0.584356913,0.999917524,-4.601933781,NA
RP11-65B7.2,0.676001346,6.95367403,1.146055196,0.255749985,0.999917524,-4.590958023,NA
RP11-701H24.9,-0.318320083,6.124113697,-0.421321289,0.674836242,0.999917524,-4.603467375,NA
RP11-723O4.6,0.314475445,5.959259589,0.439592111,0.661612768,0.999917524,-4.603159957,NA
RP11-729L2.2,0.2807123,7.994166276,0.624438654,0.534408561,0.999917524,-4.609458411,NA
RP11-73M18.2,0.340586944,7.865874463,0.650255391,0.51769669,0.999917524,-4.605206696,NA
RP11-745O10.4,0.561673936,7.220392441,0.954923192,0.342965814,0.999917524,-4.596535561,NA
RP11-762I7.5,0.109204706,7.281954984,0.19527287,0.845755913,0.999917524,-4.609976181,NA
RP11-793H13.10,-0.102217278,8.142865876,-0.223599486,0.823732767,0.999917524,-4.617439656,NA
RP11-81A22.5,0.07447687,5.9611529,0.101170297,0.919710066,0.999917524,-4.604589918,NA
RP11-831H9.11,0.583767825,6.663110429,0.899453029,0.371554421,0.999917524,-4.597484627,NA
RP11-849F2.7,0.851013732,6.559352815,1.288709331,0.201823546,0.999917524,-4.588119525,NA
RP11-864I4.1,1.029961836,7.398197432,1.804553287,0.075529026,0.999917524,-4.563676544,NA
RP11-87C12.2,0.752188605,6.81828587,1.154156716,0.252436505,0.999917524,-4.591620624,NA
RP11-903H12.5,-0.220849924,6.762520119,-0.364068028,0.716925708,0.999917524,-4.606708578,NA
RP11-96L14.7,0.448877625,6.042057371,0.65732898,0.513166458,0.999917524,-4.60101499,NA
RP11-96L14.8,-0.006429069,5.919229772,-0.009094102,0.992770422,0.999917524,-4.605423723,NA
RP13-1032I1.10,0.174692606,6.729866751,0.284190505,0.777119497,0.999917524,-4.607042742,NA
RP13-279N23.2,-0.346797446,7.556504475,-0.753708,0.453600941,0.999917524,-4.604962517,NA
RP2,0.397462564,6.403307082,0.594720672,0.553984616,0.999917524,-4.602298962,NA
RP3-382I10.7,-1.09174353,7.349946329,-2.422238909,0.018068736,0.999917524,-4.491910951,NA
RP3-468K18.5,0.021502776,6.153294814,0.032371679,0.974269546,0.999917524,-4.606356315,NA
RP4-539M6.19,-0.083773125,6.289484138,-0.11548381,0.908398658,0.999917524,-4.60441351,NA
RP4-559A3.7,-0.413861168,6.994027168,-0.785498173,0.434863177,0.999917524,-4.601899909,NA
RP4-576H24.4,0.242994448,7.138576745,0.435137939,0.664826739,0.999917524,-4.607520748,NA
RP4-583P15.14,-0.79644251,5.808229926,-1.145958011,0.25578992,0.999917524,-4.592157395,NA
RP4-583P15.15,0.843530445,6.201545917,1.219731372,0.226739026,0.999917524,-4.590399227,NA
RP4-614O4.11,-0.39467081,5.723736595,-0.551417541,0.583137198,0.999917524,-4.601787641,NA
RP4-635E18.9,0.354618373,6.417455231,0.550587115,0.583703334,0.999917524,-4.603232496,NA
RP4-734P14.4,-0.101977096,6.81828587,-0.175954949,0.860847145,0.999917524,-4.609258337,NA
RP5-1021I20.4,-0.247753243,7.679974287,-0.535330321,0.594150788,0.999917524,-4.61137783,NA
RP5-1028K7.3,-0.022981099,5.828706051,-0.032308452,0.974319784,0.999917524,-4.605174592,NA
RP5-1052I5.2,-0.091558367,7.99744961,-0.180504971,0.857287754,0.999917524,-4.613544764,NA
RP5-850E9.3,-0.932934767,6.621187301,-1.536645413,0.128974881,0.999917524,-4.57839537,NA
RP5-994D16.12,0.192879854,6.546610805,0.309692886,0.75773226,0.999917524,-4.606292387,NA
RP9,0.021502776,6.153294814,0.032371679,0.974269546,0.999917524,-4.606356315,NA
RPA2,-0.053391797,6.783396492,-0.087930846,0.930187539,0.999917524,-4.60840193,NA
RPA3,0.332000064,7.461919655,0.644552243,0.521364574,0.999917524,-4.605649095,NA
RPAP2,-0.245371818,7.330833891,-0.503077777,0.616519262,0.999917524,-4.610083242,NA
RPF2,-0.691854376,6.234199286,-1.084109512,0.282107548,0.999917524,-4.593145703,NA
