gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
ASB14,-0.449994598,5.301424182,-1.299532365,0.201162942,0.420832488,-5.474022964,Metabolism (other)
OVCH1,0.292521538,6.569069837,1.299184601,0.2012811,0.420918986,-5.730954695,NA
UBA6,0.278492789,7.020771259,1.299014921,0.20133877,0.420918986,-5.824662416,Metabolism (other)
TMEM252,-0.659209908,4.442567528,-1.298906163,0.201375742,0.420918986,-5.350406763,NA
DEPDC7,-0.423930841,5.647778486,-1.298843325,0.201397105,0.420918986,-5.530723497,NA
ARMC8,0.252766658,7.579318543,1.298689909,0.20144927,0.420927261,-5.938431657,NA
PTBP3,-0.243622358,7.712265111,-1.298217223,0.201610058,0.421079675,-5.970042049,NA
NDUFB1,-0.40431271,5.107595897,-1.29819195,0.201618658,0.421079675,-5.458657222,NA
PRRT4,0.512157215,5.411931016,1.297908052,0.201715278,0.421146902,-5.507741853,NA
LIN9,0.293655677,6.530519078,1.297813962,0.201747308,0.421146902,-5.728179005,Development (cell cycle)
SOHLH1,-0.517709914,4.704035411,-1.297021393,0.202017264,0.421609644,-5.394843668,NA
OR4N2,0.253657302,7.373497008,1.29632024,0.202256311,0.421998245,-5.897987278,NA
RRM1,0.321784906,6.568247176,1.296191809,0.202300121,0.421998245,-5.712657934,NA
ERAS,-0.67229637,4.304656819,-1.295156712,0.202653469,0.422526994,-5.327036503,NA
AC096949.1,0.316056581,6.331133602,1.295083448,0.202678496,0.422526994,-5.687279346,NA
RAD51,0.366082602,5.708680379,1.295024134,0.20269876,0.422526994,-5.572210034,NA
TRAF5,0.290769197,6.849609076,1.294815647,0.202769999,0.422528556,-5.787780107,NA
SLC13A4,0.303748869,7.228840995,1.294656057,0.202824543,0.422528556,-5.85100896,Transport
BRAP,-0.337582407,6.307564242,-1.294582799,0.202849585,0.422528556,-5.678185482,NA
EPM2A,0.203963617,8.548183191,1.29445562,0.202893064,0.422528556,-6.084674283,Metabolism (other)
RASGEF1A,0.249401228,7.884378687,1.293907988,0.203080363,0.422689411,-6.001604716,NA
TMEM19,-0.426729531,6.128743499,-1.293827833,0.203107789,0.422689411,-5.622285932,NA
C15orf41,0.207340367,8.426191355,1.293805222,0.203115526,0.422689411,-6.064357644,NA
BBS4,0.373540758,6.195786521,1.293594466,0.203187652,0.42273876,-5.655666867,Cilia
MICU1,0.259304155,7.786820624,1.293334549,0.203276629,0.422823137,-5.941679594,NA
SLC16A2,0.24194679,7.509811485,1.292989255,0.203394879,0.422968346,-5.923925232,Transport
EEF2K,-0.251479759,7.512762302,-1.292499776,0.203562596,0.42321633,-5.934987423,NA
ZNF587B,-0.467622014,5.678027408,-1.291951775,0.203750488,0.423506133,-5.545384127,NA
SEPT4,-0.354789651,6.015652694,-1.291528765,0.203895615,0.423614934,-5.609261238,NA
ZYG11B,0.270435505,7.192744668,1.291352525,0.203956103,0.423614934,-5.861352643,NA
SLC25A48,0.314101043,6.669627548,1.291245479,0.203992849,0.423614934,-5.766282362,Transport
PAFAH1B1,-0.260068999,7.283083894,-1.290983811,0.204082694,0.423614934,-5.880495488,NA
PHLDA3,-0.395466187,5.51675781,-1.290813786,0.204141088,0.423614934,-5.517852072,Development (apoptosis)
TGM7,0.345675482,5.653252519,1.290626366,0.204205472,0.423614934,-5.562787077,NA
WDR54,-0.501301756,5.277720534,-1.290565989,0.204226216,0.423614934,-5.478414478,NA
ONECUT1,-0.330923671,6.462555783,-1.290324442,0.204309223,0.423614934,-5.701496521,NA
CFAP46,0.210229997,8.055877807,1.290193108,0.204354366,0.423614934,-6.027659397,Cilia
ARHGEF3,0.237183262,9.07069847,1.29018303,0.204357831,0.423614934,-6.110930316,NA
PCNX2,0.214856566,8.839871838,1.290051517,0.204403043,0.423614934,-6.118850372,NA
IMPACT,-0.383490082,6.079782185,-1.290031256,0.20441001,0.423614934,-5.626713825,NA
MICU3,0.256135068,7.213677713,1.289957697,0.204435302,0.423614934,-5.870623692,NA
SLC17A2,-0.444340609,5.358434151,-1.289821863,0.204482014,0.423614934,-5.488157945,Transport
ARHGEF9,0.261372052,7.839722222,1.289006819,0.204762468,0.424024212,-5.983110855,NA
WSCD2,0.235666019,7.721377746,1.288965494,0.204776695,0.424024212,-5.975316971,NA
KLF8,0.356178777,5.983037435,1.288393065,0.204973849,0.424248795,-5.631421265,NA
JDP2,-0.265530585,7.305179938,-1.288368465,0.204982325,0.424248795,-5.899448237,NA
COMMD9,-0.356040584,5.791056995,-1.288035608,0.205097036,0.42434989,-5.577182183,NA
TKFC,-0.302945888,6.399743606,-1.287888921,0.205147604,0.42434989,-5.698121994,NA
GTPBP8,-0.355889458,5.921656405,-1.287564863,0.20525935,0.42434989,-5.604008119,NA
SNX31,0.309689202,6.980050952,1.287352405,0.205332637,0.42434989,-5.818326779,NA
