gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
ACOT6,-0.067280669,4.961743454,-0.158380042,0.874950124,0.956921904,-5.830932481,Metabolism or Transport (lipid)
NLRP14,0.056360489,6.680839999,0.158148821,0.875131131,0.957000004,-6.092912881,Inflammation/Immune/Stress/Toxic/Detox
TSPAN1,0.065781879,5.507072555,0.157749938,0.875443405,0.957221614,-5.915201155,Matrisome/cell adhesion/binding/signaling
TSPAN1,0.065781879,5.507072555,0.157749938,0.875443405,0.957221614,-5.915201155,Motility
CNR1,-0.073173893,5.719863367,-0.157367603,0.875742742,0.95733127,-5.930345713,NA
VTI1A,0.028777409,8.837604361,0.157231498,0.875849306,0.95733127,-6.528245876,NA
IL32,-0.065011354,5.171291714,-0.157167045,0.87589977,0.95733127,-5.854776094,Inflammation/Immune/Stress/Toxic/Detox
SLC24A5,-0.071078412,5.127954957,-0.157061728,0.875982231,0.95733127,-5.849319878,Transport
NEK10,0.03597143,8.612553599,0.156904849,0.876105066,0.957345693,-6.480011083,NA
GRM2,0.059087603,5.577474363,0.156746846,0.876228784,0.957361079,-5.89218928,NA
TTC1,-0.05207708,6.700883391,-0.156548221,0.876384314,0.957410315,-6.077454541,NA
STIM2,-0.04020225,8.306342646,-0.156228941,0.876634332,0.957410315,-6.397794539,NA
USP29,-0.091526411,4.570396076,-0.15615245,0.876694232,0.957410315,-5.816766007,Metabolism (other)
TMEM177,0.069291752,5.32161323,0.155783851,0.876982888,0.957410315,-5.862442926,NA
RP4-539M6.19,0.063234663,6.341027923,0.155713943,0.877037637,0.957410315,-6.033156738,NA
EIF4EBP2,0.056095636,6.387031455,0.15570976,0.877040913,0.957410315,-6.060602144,NA
PNN,0.066028477,6.073170562,0.155709196,0.877041354,0.957410315,-6.015225649,NA
CFAP97,0.044710611,7.207107448,0.154948337,0.877637258,0.957887638,-6.173466742,Cilia
IRGM,0.060595773,6.140788608,0.154870779,0.877698006,0.957887638,-5.981654952,Inflammation/Immune/Stress/Toxic/Detox
PPP1R32,0.064561099,5.469091306,0.15447452,0.878008388,0.958106629,-5.90437083,Metabolism (other)
TTC37,-0.050146133,6.84847296,-0.154141729,0.878269072,0.958164449,-6.090171196,NA
AC007557.5,0.087837638,4.269788839,0.154076373,0.878320269,0.958164449,-5.795213157,NA
DIP2C,-0.024924707,9.665755832,-0.153685359,0.878626581,0.958164449,-6.644569442,NA
NKTR,-0.051441616,6.581387163,-0.153585598,0.878704734,0.958164449,-6.048790748,NA
GBX1,0.060855363,6.167426163,0.153502609,0.87876975,0.958164449,-6.047263905,Development (differentiation)
ZBED5,-0.057839168,6.593704389,-0.153413327,0.878839696,0.958164449,-6.045163114,NA
RPGR,-0.056748853,6.199451064,-0.153361024,0.878880672,0.958164449,-5.996738765,NA
ZNF665,0.06355212,5.564378222,0.153203468,0.87900411,0.958164449,-5.92306274,NA
REV1,-0.046952574,7.29078562,-0.153063228,0.879113984,0.958164449,-6.204843889,NA
NBPF11,0.078032313,4.877297404,0.152876187,0.879260528,0.958164449,-5.834349108,NA
TSR1,-0.062459652,5.738236155,-0.152808306,0.879313714,0.958164449,-5.912809332,NA
CTB-60B18.23,0.060870312,5.320731812,0.15254588,0.879519332,0.958164449,-5.885288872,NA
NOX1,0.080991093,5.210618578,0.152463096,0.879584197,0.958164449,-5.856534831,Metabolism (other)
SYNE4,-0.066091568,4.958693911,-0.152391431,0.879640351,0.958164449,-5.83935568,NA
TMEM43,0.048026965,6.601991636,0.151850137,0.880064506,0.958164449,-6.076195592,NA
CDH24,-0.056564667,6.125209916,-0.151796175,0.880106792,0.958164449,-5.991379421,Matrisome/cell adhesion/binding/signaling
DIS3,-0.053200869,6.018455403,-0.151633874,0.880233978,0.958164449,-5.998505146,NA
IDH1,-0.045588821,6.970788754,-0.151478957,0.880355381,0.958164449,-6.149864632,Metabolism (other)
SLC29A2,-0.072630823,5.065409297,-0.151475145,0.880358369,0.958164449,-5.835382078,Transport
FA2H,-0.041557057,7.084604881,-0.151462869,0.880367989,0.958164449,-6.175584853,Metabolism or Transport (lipid)
LCT,0.048754469,6.596595622,0.151312432,0.880485884,0.958164449,-6.086579414,NA
DSCR3,0.045115554,6.879293914,0.15124857,0.880535933,0.958164449,-6.138459921,NA
GABARAPL1,0.049706537,6.806911391,0.151177116,0.880591932,0.958164449,-6.099321581,NA
EFCAB10,-0.055170948,6.191508413,-0.150844841,0.880852346,0.958164449,-5.989541842,NA
GLDC,-0.040256194,7.648651013,-0.150828446,0.880865195,0.958164449,-6.296485895,NA
KIF24,-0.048003667,6.694096844,-0.150765715,0.880914361,0.958164449,-6.12116156,NA
FBXO2,-0.058895256,5.621616323,-0.150345105,0.881244029,0.958262465,-5.907206333,NA
GRXCR1,-0.03737113,7.576542023,-0.150282837,0.881292835,0.958262465,-6.281013998,NA
CYB5RL,-0.054515652,6.141814053,-0.150230704,0.881333698,0.958262465,-6.00201674,NA
EGF,-0.044171331,7.002511972,-0.149845227,0.881635853,0.95842691,-6.157916551,Development (differentiation)
ACAD11,0.041959118,7.023485964,0.149757702,0.881704463,0.95842691,-6.174492127,Metabolism or Transport (lipid)
LDLRAD1,-0.068063677,5.234531569,-0.14929387,0.882068065,0.958702806,-5.855923709,NA
CYP4A11,-0.087848907,4.508915061,-0.149044127,0.882263851,0.95879626,-5.80227244,Metabolism or Transport (lipid)
MCU,0.031791663,8.268210292,0.148788728,0.88246408,0.958894518,-6.418537124,NA
NET1,0.046809002,6.926538451,0.148497428,0.882692463,0.958923303,-6.178184779,NA
PAXBP1,0.054950468,6.462848246,0.148293818,0.882852102,0.958923303,-6.049630454,NA
NTSR2,0.074987336,5.12430314,0.148187896,0.882935152,0.958923303,-5.857138652,NA
GALK2,0.034183881,8.29033762,0.148033576,0.88305615,0.958923303,-6.438656379,NA
GNPDA1,0.070985963,5.84632394,0.147842399,0.883206052,0.958923303,-5.934721651,NA
GRAP2,0.048743605,6.853603185,0.147797126,0.883241551,0.958923303,-6.096496602,NA
CH17-140K24.8,-0.071009723,5.072873878,-0.147774503,0.88325929,0.958923303,-5.84967843,NA
RP11-145E5.5,0.033868732,8.660222457,0.147521691,0.883457529,0.959019287,-6.471902976,NA
RFWD2,0.034017911,8.426990114,0.14587943,0.884745464,0.960031917,-6.416868324,NA
PTGES3L-AARSD1,0.057012201,5.938320109,0.145858358,0.884761992,0.960031917,-5.956058015,NA
SERPINE3,-0.055351578,5.934560947,-0.145350603,0.885160261,0.960031917,-5.983569356,NA
TBC1D19,-0.037720025,8.022143703,-0.145285851,0.885211054,0.960031917,-6.405476314,NA
CREB3L2,0.027687689,8.711529482,0.144972874,0.885456562,0.960031917,-6.523263297,NA
PAMR1,-0.040913386,7.178235286,-0.144834879,0.885564813,0.960031917,-6.20211309,NA
SYDE1,0.072138265,5.180504004,0.144804668,0.885588512,0.960031917,-5.876654548,Development (differentiation)
NEFM,0.068496914,4.920000192,0.144782337,0.88560603,0.960031917,-5.84157184,NA
CDH22,-0.036483402,8.044819311,-0.14477838,0.885609134,0.960031917,-6.362230612,Matrisome/cell adhesion/binding/signaling
LEFTY1,0.060682922,5.741135394,0.144772785,0.885613523,0.960031917,-5.950533346,Development (differentiation)
CYP2C19,-0.047919166,6.586894712,-0.144493469,0.885832643,0.960031917,-6.05777587,NA
C8orf74,-0.058520688,6.387082798,-0.14449033,0.885835106,0.960031917,-6.038544291,NA
MMD2,-0.055162769,6.309720641,-0.144481644,0.88584192,0.960031917,-6.049849356,NA
FXR1,0.040093777,7.307170403,0.144369892,0.885929591,0.960031917,-6.234742392,NA
SLC22A24,-0.058384678,6.034045917,-0.14403561,0.886191848,0.960196949,-5.966669794,Transport
UGGT1,-0.044632254,7.183831009,-0.14379246,0.886382616,0.960284491,-6.197053952,Inflammation/Immune/Stress/Toxic/Detox
DNAH6,-0.030272694,8.569859513,-0.143514668,0.886600571,0.960304453,-6.489714083,Cilia
SPATA32,0.073246892,4.827611151,0.143404428,0.886687069,0.960304453,-5.829324378,NA
CXorf56,-0.060470302,5.553955768,-0.143131635,0.886901114,0.960304453,-5.895728316,NA
MYEF2,0.064373514,5.971515574,0.142839427,0.887130403,0.960304453,-5.950558162,Development (differentiation)
LRP4,0.042222925,7.029791367,0.14277144,0.887183753,0.960304453,-6.164193583,Metabolism or Transport (lipid)
SCN4A,0.048853787,6.439726003,0.142712009,0.887230388,0.960304453,-6.05649151,NA
ELSPBP1,0.071662056,5.356426627,0.142642754,0.887284733,0.960304453,-5.865409917,NA
UNC93A,0.051851409,6.539013856,0.14260471,0.887314587,0.960304453,-6.054467083,NA
RP3-454G6.2,-0.052390935,6.326952936,-0.142507566,0.887390819,0.960304453,-6.028435881,NA
SLC4A5,-0.034670539,7.945888182,-0.142264527,0.887581543,0.960345873,-6.365934843,Transport
AK8,-0.032140471,7.981829105,-0.1421785,0.887649054,0.960345873,-6.33839472,NA
PSKH2,-0.05938198,5.970099073,-0.141758664,0.887978539,0.960583325,-5.973989955,NA
TFCP2L1,-0.035353733,7.646567376,-0.141445826,0.888224066,0.960729907,-6.294692655,NA
GNB5,0.042299332,7.532188762,0.141164767,0.88844466,0.960849488,-6.243083071,NA
NMRK1,0.0488391,6.797931734,0.140416967,0.88903163,0.961365225,-6.128224327,NA
COQ3,0.05429577,5.796176741,0.139809579,0.889508431,0.961543504,-5.950711604,NA
SLC2A14,0.042431993,7.020045532,0.139606236,0.889668066,0.961543504,-6.17276249,Transport
CA2,-0.058915645,6.143709913,-0.139579548,0.889689017,0.961543504,-5.959845357,Inflammation/Immune/Stress/Toxic/Detox
CDH17,-0.045574866,7.091162465,-0.139464515,0.889779327,0.961543504,-6.17705679,Matrisome/cell adhesion/binding/signaling
GAB1,-0.031346776,8.115323846,-0.139325642,0.889888354,0.961543504,-6.396206681,NA
DBF4B,0.04872131,6.235863193,0.139217781,0.889973036,0.961543504,-6.032619922,NA
TMEM131,-0.030272645,8.345925134,-0.139165941,0.890013736,0.961543504,-6.435708674,NA
SBK2,0.066748038,4.723928734,0.138894838,0.890226585,0.961543504,-5.825713571,NA
RHOC,0.048596594,6.151626138,0.13881402,0.890290039,0.961543504,-6.003678784,NA
IRS1,-0.041508945,7.452542581,-0.138804305,0.890297667,0.961543504,-6.21781027,NA
RP11-166N6.3,-0.052159658,6.545352866,-0.138563004,0.890487129,0.961551035,-6.082573575,NA
PPP1R13B,-0.036273449,7.733474655,-0.138514928,0.890524877,0.961551035,-6.327475968,Metabolism (other)
RASAL1,0.061998799,6.123154739,0.137717391,0.891151125,0.961900619,-5.947776101,NA
MFN1,0.048348868,6.503122192,0.137708368,0.89115821,0.961900619,-6.062205606,NA
SHC2,0.045695445,6.521028378,0.13768175,0.891179113,0.961900619,-6.056282341,NA
USP26,-0.042945974,6.595548596,-0.137283525,0.891491838,0.962112896,-6.082874858,Metabolism (other)
PIP5K1B,-0.025160542,9.172806878,-0.137150703,0.891596147,0.962112896,-6.57721775,Metabolism or Transport (lipid)
NBEAL1,0.034660465,7.9942615,0.136625513,0.892008613,0.962439047,-6.372150301,NA
RSPH14,-0.033296408,8.378610525,-0.136354161,0.892221734,0.96245551,-6.465941364,NA
SEMA3F,-0.046977729,6.872199223,-0.13626024,0.892295502,0.96245551,-6.152253743,Development (differentiation)
NSA2,0.054479878,5.401960055,0.136123376,0.892403001,0.96245551,-5.883666817,NA
PKNOX1,-0.039115711,7.429597494,-0.135876723,0.892596737,0.96245551,-6.254948776,NA
NUCB2,-0.033206635,8.109027874,-0.135798673,0.892658044,0.96245551,-6.37613823,NA
PTX4,0.077234221,4.27914636,0.135764099,0.892685201,0.96245551,-5.79593017,NA
TJP3,0.045939855,6.735313218,0.135109447,0.893199446,0.962682182,-6.127377121,Matrisome/cell adhesion/binding/signaling
MYL1,0.067389553,4.952006666,0.134943163,0.893330073,0.962682182,-5.838868069,NA
CCNA2,-0.058224429,5.174694213,-0.13482586,0.893422224,0.962682182,-5.856942128,Development (cell cycle)
MYO7A,0.038171648,7.913083182,0.134817185,0.893429039,0.962682182,-6.332676847,NA
PDZRN4,-0.028888527,8.973963728,-0.13479473,0.89344668,0.962682182,-6.556298757,NA
C1orf158,-0.063443513,5.137671225,-0.134525574,0.89365813,0.962779327,-5.863667166,NA
RSRC1,-0.028443439,8.979280025,-0.134399274,0.893757355,0.962779327,-6.571857871,NA
TBC1D21,-0.055698932,5.149347542,-0.134249967,0.893874657,0.962786914,-5.857944374,NA
DDX19A,-0.0521626,5.683111135,-0.133899903,0.894149692,0.962915116,-5.920047105,NA
RP11-77H9.1,0.062624735,4.782418882,0.133817759,0.894214232,0.962915116,-5.831096409,NA
CT55,0.076794394,4.572174783,0.133650038,0.894346011,0.96293827,-5.816503888,NA
EEF1E1,-0.044579702,6.281267098,-0.13344689,0.89450563,0.96299139,-6.002357401,NA
PITPNB,0.03492541,7.213806136,0.133273744,0.89464168,0.963019126,-6.228397654,NA
RPF2,0.051497554,6.522571169,0.132881332,0.894950029,0.963079108,-6.041393467,NA
C4orf3,-0.054129661,5.489637952,-0.132782706,0.895027529,0.963079108,-5.883862383,NA
WDFY2,-0.034584886,8.155601028,-0.132574494,0.895191146,0.963079108,-6.345211402,NA
SLC25A33,0.041409864,7.035484493,0.132533713,0.895223193,0.963079108,-6.159761082,Transport
ZSCAN22,-0.049383409,5.740897661,-0.132496978,0.895252061,0.963079108,-5.944879196,NA
EFCAB7,-0.048859856,6.167159409,-0.132360691,0.895359162,0.963079108,-5.989311701,NA
SOX17,0.077424481,4.115070252,0.132185624,0.89549674,0.963108454,-5.779978257,Development (differentiation)
ANAPC7,0.057205248,5.959485881,0.131586499,0.895967596,0.963496188,-5.983962569,Development (differentiation)
ANKS6,-0.03686192,7.405823469,-0.13133063,0.896168696,0.963593776,-6.227362148,NA
PRRC1,0.04980074,6.315393034,0.131085593,0.896361289,0.963673622,-6.040048448,NA
PITRM1,-0.052057528,6.603226598,-0.130955328,0.896463677,0.963673622,-6.099023922,NA
CARS,0.043328292,7.39398936,0.130629719,0.896719613,0.963830091,-6.203636421,NA
LRRC52,0.052976937,5.809947026,0.130133974,0.8971093,0.964119752,-5.927442771,NA
CDYL2,0.028313787,8.238248469,0.130005962,0.89720993,0.964119752,-6.416439402,NA
CHIC1,0.043561952,6.855500072,0.129854113,0.8973293,0.964129377,-6.11148403,NA
ARHGAP33,-0.051195339,5.762285449,-0.129432064,0.897661089,0.964367204,-5.936613332,NA
PAPOLA,0.040028791,6.77015603,0.129127278,0.897900706,0.964505962,-6.113191202,NA
IGFL2,-0.061802657,4.874817844,-0.128848078,0.898120216,0.964608559,-5.834754543,NA
ZDHHC20,-0.046281965,6.862837372,-0.128724782,0.898217154,0.964608559,-6.122963205,NA
CLCNKA,0.050630003,5.962874169,0.128351869,0.898510359,0.964804778,-5.969687081,Transport
CYP51A1,0.047044486,6.388315945,0.127248889,0.899377668,0.965488957,-6.040827367,Metabolism or Transport (lipid)
KCNH7,-0.023867691,9.221003332,-0.127096221,0.899497726,0.965488957,-6.597694513,Transport
CLGN,-0.053586365,6.159372912,-0.127036803,0.899544452,0.965488957,-5.988848769,NA
ZNHIT3,0.067579806,5.012737505,0.126979137,0.899589802,0.965488957,-5.854233228,NA
LMLN,0.04053563,6.950214354,0.12606848,0.900306,0.965811106,-6.131215861,Inflammation/Immune/Stress/Toxic/Detox
RP11-277P12.6,-0.075012375,4.66503459,-0.126002377,0.90035799,0.965811106,-5.824137796,NA
IDE,-0.036898237,7.484088101,-0.125954046,0.900396004,0.965811106,-6.216936356,NA
ERBB2,-0.038842145,7.05010165,-0.125875109,0.90045809,0.965811106,-6.183138514,Development (differentiation)
MIOX,0.075651553,4.496949307,0.125848828,0.900478761,0.965811106,-5.818446477,NA
WDR47,-0.037476086,7.077227343,-0.125744604,0.900560736,0.965811106,-6.183872261,NA
BMP2,0.048540911,5.728690394,0.125613057,0.900664205,0.965811106,-5.943706145,NA
GSTA1,-0.075887834,4.531822629,-0.125418782,0.900817014,0.965837105,-5.810899639,NA
SLC35G1,0.041392614,6.629528323,0.125300989,0.900909668,0.965837105,-6.072113547,Transport
GC,0.04352397,6.546840471,0.12490411,0.901221856,0.966053185,-6.051487,NA
AL513412.1,0.02146323,9.165600094,0.124457331,0.901573314,0.966311302,-6.595964756,NA
MIER3,-0.041890768,6.820074005,-0.12406025,0.901885694,0.966469024,-6.117280848,NA
MORC4,-0.030294557,7.94800859,-0.123904108,0.902008534,0.966469024,-6.368339976,NA
BRCC3,-0.051081189,6.047548553,-0.123848208,0.902052513,0.966469024,-5.971524669,NA
FUT8,0.025491455,8.807246922,0.123522001,0.902309156,0.966625389,-6.514316486,Metabolism (other)
AMER3,0.048457293,5.518930984,0.122869847,0.902822269,0.966825471,-5.894202444,NA
IQCF3,0.056233791,4.666299908,0.12259331,0.90303986,0.966825471,-5.818324676,NA
CLASP1,0.023895519,8.996708177,0.122519323,0.903098078,0.966825471,-6.573863243,NA
OSGIN1,0.048983607,5.975021063,0.12250197,0.903111732,0.966825471,-5.983214693,Inflammation/Immune/Stress/Toxic/Detox
HINT1,0.039647644,6.30210284,0.122399279,0.903192537,0.966825471,-6.037924724,NA
REPIN1,-0.048936078,5.774630176,-0.122258022,0.90330369,0.966825471,-5.921635866,NA
CEND1,-0.05317633,5.163411483,-0.122060091,0.903459441,0.966825471,-5.8614208,NA
INHA,-0.066034623,5.173698625,-0.122025105,0.903486973,0.966825471,-5.849039782,NA
MBNL2,0.032325211,8.455172338,0.122018178,0.903492423,0.966825471,-6.437935217,NA
PIP4K2C,-0.047047132,5.339405761,-0.121516823,0.903886959,0.967063014,-5.877370962,Metabolism or Transport (lipid)
PCK1,0.054871122,4.983984589,0.121454628,0.903935905,0.967063014,-5.844976885,Metabolism (other)
MIPEP,-0.030906485,8.125480331,-0.120788985,0.904459767,0.967408859,-6.403489588,NA
FBXO7,0.04534288,6.124185549,0.120730725,0.90450562,0.967408859,-6.012786732,NA
ECSCR,0.044258465,6.064787467,0.120549263,0.904648439,0.967408859,-5.985100655,NA
C12orf45,0.034958407,7.137185634,0.120341141,0.904812246,0.967408859,-6.188707408,NA
CRTAC1,0.02757946,8.097273356,0.120340032,0.904813118,0.967408859,-6.360790865,Development (differentiation)
USP43,-0.035950447,7.072268121,-0.120155172,0.904958619,0.967445968,-6.198701317,Metabolism (other)
ZNF91,0.034924001,7.34608321,0.119870726,0.90518251,0.967470043,-6.254351486,NA
MYT1,0.03589001,7.398719811,0.119845034,0.905202732,0.967470043,-6.209218593,NA
ARHGAP20,0.029454753,7.499724843,0.119656423,0.905351194,0.967510296,-6.283469596,NA
AKAP8,0.043274017,6.664318413,0.119398592,0.905554148,0.967608764,-6.097834048,NA
FAM161A,-0.040786163,6.194894833,-0.119202177,0.905708761,0.967655562,-6.012588966,Cilia
