gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
ARHGAP42,-0.124152053,7.787386093,-0.361075228,0.722552075,0.999979285,-5.585278127,NA,0.1758829
ARHGAP5,-0.160940378,6.65372579,-0.467485036,0.646170503,0.999979285,-5.578362161,NA,0.086663569
ARHGDIB,0.19384378,6.688398211,0.533368474,0.6007773,0.999979285,-5.558308816,NA,0.086198885
ARHGEF12,0.61539104,7.103913827,1.837970702,0.083849824,0.999979285,-4.24320206,NA,0.1133829
ARHGEF18,-0.410456737,7.03724339,-1.072986789,0.298476324,0.999979285,-5.094405392,NA,0.11222119
ARHGEF7,0.557437412,7.457081774,1.162471024,0.261322018,0.999979285,-5.014772249,NA,0.137314126
ARID1A,0.50022975,6.788133236,1.439322687,0.168465445,0.999979285,-4.778441135,NA,0.092704461
ARID1B,0.531840459,7.628750415,1.649141693,0.117724351,0.999979285,-4.534327465,NA,0.152416357
ARID2,0.289023955,7.234394685,0.810567827,0.428968376,0.999979285,-5.373209032,NA,0.120120818
ARID4A,0.090373818,7.231372828,0.242659042,0.811212717,0.999979285,-5.564502331,NA,0.120120818
ARID4B,0.043293029,6.552418873,0.14147697,0.889178917,0.999979285,-5.710788313,NA,0.077369888
ARID5B,0.058476494,7.035515132,0.150702848,0.882008117,0.999979285,-5.611047615,NA,0.106180297
ARIH1,0.215897358,7.183169393,0.625588811,0.540006357,0.999979285,-5.447735106,NA,0.121979554
ARIH2,-0.326770802,6.599459625,-0.889636832,0.386246258,0.999979285,-5.316103648,NA,0.082946097
ARL13B,0.08248677,6.906304546,0.232741607,0.81877909,0.999979285,-5.638304804,Cilia,0.102230483
ARL5B,0.32248219,7.355336531,0.893706155,0.384126672,0.999979285,-5.346674812,Transport,0.131040892
ARL6IP5,-0.020716212,7.401570442,-0.04799889,0.962284173,0.999979285,-5.572947974,NA,0.14010223
ARMC8,-0.139118722,6.62643668,-0.397834166,0.695771404,0.999979285,-5.611548419,NA,0.081319703
ARMH1,-0.172751042,6.381893401,-0.49897416,0.624279956,0.999979285,-5.610299587,NA,0.072026022
ARNT,0.209253262,6.49380663,0.571089036,0.575513957,0.999979285,-5.555550518,NA,0.082249071
ARNT2,-0.639067659,7.060583406,-1.323372148,0.203472734,0.999979285,-4.847953161,NA,0.122211896
ARPC1A,0.316961023,8.672386236,1.104716557,0.284882193,0.999979285,-5.204876172,NA,0.292286245
ARPC1B,0.350412463,7.052653758,1.014855731,0.324594828,0.999979285,-5.148652393,NA,0.111988848
ARPC5,-0.08425215,6.853068413,-0.206181897,0.839131383,0.999979285,-5.635610819,NA,0.096189591
ARPC5L,-0.013486253,7.549359368,-0.037480873,0.970544183,0.999979285,-5.635316048,NA,0.145678439
ARPP19,-0.665072313,6.360130383,-2.060160843,0.055251536,0.999979285,-3.94066969,NA,0.075511152
ARPP21,-0.376521345,6.756807516,-1.1474272,0.267313,0.999979285,-5.073561452,NA,0.093633829
ARRB1,-0.257168773,7.092916322,-0.618624327,0.544476469,0.999979285,-5.434996741,NA,0.115009294
ARRB2,0.306004584,7.200440521,0.737353019,0.471100156,0.999979285,-5.376089247,NA,0.126626394
ARRDC4,-0.022313919,6.621535769,-0.066688242,0.947618563,0.999979285,-5.698550713,NA,0.084804833
ARSA,0.039764056,6.8010208,0.098249543,0.922899018,0.999979285,-5.654478731,NA,0.097815985
ARSB,0.34069601,6.847115774,0.921868758,0.369671104,0.999979285,-5.245813519,NA,0.097815985
ARSG,-0.050805142,6.870952817,-0.152777303,0.88039718,0.999979285,-5.656387864,NA,0.094563197
ARTN,-0.171601189,6.684060621,-0.486379941,0.632993344,0.999979285,-5.575868491,NA,0.090148699
ARX,-0.489945191,8.487177232,-1.447358096,0.166233663,0.999979285,-4.814940413,NA,0.286245353
ASAH1,-0.06585105,7.487374752,-0.160768417,0.874196717,0.999979285,-5.52924025,NA,0.147072491
ASAP1,0.128595665,7.510738348,0.378478042,0.709824399,0.999979285,-5.576801614,NA,0.147072491
ASAP2,-0.220119239,7.67456738,-0.546368703,0.592008694,0.999979285,-5.417669094,NA,0.160315985
ASB3,0.09960082,6.799820827,0.239778929,0.813408114,0.999979285,-5.656626197,NA,0.091775093
ASB6,-0.836973928,6.405173131,-2.334191471,0.032297204,0.999979285,-3.511449521,NA,0.081319703
ASB7,-0.270928486,7.149276391,-0.725048241,0.478418959,0.999979285,-5.379064435,NA,0.125929368
ASB8,-0.404363265,6.226553616,-1.140071499,0.270279563,0.999979285,-5.121212292,NA,0.066449814
ASCL1,0.165161263,6.172704503,0.47930131,0.637915365,0.999979285,-5.620640964,NA,0.061802974
ASF1A,-0.398117386,7.022059712,-1.214903371,0.241233549,0.999979285,-4.990172764,NA,0.106412639
ASH1L,-0.104806881,6.76561723,-0.287752004,0.777062577,0.999979285,-5.609590747,NA,0.095027881
ASH2L,-0.171074976,6.22771427,-0.556790591,0.585025775,0.999979285,-5.604067835,NA,0.067843866
ASIC2,-0.391438057,6.784617667,-1.181089542,0.254048441,0.999979285,-5.038307123,Transport,0.098048327
ASIP,0.034429114,6.019316428,0.10546885,0.917255147,0.999979285,-5.745610282,NA,0.055297398
ASL,-0.031764003,6.852701707,-0.08483615,0.933396294,0.999979285,-5.638277597,Metabolism (other),0.101068773
ASNS,-0.145275749,7.079560794,-0.408467996,0.688098861,0.999979285,-5.548577945,Metabolism (other),0.112453532
ASPA,-0.753320567,6.322324435,-2.131718825,0.048129547,0.999979285,-3.843194744,NA,0.075743494
ASPG,0.47281153,6.980842203,1.431258162,0.170729924,0.999979285,-4.776608762,NA,0.101998141
ASPSCR1,-0.518181772,6.489306924,-1.623252605,0.123183165,0.999979285,-4.571347282,NA,0.080622677
ASS1,-0.331284884,8.649588828,-0.974812277,0.343507156,0.999979285,-5.303114039,NA,0.288336431
ASTN2,0.076453663,7.139579789,0.230038347,0.82084474,0.999979285,-5.653454983,NA,0.107806691
ASXL1,0.187067291,7.283453895,0.54883795,0.590350466,0.999979285,-5.494339379,NA,0.124535316
ATF1,0.018944259,6.641677383,0.054743393,0.956989843,0.999979285,-5.663548809,NA,0.083410781
ATF2,-0.272876185,7.237257144,-0.760615316,0.457449575,0.999979285,-5.384590163,NA,0.123373606
ATF4,0.15544254,7.923645446,0.53111768,0.602301939,0.999979285,-5.603710122,Metabolism (other),0.1875
ATF6,0.201307764,6.964294098,0.607521082,0.55164432,0.999979285,-5.484343877,Metabolism (other),0.103392193
ATF6B,0.132509941,6.892613985,0.35047495,0.730346233,0.999979285,-5.586439539,NA,0.104089219
ATF7,0.290829414,6.541633197,0.892407071,0.38480248,0.999979285,-5.339203339,Development (apoptosis),0.079460967
ATF7IP,-0.252260026,7.51743563,-0.666167322,0.514365244,0.999979285,-5.365503251,Development (cell cycle),0.144052045
ATG10,-0.454751257,7.120825608,-1.266379477,0.222686875,0.999979285,-4.909537569,Metabolism (other),0.120585502
ATG12,-0.419684217,6.78061409,-1.116062166,0.280133852,0.999979285,-5.111800522,Metabolism (other),0.095957249
ATG13,-0.025479175,7.470884597,-0.059474628,0.953277117,0.999979285,-5.534657999,Metabolism (other),0.151719331
ATG14,0.08880709,7.225265426,0.248219645,0.806978684,0.999979285,-5.549346767,Metabolism (other),0.126394052
ATG16L1,0.182767651,6.166612213,0.518233587,0.611065751,0.999979285,-5.625127346,Metabolism (other),0.061570632
ATG16L2,-0.116331082,6.994470805,-0.331837178,0.744123704,0.999979285,-5.567772617,Metabolism (other),0.107342007
ATG2A,-0.077311497,7.082040008,-0.207145146,0.838391108,0.999979285,-5.569768452,Metabolism (other),0.117100372
ATG2B,-0.160029551,6.998590118,-0.404272002,0.691122237,0.999979285,-5.546907101,Metabolism (other),0.107806691
ATG3,-0.162988523,6.790914561,-0.44471642,0.66221131,0.999979285,-5.571771344,Metabolism (other),0.096189591
