Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_JUNCTION_ORGANIZATION,GO:0045216,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",GO:0045216,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",0.747252747,1,0.026535091,0.290184539,0.884063602,45,"c(""RHOC"", ""PLEKHA7"", ""CDH20"", ""ABCC8"", ""SMAD7"", ""SVEP1"", ""AFDN"", ""MYO1C"", ""CSF1R"", ""CAV1"", ""ADAM10"", ""CLDN16"", ""FLCN"", ""ACE"", ""ROCK1"", ""MICALL2"", ""PIP5K1C"", ""CTNNA1"", ""RDX"", ""RAB13"", ""NUMB"", ""HDAC7"", ""PKP4"", ""CLDN11"", ""DSP"", ""POF1B"", ""F2RL1"", ""TRPV4"")"
Adhesion,GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,GO:0061448,"The progression of a connective tissue over time, from its formation to the mature structure. [GOC:BHF]",GO:0061448,"The progression of a connective tissue over time, from its formation to the mature structure. [GOC:BHF]",0.542457542,1,0.041908175,0.316003872,0.982346935,56,"c(""PPARGC1A"", ""STC1"", ""WNT9A"", ""MKKS"", ""RXFP1"", ""ATP7A"", ""TRPS1"", ""SMAD7"", ""COL11A1"", ""SPTLC2"", ""DGAT2"", ""PRRX1"", ""LOX"", ""GDF6"", ""SMAD1"", ""MBOAT2"", ""GREM1"", ""OTOR"", ""GHR"", ""TBL1XR1"", ""ZNF516"", ""PTHLH"", ""COL2A1"")"
Adhesion,GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS,GO:0032970,"Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the actin cytoskeleton. [GOC:mah]",GO:0032970,"Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the actin cytoskeleton. [GOC:mah]",0.846153846,1,0.019454174,0.264295182,0.870899499,114,"c(""RHOBTB1"", ""SPTBN2"", ""NEB"", ""RHOC"", ""STC1"", ""WNT4"", ""S1PR1"", ""APOA1"", ""PAK1"", ""STAP1"", ""MKKS"", ""STAU2"", ""GSN"", ""MYOC"", ""ARHGAP28"", ""TEK"", ""ARPC3"", ""CARMIL1"", ""EPHA5"", ""TMSB4X"", ""TRIOBP"", ""RICTOR"", ""CDC42EP3"", ""NCKAP1L"", ""CDK10"", ""SEMA3E"", ""NCK2"", ""CSF1R"", ""CAV1"", ""KANK1"", ""FRMD6"", ""WASF3"", ""SDC4"", ""GMFB"", ""ARHGEF19"", ""LMOD3"", ""SSH2"", ""PPM1E"", ""ROCK1"", ""FMN1"", ""ALMS1"", ""ARHGAP35"", ""RDX"", ""EFNA5"", ""GRHL3"", ""NOTCH2"", ""PLEK"", ""SHANK1"", ""PFN4"", ""CDC42EP4"", ""PHLDB2"", ""DSTN"", ""ACTN2"", ""ARAP1"", ""ADD3"", 
""ATP2A1"", ""DSP"", ""F2RL1"", ""PICK1"", ""ARFIP2"", ""MET"", ""PXN"", ""ARPC5L"", ""ARHGAP17"", ""HCN4"", ""SPTB"", ""MYLK3"", ""TGFB3"", ""TMEFF2"", ""BRK1"", ""FES"")"
Adhesion,GOBP_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,GO:0032231,"Any process that modulates the frequency, rate or extent of the assembly of actin filament bundles. [GOC:mah]",GO:0032231,"Any process that modulates the frequency, rate or extent of the assembly of actin filament bundles. [GOC:mah]",0.077922078,1,0.157402899,0.430713458,1.268059788,33,"c(""RHOC"", ""WNT4"", ""S1PR1"", ""APOA1"", ""PAK1"", ""MKKS"", ""MYOC"", ""ARHGAP28"")"
Adhesion,GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,GO:0110053,"Any process that modulates the frequency, rate or extent of actin filament organization. [GOC:kmv]",GO:0110053,"Any process that modulates the frequency, rate or extent of actin filament organization. [GOC:kmv]",0.819180819,1,0.021435358,0.267006693,0.857761046,79,"c(""SPTBN2"", ""RHOC"", ""WNT4"", ""S1PR1"", ""APOA1"", ""PAK1"", ""MKKS"", ""GSN"", ""MYOC"", ""ARHGAP28"", ""ARPC3"", ""CARMIL1"", ""TMSB4X"", ""TRIOBP"", ""RICTOR"", ""CDC42EP3"", ""NCKAP1L"", ""NCK2"", ""KANK1"", ""WASF3"", ""SDC4"", ""GMFB"", ""LMOD3"", ""SSH2"", ""PPM1E"", ""ROCK1"", ""FMN1"", ""ALMS1"", ""ARHGAP35"", ""RDX"", ""PLEK"", ""SHANK1"", ""PFN4"", ""CDC42EP4"", ""PHLDB2"", ""DSTN"", ""ACTN2"", ""ARAP1"", ""ADD3"", ""F2RL1"", ""PICK1"", ""ARFIP2"", ""MET"", ""PXN"", ""ARPC5L"", ""SPTB"", ""TGFB3"", ""TMEFF2"", ""BRK1"")"
Adhesion,GOBP_REGULATION_OF_BINDING,GO:0051098,"Any process that modulates the frequency, rate or extent of binding, the selective interaction of a molecule with one or more specific sites on another molecule. [GOC:ai]",GO:0051098,"Any process that modulates the frequency, rate or extent of binding, the selective interaction of a molecule with one or more specific sites on another molecule. [GOC:ai]",0.817182817,1,0.021579809,0.268451968,0.878496631,103,"c(""PRMT8"", ""RGMA"", ""ARHGAP28"", ""P2RY1"", ""ZNF593"", ""PPP3CA"", ""NUCKS1"", ""NFKBIA"", ""NSD1"", ""SP100"", ""MED25"", ""TNKS"", ""TMSB4X"", ""LOX"", ""LDOC1"", ""BAG2"", ""MAPRE3"", ""STK4"", ""PEX14"", ""CPNE1"", ""SPON1"", ""SLPI"", ""CAPRIN2"", ""GSK3B"", ""CDKN1A"", ""CAV1"", ""DACT1"", ""RALB"", ""GPSM1"", ""ERCC2"", ""PLXND1"", ""CTHRC1"", ""MEN1"", ""TTBK2"", ""PRMT7"", ""TMBIM6"", ""TGFBR3"", ""PDX1"", ""MAPRE1"", ""ACE"", ""CFHR5"", ""ROCK1"", ""CALM2"", ""APP"", ""E2F1"", ""RAN"", ""BAX"", ""PPP2CB"", ""TXN"", ""HEY2"", ""GEMIN2"", ""KDM1A"")"
Adhesion,GOBP_REGULATION_OF_PROTEIN_BINDING,GO:0043393,"Any process that modulates the frequency, rate or extent of protein binding. [GOC:go_curators]",GO:0043393,"Any process that modulates the frequency, rate or extent of protein binding. [GOC:go_curators]",0.619380619,1,0.035769077,0.301237097,0.948884027,64,"c(""PRMT8"", ""RGMA"", ""LOX"", ""LDOC1"", ""BAG2"", ""MAPRE3"", ""STK4"", ""PEX14"", ""SPON1"", ""SLPI"", ""CAPRIN2"", ""GSK3B"", ""CDKN1A"", ""CAV1"", ""DACT1"", ""RALB"", ""PLXND1"", ""CTHRC1"", ""MEN1"", ""TTBK2"", ""PRMT7"", ""TMBIM6"", ""TGFBR3"", ""MAPRE1"", ""ACE"", ""CFHR5"", ""ROCK1"", ""APP"", ""RAN"", ""BAX"", ""PPP2CB"", ""KDM1A"", ""UBASH3B"", ""AKTIP"", ""NFATC4"", ""HIPK2"", ""ZFPM1"", ""HSF1"")"
Adhesion,GOBP_STRESS_FIBER_ASSEMBLY,GO:0043149,"The aggregation, arrangement and bonding together of a set of components to form a stress fiber. A stress fiber is a contractile actin filament bundle that consists of short actin filaments with alternating polarity. [GOC:go_curators, GOC:mah, PMID:16651381]",GO:0043149,"The aggregation, arrangement and bonding together of a set of components to form a stress fiber. A stress fiber is a contractile actin filament bundle that consists of short actin filaments with alternating polarity. [GOC:go_curators, GOC:mah, PMID:16651381]",0.051948052,1,0.195789002,0.441054895,1.308573722,35,"c(""RHOC"", ""WNT4"", ""S1PR1"", ""APOA1"", ""PAK1"", ""MKKS"", ""MYOC"", ""ARHGAP28"", ""CARMIL1"")"
Adhesion,GOBP_TIGHT_JUNCTION_ORGANIZATION,GO:0120193,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a tight junction. A tight junction seals cells together in an epithelium in a way that prevents even small molecules from leaking from one side of the sheet to the other. [GOC:krc, GOC:rl]",GO:0120193,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a tight junction. A tight junction seals cells together in an epithelium in a way that prevents even small molecules from leaking from one side of the sheet to the other. [GOC:krc, GOC:rl]",0.946572581,1,0.011723159,0.231085555,0.636665267,20,"c(""ABCC8"", ""SVEP1"", ""AFDN"", ""MYO1C"", ""CLDN16"", ""ROCK1"", ""MICALL2"", ""RAB13"", ""CLDN11"", ""POF1B"", ""TGFB3"")"
Adhesion,GOCC_ACTIN_FILAMENT_BUNDLE,GO:0032432,An assembly of actin filaments that are on the same axis but may be oriented with the same or opposite polarities and may be packed with different levels of tightness. [GOC:mah],GO:0032432,An assembly of actin filaments that are on the same axis but may be oriented with the same or opposite polarities and may be packed with different levels of tightness. [GOC:mah],0.96184739,1,0.009665643,0.226064731,0.631456689,22,"c(""ROR1"", ""TEK"", ""MYO1C"", ""PDLIM2"", ""MYLK"", ""PRKCZ"", ""MYL12B"", ""MYH14"", ""MICALL2"", ""TRIP6"", ""PXN"", ""SHROOM4"", ""PDLIM4"", ""PDLIM5"", ""PGM5"", ""DCTN4"", ""MYH10"")"
