gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
PGS1,-0.299363808,5.982303715,-1.536783725,0.137314519,0.523249284,-5.025711449,NA,0.052185934
SORT1,-0.266407549,7.07617811,-1.534207397,0.137945071,0.523249284,-5.113792361,AD,0.11560394
SORT1,-0.266407549,7.07617811,-1.534207397,0.137945071,0.523249284,-5.113792361,Transport,0.11560394
SPOP,-0.283377455,6.364132098,-1.534503643,0.137872445,0.523249284,-5.063992958,Development (differentiation),0.068947641
TNN,0.287889604,5.970635952,1.533514465,0.13811507,0.523249284,-5.034244362,NA,0.056333161
XBP1,-0.284608073,7.003702071,-1.535642125,0.137593632,0.523249284,-5.121135957,NA,0.10471747
YY1,-0.256786525,7.305128527,-1.535012832,0.137747688,0.523249284,-5.102836896,NA,0.132711249
ECSIT,-0.297824243,6.56649113,-1.53298295,0.138245583,0.523372286,-5.099304231,NA,0.079488509
MAP2K3,-0.267749807,6.929459463,-1.532165198,0.13844658,0.52376176,-5.101599172,NA,0.103507862
ADGRV1,-0.280602842,7.106030915,-1.529001672,0.139226402,0.52563875,-5.095391043,Matrisome/cell adhesion/binding/signaling,0.11404873
ELOVL6,0.276483319,6.495168979,1.528507466,0.139348549,0.52563875,-5.078831538,Metabolism or Transport (lipid),0.076723691
NEK6,-0.261890196,7.279194036,-1.528292964,0.139401593,0.52563875,-5.11167902,NA,0.129082426
SELPLG,0.32576833,5.785573611,1.528073885,0.139455786,0.52563875,-5.011062903,Inflammation/Immune/Stress/Toxic/Detox,0.050112321
TRAM1,-0.271258877,7.90999914,-1.52775962,0.139533553,0.52563875,-5.065296703,NA,0.193882841
ZFYVE27,-0.308709971,8.946162397,-1.528683832,0.139304949,0.52563875,-4.980977681,NA,0.338344565
EMCN,0.269639605,6.173614306,1.525678467,0.140049452,0.526872472,-5.067000151,NA,0.061689995
NRP2,0.303465846,6.059464483,1.525642201,0.140058456,0.526872472,-5.052414746,NA,0.060480387
COL4A2,0.270686804,6.379266794,1.520489905,0.141342441,0.530272024,-5.090289856,Matrisome/cell adhesion/binding/signaling,0.071366857
EFEMP2,-0.299782548,6.237588913,-1.521557997,0.141075479,0.530272024,-5.080194879,Matrisome/cell adhesion/binding/signaling,0.064627614
GAB1,-0.269248446,6.828915298,-1.52042165,0.141359515,0.530272024,-5.102146862,NA,0.096250216
SEM1,-0.276143447,6.362456097,-1.520453228,0.141351616,0.530272024,-5.075981723,NA,0.071366857
MZT2A.B,-0.287112831,8.599056399,-1.519920467,0.141484937,0.530369798,-5.018642701,NA,0.282357007
AHI1,-0.254952403,6.969254118,-1.517863811,0.14200057,0.530670872,-5.121033826,NA,0.108691896
HOMER1,-0.277453162,7.128771248,-1.517617914,0.142062322,0.530670872,-5.119587095,NA,0.11249352
PIK3C2A,-0.264221206,6.432101239,-1.51842249,0.14186035,0.530670872,-5.099167561,Metabolism (other),0.074822879
ROBO2,-0.283328202,6.451708186,-1.517920129,0.14198643,0.530670872,-5.097797726,Development (differentiation),0.073267669
ROPN1,0.25934028,7.388683414,1.518538414,0.141831269,0.530670872,-5.113604636,NA,0.146189736
CCNA2,-0.26046874,6.451041553,-1.515836454,0.142510357,0.53093901,-5.106583895,Development (cell cycle),0.074650078
EXO1,0.297464251,6.177107621,1.515545329,0.142583685,0.53093901,-5.056417977,NA,0.061344393
GATA2,0.284733452,6.317661042,1.515931761,0.142486359,0.53093901,-5.100224418,NA,0.072058061
INPP5F,0.287051846,6.346467923,1.512991666,0.143228208,0.53093901,-5.096571111,Metabolism (other),0.070848453
MDC1,-0.350035014,6.324379266,-1.51476392,0.142780654,0.53093901,-5.087676412,NA,0.06877484
ORMDL2,-0.263287025,6.28567527,-1.515174232,0.142677199,0.53093901,-5.091233115,Metabolism or Transport (lipid),0.066355625
PARD3,-0.260567923,7.104244694,-1.514321105,0.142892373,0.53093901,-5.126627024,Matrisome/cell adhesion/binding/signaling,0.118368758
PARD3B,-0.262026971,7.059985048,-1.513248018,0.1431634,0.53093901,-5.13111839,Matrisome/cell adhesion/binding/signaling,0.118195956
RBBP5,-0.284378749,6.009149191,-1.513481448,0.143104408,0.53093901,-5.049459383,NA,0.055469155
SLC16A2,0.279867223,6.218770351,1.516613139,0.14231488,0.53093901,-5.081997548,Transport,0.067046829
TPSAB1.2,0.295606266,6.041542531,1.513854285,0.143010225,0.53093901,-5.062671976,NA,0.063590807
IGFBP3,0.268122603,6.322534922,1.512555022,0.143338651,0.530979681,-5.089912476,Development (differentiation),0.07344047
RGS12,-0.257191344,6.701362372,-1.511817747,0.143525292,0.531302362,-5.135183971,NA,0.08588215
ANP32B,-0.283922258,7.07254138,-1.507088916,0.144727107,0.533907558,-5.13728273,Development (apoptosis),0.11560394
CHI3L1,0.328748479,7.15573621,1.507080879,0.144729156,0.533907558,-5.140568481,NA,0.134784863
DGKB,0.266025002,6.670152867,1.507319938,0.144668203,0.533907558,-5.130380521,NA,0.094176603
MBOAT7,-0.277991419,5.903682098,-1.507562768,0.144606311,0.533907558,-5.063863207,Metabolism or Transport (lipid),0.051667531
RAB28,-0.258889887,7.441911954,-1.507901295,0.144520062,0.533907558,-5.121556335,Transport,0.147744946
