gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
FAM3C,0.250066296,6.738209018,2.464376441,0.014320385,0.027485972,-3.879759569,NA,0.132706944
TRMT1,0.268432241,6.17955759,2.463953231,0.014336939,0.027509115,-3.817662919,NA,0.091948863
ADAMTS5,0.251332583,6.965792331,2.461721981,0.0144245,0.027668443,-3.883380535,Matrisome/cell adhesion/binding/signaling,0.149200445
KCNN2,0.251516746,6.59012585,2.46065281,0.014466625,0.027731853,-3.884439317,Transport,0.120307423
KPNA4,0.259823031,7.212825844,2.460689101,0.014465193,0.027731853,-3.852888517,NA,0.175517359
CCNO,-0.258462667,7.099487304,-2.459548447,0.014510251,0.027798059,-3.860516585,NA,0.16435779
GRM1,0.253015708,6.561678952,2.459556078,0.014509949,0.027798059,-3.878259834,NA,0.118265777
LYAR,-0.266927594,6.18623922,-2.458056553,0.014569371,0.02790258,-3.840641014,NA,0.093188815
SLC25A24,0.257668813,6.409772984,2.457380298,0.014596239,0.027945288,-3.866880889,Transport,0.105695228
TNFSF13B,0.279360495,6.050443468,2.456510947,0.014630844,0.028002776,-3.798880862,NA,0.084669489
POLR2E,-0.257181447,7.02251414,-2.454350255,0.014717167,0.028159183,-3.883924,NA,0.16435779
MSMO1,0.25128066,6.560110134,2.453937003,0.014733728,0.028174344,-3.897796044,Metabolism or Transport (lipid),0.11653412
UFM1,0.247958486,6.941701501,2.453922675,0.014734302,0.028174344,-3.916455947,Metabolism (other),0.147511544
HOXB4,0.267425454,6.279812565,2.45364255,0.014745538,0.028187018,-3.849580709,Development (differentiation),0.09932444
KCNJ3,-0.271099695,7.226391951,-2.453435452,0.01475385,0.028194096,-3.845317548,Transport,0.180049598
TMSB10,-0.29539941,7.497632477,-2.453094995,0.014767523,0.028211411,-3.751755943,NA,0.209573285
GPAM,0.27157033,6.083724031,2.451820301,0.014818815,0.028278681,-3.832817086,NA,0.086593552
LANCL2,0.248438952,6.68912003,2.451933598,0.01481425,0.028278681,-3.912653995,NA,0.130430135
RFC5,0.253859825,6.550552809,2.451760434,0.014821228,0.028278681,-3.896834626,NA,0.11611724
RFXANK,0.264343409,6.252021328,2.451919621,0.014814813,0.028278681,-3.853994887,NA,0.095166325
POLE3,0.247634416,6.799323033,2.451285222,0.014840393,0.028306418,-3.914781626,NA,0.13558235
SH3PXD2A,0.25865836,6.441833659,2.450531013,0.014870855,0.028355679,-3.878676456,Matrisome/cell adhesion/binding/signaling,0.111670515
CAT,-0.263117752,7.180035368,-2.450237515,0.014882724,0.028369468,-3.866702066,NA,0.173315375
ENPP4,0.265995493,6.20024891,2.44963528,0.014907105,0.02840709,-3.854366907,Metabolism (other),0.092162648
PAK1,0.249069343,6.70557704,2.448619945,0.014948289,0.028476701,-3.920694808,NA,0.127939542
MINPP1,0.268084054,6.240129471,2.444918089,0.015099302,0.028737532,-3.862801995,NA,0.094492902
MRAS,0.25789528,6.339275374,2.445018324,0.015095195,0.028737532,-3.889920875,NA,0.101633316
MSN,-0.24336971,6.646642221,-2.445104717,0.015091656,0.028737532,-3.942622949,NA,0.125448948
GATA4,0.25460433,6.473663306,2.444432839,0.015119197,0.028766446,-3.90652699,NA,0.112792885
GPAT3,0.24948905,6.645546039,2.443073904,0.015175035,0.02886371,-3.928183422,NA,0.122103215
E2F5,0.255628605,6.422593088,2.442270303,0.015208141,0.028917688,-3.904022026,Development (apoptosis),0.107116898
ATP6V0E2,-0.267231968,7.223197076,-2.442048883,0.015217275,0.028926062,-3.864665113,NA,0.176693176
SYNJ2,0.250231564,6.678902741,2.441527801,0.015238787,0.028957956,-3.930940743,NA,0.126239952
WEE1,0.259766019,6.350797386,2.440346764,0.015287645,0.029041779,-3.89955923,Development (cell cycle),0.103193946
FEN1,0.264291646,6.218776766,2.438202111,0.015376722,0.029201927,-3.883998158,NA,0.093851548
EIF3A,-0.24556383,6.944565565,-2.438046013,0.015383223,0.029205207,-3.950780898,NA,0.148911835
CYB5R3,-0.245987171,6.547454667,-2.436623162,0.015442596,0.02930883,-3.950234262,NA,0.116469985
CD58,0.249468608,6.617147717,2.435313925,0.015497406,0.029403733,-3.944298835,Inflammation/Immune/Stress/Toxic/Detox,0.119601933
ABCA5,-0.244029267,6.663587307,-2.4350103,0.015510142,0.029418771,-3.964436367,Metabolism or Transport (lipid),0.124241064
OLFM2,0.284341961,5.708723086,2.432246849,0.015626482,0.029630252,-3.830165973,NA,0.068657004
FFAR2,0.274613535,6.071261713,2.429919347,0.015725067,0.02979871,-3.881410395,Metabolism or Transport (lipid),0.085909441
GRB7,0.26509282,6.196750584,2.430032816,0.015720249,0.02979871,-3.899125807,NA,0.091820592
BID,0.278267608,5.905456065,2.429666108,0.015735827,0.029809865,-3.857950613,NA,0.075594322
PLEKHA2,0.245299402,6.83873069,2.429124613,0.015758855,0.029844247,-3.969700769,NA,0.139291517
FGF13,0.281222803,5.739498208,2.428343853,0.015792112,0.029897972,-3.843930113,Development (differentiation),0.070239011
MTERF1,0.248198391,6.665778485,2.427409611,0.015831987,0.029964191,-3.967243303,NA,0.124743458
TRAF6,0.253252546,7.158186189,2.427015819,0.015848822,0.029986775,-3.943849609,NA,0.170589619
STT3A,-0.267826923,7.294691687,-2.426852767,0.015855797,0.029990696,-3.891289239,NA,0.186206602
TGIF2,0.252484308,6.463121751,2.426457943,0.015872698,0.030013383,-3.94746508,NA,0.110655037
JAK2,0.261804197,6.320541013,2.425510757,0.015913309,0.030080875,-3.926680384,Inflammation/Immune/Stress/Toxic/Detox,0.098490679
CXADR,0.340475279,7.909964272,2.424690316,0.01594856,0.030138196,-3.684145679,NA,0.264890115
DCTN1,-0.319869256,7.723475217,-2.423847975,0.015984824,0.030197395,-3.739072076,NA,0.239588678
