"","X","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"3120","9968",NA,NA,"GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING","GO:0044877","Binding to a macromolecular complex. [GOC:jl]","0.899100899100899","1","0.0152836130945825","-0.208976015341587","-0.839289257102783","346","c(""HLA-E"", ""ENO2"", ""FMR1"", ""ACTN4"", ""GAD2"", ""EPPK1"", ""IFNW1"", ""C1QBP"", ""ACTN2"", ""DCTN6"", ""DCTN2"", ""WASF1"", ""CAMSAP1"", ""GCLM"", ""CASP3"", ""CETN3"", ""APPL2"", ""MAX"", ""CENPF"", ""ANK2"", ""DMD"", ""BIRC2"", ""PSMG4"", ""FADD"", ""RCC1"", ""CETN2"", ""AMFR"", ""CORO6"", ""NCK2"", ""ADRA2A"", ""ATF2"", ""HIP1"", ""SPTBN2"", ""AP2B1"", ""EZR"", ""YTHDF3"", ""INSR"", ""PQBP1"", ""WASF3"", ""SERPINH1"", ""CLTA"", ""MPRIP"", ""STK11"", ""ANKRD54"", ""FGF2"", ""CRTAP"", ""GAS2"", ""RAD23B"", ""CXCL12"", ""EDF1"", ""TFRC"", ""LARP1"", ""SORBS1"", ""FOS"", ""PSMG3"", ""PPP1CC"", ""IMPACT"", 
""STXBP3"", ""RRAS"", ""ATP5IF1"", ""HIP1R"", ""CDC42BPB"", ""MYH7B"", ""CD3E"", ""FCER2"", ""VPS28"", ""LDLRAP1"", ""ERI1"", ""LETM1"", ""BAG6"", ""ABL1"", ""VIM"", ""PCNA"", ""CD2AP"", ""RICTOR"", ""FGR"", ""RNF5"", ""SLC9A3R1"", ""CASP8"", ""GIT1"", ""DLG4"", ""INSL3"", ""ANXA11"", ""KCTD5"", ""MYO6"", ""NAA10"", ""SIRT1"", ""TPR"", ""SNCA"", ""GCHFR"", ""MTIF3"", ""MAPT"", ""PARK7"", ""PPP1R9B"", ""PTPN1"", ""SNX2"", ""MYOM3"", ""LGALS8"", ""NCLN"", ""CLSPN"", ""CD3G"", ""CHMP6"", ""EIF4B"", ""SCIN"", ""PDGFRA"", ""GLYR1"", ""NEXN"", ""CD93"", ""MICALL2"", ""GBP1"", ""LYN"", ""APOA1"", ""BRK1"", ""FCGR2B"", 
""NPM1"", ""IGHMBP2"", ""LZTFL1"", ""IST1"", ""UNG"", ""CDKN1A"", ""CXADR"", ""PSTPIP2"", ""AIF1L"", ""BAG3"", ""FYB1"", ""DBN1"", ""VCAM1"", ""ADD1"", ""ITGB7"", ""SNRPB2"", ""CORO1A"", ""TRAF2"", ""STAB2"", ""ADAM9"", ""DBNL"", ""UBXN1"", ""LGALS3"", ""ITGB6"", ""LAMB1"", ""CD8A"", ""TMOD4"", ""ICAM2"", ""CD4"", ""IL12B"", ""CTSL"", ""MYH9"", ""SCARB1"", ""SRC"", ""MYL4"", ""ITGA2"", ""TWF2"", ""EPCAM"", ""TGFBR3"", ""SMAD3"", ""RNF168"", ""TSPAN8"")"
"3121","9970",NA,NA,"GOMF_PROTEIN_C_TERMINUS_BINDING","GO:0008022","Binding to a protein C-terminus, the end of a peptide chain at which the 1-carboxyl function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue. [ISBN:0198506732]","0.0297872340425532","0.326036146139363","0.271288554688953","-0.430146092924876","-1.45854145177633","45","c(""MAPRE3"", ""SYT1"", ""BAIAP2"", ""CENPF"", ""PRDX3"", ""EZR"", ""XRCC4"", ""ATXN2"", ""PPP1CC"", ""TBL1X"", ""CALCOCO1"", ""MAP2K1"", ""ABL1"", ""HRAS"", ""PCNA"", ""CD2AP"", ""DLG4"", ""VTA1"", ""SIRT1"", ""PPP1R9B"", ""AXIN1"", ""TOP2B"", ""MKI67"", ""SLC9A3R2"", ""DAB2"", ""ATF4"", ""CORO1A"", ""ZBTB16"", ""DBNL"", ""POLR2A"", ""LAMA1"", ""SRC"")"
"3122","9973",NA,NA,"GOMF_PROTEIN_DIMERIZATION_ACTIVITY","GO:0046983","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits. [ISBN:0198506732]","0.462","0.975697234274287","0.0492917662312669","-0.257899843445656","-1.0170599448966","232","c(""GSTM4"", ""CRYM"", ""NARS1"", ""FMR1"", ""GID8"", ""ACTN4"", ""NAGA"", ""SYT1"", ""CPOX"", ""TRIM21"", ""MMUT"", ""SLK"", ""BHLHE40"", ""SSBP1"", ""APOA4"", ""RPE"", ""SLIT2"", ""PRTFDC1"", ""TERF1"", ""APPL2"", ""MAX"", ""CENPF"", ""HIF1A"", ""RCC1"", ""ACOX1"", ""ADRA2A"", ""ATF2"", ""HIP1"", ""TARBP2"", ""KYAT1"", ""RABEP1"", ""GRPEL1"", ""GBP2"", ""S100P"", ""S100A13"", ""NOS2"", ""BCL2L1"", ""TFRC"", ""COMMD1"", ""ZNF174"", ""ZHX2"", ""MASP1"", ""GGCT"", ""SHMT1"", ""ATP5IF1"", ""HIP1R"", ""NUDT5"", ""GLB1"", ""S100A16"", ""IL17A"", ""CBS"", ""TIMM10"", ""HARS1"", ""PKD2"", ""RBPMS"", ""TLR4"", ""TPR"", 
""RILPL2"", ""PRKRA"", ""IMPA1"", ""PARK7"", ""HPGDS"", ""SNX2"", ""CALCOCO2"", ""TP53I3"", ""GPHA2"", ""MYOM3"", ""LRRFIP1"", ""RRM2"", ""PAXX"", ""BNIP3L"", ""AGXT"", ""IKBKG"", ""AXIN1"", ""CHMP1A"", ""DPY30"", ""TRIM5"", ""PDGFRA"", ""TOP2B"", ""BST2"", ""XCL1"", ""RBPMS2"", ""GBP1"", ""CR2"", ""AIFM1"", ""NPM1"", ""NUDT16"", ""GLA"", ""SETMAR"", ""BAX"", ""ATF4"", ""TCOF1"", ""CEP43"", ""GBP4"", ""MSTN"", ""ERP29"", ""ADD1"", ""CORO1A"", ""FLT4"", ""ZBTB16"", ""WARS1"", ""THAP12"", ""ERBB3"", ""CD4"", ""IL12B"", ""IL17F"", ""SERPINF2"", ""MYH9"", ""AOC3"", ""TXN"", ""SLC4A1"", ""H2AP"", ""BCL2"", ""SMAD3"", 
""IL10"", ""CAT"", ""FGFR2"", ""P4HB"", ""NECTIN2"", ""LILRB2"", ""LILRB1"", ""ERBB4"", ""MME"", ""ITGB1"", ""CEBPB"", ""RAB11FIP3"", ""AMBP"", ""VPS4B"", ""SNX9"", ""ARNT"", ""GHR"", ""STK4"", ""JAM3"")"
"3123","9975",NA,NA,"GOMF_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY","GO:0003756","Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins. [EC:5.3.4.1, GOC:vw, Wikipedia:Protein_disulfide-isomerase#Function]","0.54726368159204","1","0.051530912208539","-0.378317198899741","-0.959474926402796","11","c(""PDIA5"", ""PDIA3"", ""PDIA2"", ""ERP29"", ""CRELD1"", ""P4HB"", ""TXNDC5"", ""ERP44"", ""PDIA4"")"
"3124","9977",NA,NA,"GOMF_PROTEIN_FOLDING_CHAPERONE","GO:0044183","Binding to a protein or a protein-containing complex to assist the protein folding process. [GOC:mtg_cambridge_2009]","0.0485074626865672","0.380312809417287","0.227987202850442","-0.588502716431756","-1.49254012817389","11","c(""PFDN2"", ""CCT5"", ""HSPA2"", ""DFFA"", ""DNAJB1"", ""DNAJB8"")"
"3125","9981",NA,NA,"GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY","GO:0046982","Binding to a nonidentical protein to form a heterodimer. [GOC:ai]","0.240425531914894","0.786250277851249","0.0845557442441281","-0.337826942753105","-1.15734458439175","48","c(""FMR1"", ""SYT1"", ""BHLHE40"", ""MAX"", ""HIF1A"", ""RCC1"", ""ADRA2A"", ""ATF2"", ""HIP1"", ""BCL2L1"", ""ZHX2"", ""HIP1R"", ""IL17A"", ""TLR4"", ""SNX2"", ""GPHA2"", ""IKBKG"", ""TOP2B"", ""BAX"", ""ATF4"", ""TCOF1"", ""ADD1"", ""ERBB3"", ""IL12B"", ""IL17F"", ""AOC3"", ""H2AP"", ""BCL2"", ""P4HB"", ""ITGB1"", ""CEBPB"", ""ARNT"", ""JAM3"")"
"3126","9982",NA,NA,"GOMF_PROTEIN_HOMODIMERIZATION_ACTIVITY","GO:0042803","Binding to an identical protein to form a homodimer. [GOC:jl]","0.41925777331996","0.962235703136086","0.0538979025357319","-0.264287368475503","-1.0329205200811","197","c(""GSTM4"", ""CRYM"", ""FMR1"", ""GID8"", ""ACTN4"", ""NAGA"", ""CPOX"", ""TRIM21"", ""MMUT"", ""SLK"", ""BHLHE40"", ""SSBP1"", ""APOA4"", ""RPE"", ""SLIT2"", ""PRTFDC1"", ""TERF1"", ""APPL2"", ""CENPF"", ""ACOX1"", ""ADRA2A"", ""ATF2"", ""HIP1"", ""TARBP2"", ""KYAT1"", ""RABEP1"", ""GRPEL1"", ""GBP2"", ""S100P"", ""S100A13"", ""NOS2"", ""BCL2L1"", ""TFRC"", ""COMMD1"", ""ZNF174"", ""ZHX2"", ""MASP1"", ""GGCT"", ""SHMT1"", ""ATP5IF1"", ""HIP1R"", ""NUDT5"", ""GLB1"", ""S100A16"", ""IL17A"", ""CBS"", ""TIMM10"", ""HARS1"", ""PKD2"", ""RBPMS"", ""TPR"", ""PRKRA"", ""IMPA1"", ""PARK7"", ""HPGDS"", ""SNX2"", 
""CALCOCO2"", ""TP53I3"", ""MYOM3"", ""LRRFIP1"", ""RRM2"", ""PAXX"", ""BNIP3L"", ""AGXT"", ""IKBKG"", ""AXIN1"", ""CHMP1A"", ""DPY30"", ""TRIM5"", ""PDGFRA"", ""BST2"", ""XCL1"", ""RBPMS2"", ""GBP1"", ""CR2"", ""NPM1"", ""NUDT16"", ""GLA"", ""SETMAR"", ""BAX"", ""CEP43"", ""GBP4"", ""MSTN"", ""ERP29"", ""ADD1"", ""CORO1A"", ""FLT4"", ""ZBTB16"", ""WARS1"")"
"3127","9984",NA,NA,"GOMF_PROTEIN_KINASE_ACTIVITY","GO:0004672","Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP. [MetaCyc:PROTEIN-KINASE-RXN]","0.243105209397344","0.788362523563949","0.0817515582532145","-0.301446222785576","-1.12735287062261","112","c(""STK24"", ""CIT"", ""TXK"", ""PTK7"", ""SLK"", ""CAMKK1"", ""IRAK4"", ""PRKCQ"", ""SRPK2"", ""EPHA2"", ""INSR"", ""PRKAB1"", ""PIKFYVE"", ""MINK1"", ""STK11"", ""MAPK13"", ""ARAF"", ""CDKL5"", ""BRD2"", ""AKT3"", ""CDC42BPB"", ""MAP2K1"", ""EPHA1"", ""ABL1"", ""DAPK2"", ""CSNK2A1"", ""CRIM1"", ""NEK7"", ""FGR"", ""BRSK2"", ""AKT2"", ""MAP4K5"", ""PAK4"", ""MAPK9"")"
"3128","9990",NA,NA,"GOMF_PROTEIN_KINASE_C_BINDING","GO:0005080","Binding to protein kinase C. [GOC:jl]","0.823178016726404","1","0.0307037368093842","-0.269671711615807","-0.743945451997941","15","c(""C1QBP"", ""ABL1"", ""PDLIM5"", ""TOP2B"", ""PRKD2"", ""ADAM9"", ""SDC4"", ""SRC"", ""TWF2"")"
"3129","9991",NA,NA,"GOMF_PROTEIN_LIPID_COMPLEX_BINDING","GO:0071814","Binding to a protein-lipid complex, any macromolecular complex that contains both protein and lipid molecules. [GOC:BHF, GOC:mah]","0.269230769230769","0.822907456528146","0.219250346703755","0.290547610742937","1.11863670099703","17","c(""APOE"", ""APCS"", ""APOA2"", ""LDLR"", ""COLEC12"", ""PCSK9"")"
