Row,FC_ad_adnc,log10 LFC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,,
AGBL2,0.70349964,-0.152736121,-0.749296179,0.462855617,,,,,,,,,,,,,,,,
AGER,0.418942476,-0.377845605,-0.513459144,0.613549392,,,,,,,,,,,,,,,,
AGR2,0.565620304,-0.247475009,-0.660841959,0.516647148,,,,,,,,,,,,,,,,
AGR3,1.096731881,0.040100468,0.03478567,0.972613504,,,,,,,,,,,,,,,,
AGRN,1.196244883,0.077820093,0.740267232,0.468187607,,,,,,,,,,,,,,,,
AGRP,1.328821887,0.123466773,0.636904859,0.53178646,,,,,,,,,,,,,,,,
AGT,1.17575968,0.070318563,0.422445194,0.677442235,,,,,,,,,,,,,,,,
AGXT,0.986184238,-0.006041943,-0.890429287,0.384372125,,,,,,,,,,,,,,,,
AHCY,0.673693316,-0.171537762,-1.255364547,0.224566996,,,,,,,,,,,,,,,,
AHNAK,0.54522217,-0.263426493,-0.662476522,0.515622213,,,,,,,,,,,,,,,,
AHNAK2,0.53139021,-0.274586451,-0.910746049,0.373839386,,,,,,,,,,,,,,,,
AHSA1,0.537163585,-0.269893437,-1.04441054,0.309402181,,,,,,,,,,,,,,,,
AHSG,0.568022186,-0.245634701,-1.35760427,0.190496279,,,,,,,,,,,,,,,,
AHSP,0.620027131,-0.207589306,-0.772359,0.449403223,,,,,,,,,,,,,,,,
AIDA,0.470787065,-0.327175478,-0.959784187,0.349219473,,,,,,,,,,,,,,,,
AIF1,0.626996552,-0.202734847,-0.518481599,0.610108163,,,,,,,,,,,,,,,,
AIF1L,0.489389673,-0.310345199,-0.731629302,0.473322931,,,,,,,,,,,,,,,,
AIFM1,0.499691733,-0.301297835,-0.795351371,0.436233145,,,,,,,,,,,,,,,,
AK1,0.710110633,-0.148673985,-1.488317074,0.153077575,,,,,,,,,,,,,,,,
AK2,0.451364321,-0.345472774,-0.860578906,0.400199627,,,,,,,,,,,,,,,,
AKAP12,0.48860429,-0.311042724,-1.227370314,0.234674117,,,,,,,,,,,,,,,,
AKR1B1,0.96001726,-0.017720959,-0.355939448,0.725807452,,,,,,,,,,,,,,,,
AKR1B10,0.62913101,-0.201258908,-0.682599186,0.503098447,,,,,,,,,,,,,,,,
AKR1C4,1.779083726,0.250196387,-0.56102116,0.58133997,,,,,,,,,,,,,,,,
AKR7L,0.930104048,-0.031468465,-0.993582869,0.332912067,,,,,,,,,,,,,,,,
AKT1S1,0.394555236,-0.403892189,-1.168060379,0.257231089,,,,,,,,,,,,,,,,
AKT2,0.350591289,-0.455198879,-1.021010805,0.32007459,,,,,,,,,,,,,,,,
AKT3,0.393167357,-0.405422547,-1.146823563,0.265692015,,,,,,,,,,,,,,,,
ALCAM,0.770008498,-0.113504482,-0.057236213,0.954954683,,,,,,,,,,,,,,,,
ALDH1A1,0.912006692,-0.040001975,-0.558929304,0.582738494,,,,,,,,,,,,,,,,
ALDH2,0.592817544,-0.227078952,-2.122230064,0.047186061,,,,,,,,,,,,,,,,
ALDH3A1,0.981913432,-0.007926799,-0.622243789,0.541177735,,,,,,,,,,,,,,,,
ALDH5A1,0.57065056,-0.243629752,-1.544484028,0.138964204,,,,,,,,,,,,,,,,
ALMS1,0.531819352,-0.274235864,-0.648936505,0.52414663,,,,,,,,,,,,,,,,
