Aggregated,pathway,gs_number,gs_description,pval,padj,log2err,ES,NES,size,leadingEdge
NA,GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,GO:0003206,The process in which a cardiac chamber is generated and organized. A cardiac chamber is an enclosed cavity within the heart. [GOC:mtg_heart],0.762276786,0.921805789,0.031133514,-0.232944961,-0.825087142,51,"c(""BMP7"", ""FGFR2"", ""HEG1"", ""SFRP2"", ""NOTCH1"", ""WNT5A"", ""SMARCD3"", ""TGFB2"", ""DHRS3"", ""FZD2"", ""RBM15"", ""ENG"", ""SLIT2"", ""RBP4"", ""NRP2"", ""TGFBR3"", ""NRP1"", ""DNAH11"")"
NA,GOBP_CARDIAC_CONDUCTION,GO:0061337,"Transfer of an organized electrical impulse across the heart to coordinate the contraction of cardiac muscles. The process begins with generation of an action potential (in the sinoatrial node (SA) in humans) and ends with a change in the rate, frequency, or extent of the contraction of the heart muscles. [GOC:dph]",9.81E-05,0.002948966,0.538434096,0.428557719,1.999569769,49,"c(""BIN1"", ""CTNNA3"", ""SRI"", ""CACNB2"", ""ATP1B2"", ""ATP1A3"", ""CALM3"", ""ATP1A1"", ""ATP1B1"", ""CAMK2D"", ""EHD3"", ""ANK2"", ""ATP1A2"", ""SPTBN4"", ""ATP2B1"", ""YWHAE"", ""GJA1"", ""ATP2B4"", ""SLC8A1"", ""SCN3B"", ""SLC8A2"")"
NA,GOBP_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT,GO:0003161,"The process whose specific outcome is the progression of the cardiac conduction system over time, from its formation to the mature structure. The cardiac conduction system consists of specialized cardiomyocytes that regulate the frequency of heart beat. [GOC:mtg_heart]",0.484126984,0.753198846,0.12267919,0.307165826,0.944185362,12,"c(""CDC42"", ""GJA1"", ""MSX1"", ""NPPA"", ""HOPX"", ""SMAD4"", ""TBX18"")"
NA,GOBP_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,GO:0060317,"A transition where a cardiac epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell. [GOC:BHF, GOC:dph, PMID:16314491, PMID:1996351]",0.469717362,0.741136716,0.062386149,-0.374457902,-0.98822497,13,"c(""NOTCH1"", ""PDCD4"", ""TGFB2"", ""ENG"", ""TGFBR3"")"
NA,GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,GO:0086001,"An action potential that occurs in a cardiac muscle cell. [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]",1.08E-07,1.38E-05,0.704975715,0.613638428,2.701420193,36,"c(""DMD"", ""BIN1"", ""CTNNA3"", ""DLG1"", ""SNTA1"", ""CACNB2"", ""CALM3"", ""ATP1A1"", ""ATP1B1"", ""CAMK2D"", ""ANK2"", ""ATP1A2"", ""YWHAE"", ""FGF12"", ""GJA1"", ""NEDD4L"", ""SLC8A1"", ""SCN3B"", ""ANK3"")"
NA,GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION,GO:0086002,"An action potential that occurs in a cardiac muscle cell and is involved in its contraction. [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]",3.67E-05,0.001398322,0.557332239,0.610330551,2.362449284,23,"c(""BIN1"", ""CTNNA3"", ""DLG1"", ""SNTA1"", ""CACNB2"", ""ATP1A1"", ""ANK2"", ""FGF12"", ""GJA1"", ""NEDD4L"", ""SCN3B"")"
NA,GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,GO:0086003,"The actin filament-based process in which cytoplasmic actin filaments slide past one another resulting in contraction of a cardiac muscle cell. [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]",6.58E-05,0.002198395,0.538434096,0.51636173,2.249695067,34,"c(""BIN1"", ""CTNNA3"", ""DLG1"", ""SNTA1"", ""SRI"", ""CACNB2"", ""GSN"", ""ATP1A1"", ""CAMK2D"", ""ANK2"", ""ATP1A2"", ""FGF12"", ""GJA1"", ""NEDD4L"", ""SCN3B"", ""PIK3CA"", ""SUMO1"", ""CACNA2D1"", ""SLC9A1"")"
NA,GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,GO:0055007,"The process in which a cardiac muscle precursor cell acquires specialized features of a cardiac muscle cell. Cardiac muscle cells are striated muscle cells that are responsible for heart contraction. [GOC:devbiol, GOC:mtg_heart]",0.826771654,0.952450821,0.133554955,0.176957189,0.816910693,46,"c(""PLEC"", ""NEBL"", ""ARRB2"", ""GSK3A"", ""PI16"")"
NA,GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,GO:0099622,"The process in which ions are transported across the plasma membrane of a cardiac muscle cell such that the membrane potential changes in the repolarizing direction, toward the steady state potential. For example, the repolarization during an action potential is from a positive membrane potential towards a negative resting potential. [GOC:BHF]",0.107142857,0.349369649,0.276500599,0.418088079,1.387635484,14,"c(""SNTA1"", ""ATP1A1"", ""ATP1B1"", ""ANK2"", ""YWHAE"", ""GJA1"", ""NPPA"", ""WDR1"", ""CACNA2D1"")"
NA,GOBP_CARDIAC_MUSCLE_CELL_PROLIFERATION,GO:0060038,"The expansion of a cardiac muscle cell population by cell division. [GOC:dph, GOC:rph, PMID:11161571]",0.719898606,0.902813974,0.039840695,-0.285206628,-0.815918308,18,"c(""FGFR2"", ""ARID2"", ""NOTCH1"", ""TGFB2"", ""RBP4"", ""TGFBR3"", ""YAP1"")"
