gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
CD8A,0.506012468,6.463718213,2.266590891,0.027371348,0.084763327,-4.333019121,Inflammation/Immune/Stress/Toxic/Detox,0.085542169
ORC5,0.493115528,7.547851776,2.266087676,0.027404162,0.084822406,-4.315091183,NA,0.212048193
DDHD1,0.615360539,6.653423842,2.262498668,0.02763921,0.085475933,-4.34262307,NA,0.15060241
MLF1,0.516091932,7.170593954,2.262020343,0.027670671,0.085475933,-4.32530125,NA,0.160240964
PRKAA1,0.524665833,6.815925589,2.262232521,0.027656711,0.085475933,-4.326896693,NA,0.095180723
UBE2B,0.426247463,6.768314011,2.262095273,0.02766574,0.085475933,-4.340705277,Metabolism (other),0.128915663
KCNQ1,0.52161671,6.562870712,2.261352675,0.027714638,0.085568944,-4.338706098,Transport,0.097590361
AP3D1,0.595514626,7.286732078,2.26079351,0.027751507,0.085608291,-4.323608301,Transport,0.175903614
CDC25A,0.488357769,6.575919086,2.260685802,0.027758614,0.085608291,-4.344740216,Development (cell cycle),0.096385542
MT1G,0.579383777,6.959810299,2.260528859,0.027768973,0.085608291,-4.329865932,NA,0.125301205
IL27,0.526542868,6.640985901,2.2600739,0.02779902,0.085658158,-4.339675978,Inflammation/Immune/Stress/Toxic/Detox,0.104819277
MOSPD2,0.571759866,6.528973276,2.257623698,0.027961337,0.086115341,-4.354793621,NA,0.118072289
ASTN2,0.440596913,7.000906534,2.255064295,0.028131785,0.08640169,-4.349369422,NA,0.15060241
LGALS3BP,0.620339824,7.138624259,2.254609367,0.028162177,0.08640169,-4.339888958,Development (apoptosis),0.165060241
LGALS3BP,0.620339824,7.138624259,2.254609367,0.028162177,0.08640169,-4.339888958,Inflammation/Immune/Stress/Toxic/Detox,0.165060241
LGALS3BP,0.620339824,7.138624259,2.254609367,0.028162177,0.08640169,-4.339888958,Matrisome/cell adhesion/binding/signaling,0.165060241
LPAR6,-0.509481644,6.984104937,-2.255640592,0.028093325,0.08640169,-4.399844916,NA,0.104819277
MED9,0.433339461,7.321293382,2.254889875,0.028143434,0.08640169,-4.342930678,NA,0.192771084
PAK3,0.738561191,6.179856793,2.254548422,0.028166251,0.08640169,-4.343745355,NA,0.060240964
SIGLEC1,0.670898073,6.135040003,2.255054313,0.028132451,0.08640169,-4.350304872,Inflammation/Immune/Stress/Toxic/Detox,0.060240964
SPRY4,-0.535279761,7.485581463,-2.255618597,0.028094792,0.08640169,-4.363269318,NA,0.097590361
STARD3NL,0.461833232,6.796352319,2.254728541,0.028154213,0.08640169,-4.359772004,Metabolism or Transport (lipid),0.151807229
HOXA3,0.455277787,6.627042447,2.2542116,0.028188775,0.086427849,-4.366443999,Development (differentiation),0.119277108
PRKCQ,0.45231353,6.494353119,2.252397558,0.028310358,0.086728633,-4.376214084,NA,0.138554217
STT3A,0.505487162,7.340753225,2.252328922,0.028314967,0.086728633,-4.34359301,NA,0.18313253
DAPK2,0.57416735,6.507641321,2.250689337,0.028425273,0.086994838,-4.370750101,Development (apoptosis),0.108433735
SYF2,0.522468948,6.974543229,2.250618395,0.028430054,0.086994838,-4.349976506,NA,0.124096386
MARK3,0.560889252,7.343678749,2.250300391,0.028451495,0.087017327,-4.347838744,NA,0.180722892
APP,0.836992048,8.567368599,2.249965922,0.028474062,0.087043235,-4.365429634,Amyloid,0.693975904
PSMD3,0.429186939,7.205362035,2.249016401,0.028538214,0.087196174,-4.359264884,Metabolism (other),0.184337349
HAVCR2,0.537840076,7.209843865,2.248584199,0.028567456,0.08721317,-4.350448496,NA,0.163855422
STMN2,0.656521823,5.767724137,2.248516738,0.028572023,0.08721317,-4.387260839,NA,0.062650602
ARFGAP1,0.438339322,7.451809258,2.24699857,0.028674967,0.087446297,-4.355479666,NA,0.202409639
SLC16A1,0.444330862,6.448283842,2.24697274,0.028676721,0.087446297,-4.382444998,Transport,0.095180723
ALDOB,0.513733926,7.051178544,2.246729265,0.028693262,0.08745355,-4.358678995,Metabolism (other),0.119277108
SHMT2,0.451675164,6.767968082,2.245988366,0.028743648,0.087563901,-4.374601103,Metabolism (other),0.114457831
