gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
ATF2,-1.463864443,0.809582609,-2.090299874,0.049745668,0.272211969,-4.126616522,,,,,,,,,,,,,,,,,,,
ATP5F1D,-1.533147201,-0.954528261,-2.08449319,0.050323933,0.272211969,-4.129843769,,,,,,,,,,,,,,,,,,,
ATP6V1D,-1.783110321,1.65395,-2.872344451,0.009501304,0.272211969,-3.672152602,,,,,,,,,,,,,,,,,,,
ATP6V1F,-1.884624589,2.401719565,-2.439434176,0.024286913,0.272211969,-3.927302668,,,,,,,,,,,,,,,,,,,
ATXN2,-1.454523375,-1.085384783,-2.535539447,0.019801264,0.272211969,-3.871099092,,,,,,,,,,,,,,,,,,,
AXIN1,-1.305892023,-0.091736957,-2.094635531,0.049317816,0.272211969,-4.124204578,,,,,,,,,,,,,,,,,,,
BABAM1,-1.67704198,-0.510041304,-2.451296118,0.023685895,0.272211969,-3.920388294,,,,,,,,,,,,,,,,,,,
BACH1,-1.3364169,1.504793478,-2.449123893,0.023794908,0.272211969,-3.921655011,,,,,,,,,,,,,,,,,,,
BAG4,-2.006453554,3.80693913,-2.066725536,0.052131202,0.272211969,-4.139696799,,,,,,,,,,,,,,,,,,,
BAG6,-1.359667363,0.301678261,-2.329203494,0.030591858,0.272211969,-3.991187127,,,,,,,,,,,,,,,,,,,
BAIAP2,-2.203759372,4.036791304,-2.377989572,0.02763425,0.272211969,-3.963000536,,,,,,,,,,,,,,,,,,,
BAP18,-2.937362749,-1.451658696,-2.234255759,0.037202412,0.272211969,-4.045577558,,,,,,,,,,,,,,,,,,,
BCAT2,-2.297107653,0.379580435,-2.522513478,0.020360064,0.272211969,-3.878739614,,,,,,,,,,,,,,,,,,,
BCL2L1,-1.946441067,1.773217391,-2.438349114,0.024342595,0.272211969,-3.927934805,,,,,,,,,,,,,,,,,,,
BCL7B,-2.092287298,0.562436957,-3.045851446,0.006448173,0.272211969,-3.569520063,,,,,,,,,,,,,,,,,,,
BDNF,-1.957420835,-1.026593478,-2.543459336,0.019468588,0.272211969,-3.866450492,,,,,,,,,,,,,,,,,,,
BHLHE40,-2.665335452,-3.514071739,-2.148249552,0.04429534,0.272211969,-4.094224081,,,,,,,,,,,,,,,,,,,
BLMH,-1.2892011,1.886241304,-2.369965554,0.028101734,0.272211969,-3.967646575,,,,,,,,,,,,,,,,,,,
BLNK,-2.110819594,4.216302174,-2.233933225,0.037226949,0.272211969,-4.04576116,,,,,,,,,,,,,,,,,,,
BLOC1S2,-2.911795479,-1.559015217,-2.336913203,0.030105757,0.272211969,-3.986742798,,,,,,,,,,,,,,,,,,,
BLVRB,-1.6014543,4.371545652,-2.502476383,0.021248611,0.272211969,-3.890479588,,,,,,,,,,,,,,,,,,,
BMP10,-2.044845677,-2.663758696,-2.32584411,0.03080593,0.272211969,-3.993122449,,,,,,,,,,,,,,,,,,,
BNIP2,-1.451134698,1.088108696,-2.493865587,0.02164152,0.272211969,-3.895519686,,,,,,,,,,,,,,,,,,,
BOLA1,-2.131776068,2.102197826,-2.923407572,0.008481784,0.272211969,-3.641914015,,,,,,,,,,,,,,,,,,,
BPIFB1,-2.276074903,-7.15236087,-2.169328409,0.042451322,0.272211969,-4.08236183,,,,,,,,,,,,,,,,,,,
BRAP,-2.21476909,1.035223913,-2.442073766,0.024151953,0.272211969,-3.925764644,,,,,,,,,,,,,,,,,,,
BRD2,-2.18427653,-2.472602174,-2.293766044,0.032920883,0.272211969,-4.011563805,,,,,,,,,,,,,,,,,,,
BTC,-0.99790027,5.388791304,-2.420544794,0.025273437,0.272211969,-3.93829867,,,,,,,,,,,,,,,,,,,
C1QBP,-1.615782474,2.291293478,-2.67503464,0.014656661,0.272211969,-3.788939167,,,,,,,,,,,,,,,,,,,
C2orf69,-1.58038411,1.940984783,-2.814418613,0.010800184,0.272211969,-3.706464109,,,,,,,,,,,,,,,,,,,
C7orf50,-1.437339688,1.022345652,-2.0730544,0.051480851,0.272211969,-4.136190954,,,,,,,,,,,,,,,,,,,
C9orf40,-2.233232668,0.453652174,-2.161198681,0.043154087,0.272211969,-4.086941721,,,,,,,,,,,,,,,,,,,
CABP2,-2.467045014,0.84476087,-2.074761571,0.05130668,0.272211969,-4.135244547,,,,,,,,,,,,,,,,,,,
CACNA1H,-1.463397641,-0.52145,-3.013738174,0.006930571,0.272211969,-3.588484271,,,,,,,,,,,,,,,,,,,
CACNB1,-2.594590804,0.832213043,-2.765469014,0.012028636,0.272211969,-3.735451097,,,,,,,,,,,,,,,,,,,
CACNB3,-3.013815006,4.747204348,-2.698654768,0.01392197,0.272211969,-3.774980619,,,,,,,,,,,,,,,,,,,
CALCOCO1,-2.142464307,-0.413130435,-2.364384768,0.028431189,0.272211969,-3.970875664,,,,,,,,,,,,,,,,,,,
CALCOCO2,-1.112436962,5.460402174,-2.083647388,0.050408667,0.272211969,-4.130313558,,,,,,,,,,,,,,,,,,,
CAMKK1,-2.062769377,4.261143478,-2.188469864,0.040837641,0.272211969,-4.071555027,,,,,,,,,,,,,,,,,,,
CAMSAP1,-2.142444899,2.350378261,-2.312918313,0.031642584,0.272211969,-4.000561872,,,,,,,,,,,,,,,,,,,
CASP3,-1.774691382,3.34678913,-3.291618228,0.00369355,0.272211969,-3.425298933,,,,,,,,,,,,,,,,,,,
CASP7,-1.569673939,2.279147826,-2.188505491,0.04083469,0.272211969,-4.071534882,,,,,,,,,,,,,,,,,,,
CASP8,-1.939658153,-1.897886957,-2.635015161,0.015986046,0.272211969,-3.812563436,,,,,,,,,,,,,,,,,,,
CBLIF,-2.346688876,-4.148106522,-2.122114226,0.046682635,0.272211969,-4.108873902,,,,,,,,,,,,,,,,,,,
CCAR2,-2.128276564,2.745434783,-2.282703472,0.033680763,0.272211969,-4.017906798,,,,,,,,,,,,,,,,,,,
CCNE1,-1.941354495,2.900554348,-2.489941441,0.021822827,0.272211969,-3.897815532,,,,,,,,,,,,,,,,,,,
CCT5,-0.967786696,1.47775,-2.383758957,0.027302595,0.272211969,-3.959657616,,,,,,,,,,,,,,,,,,,
CD200R1,-1.530576296,-5.176917391,-2.144191068,0.044658634,0.272211969,-4.096503282,,,,,,,,,,,,,,,,,,,
CD2AP,-1.679296749,4.468097826,-2.262536001,0.035107737,0.272211969,-4.02944718,,,,,,,,,,,,,,,,,,,
CD300E,-1.707871136,-2.091343478,-2.186306775,0.04101715,0.272211969,-4.07277788,,,,,,,,,,,,,,,,,,,
CD300LG,-1.697558876,-1.098213043,-2.754909116,0.012310605,0.272211969,-3.741702171,,,,,,,,,,,,,,,,,,,
CD34,-1.667767937,-3.797119565,-2.230481527,0.037490471,0.272211969,-4.047725508,,,,,,,,,,,,,,,,,,,
CD5L,-2.218542186,1.50123913,-2.250830398,0.035961259,0.272211969,-4.036131348,,,,,,,,,,,,,,,,,,,
CDAN1,-0.633157057,0.685152174,-2.099435452,0.048848029,0.272211969,-4.12153212,,,,,,,,,,,,,,,,,,,
CDC26,-1.49342916,2.801056522,-2.067360235,0.052065648,0.272211969,-4.139345403,,,,,,,,,,,,,,,,,,,
CDC37,-1.599354661,5.543223913,-2.154806759,0.043714045,0.272211969,-4.090538367,,,,,,,,,,,,,,,,,,,
CDC42BPB,-1.778558623,1.062978261,-2.367165432,0.028266591,0.272211969,-3.969266985,,,,,,,,,,,,,,,,,,,
CDH1,-1.516354304,-0.313684783,-2.341888611,0.02979586,0.272211969,-3.983872628,,,,,,,,,,,,,,,,,,,
CDH4,-1.917482047,-1.364847826,-3.197880804,0.004572614,0.272211969,-3.480077382,,,,,,,,,,,,,,,,,,,
CEMIP2,-1.516779008,-3.516693478,-2.848930283,0.010007199,0.272211969,-3.686021566,,,,,,,,,,,,,,,,,,,
CENPF,-1.515324078,-0.522617391,-2.720992882,0.013259454,0.272211969,-3.761771144,,,,,,,,,,,,,,,,,,,
CEP112,-1.733914693,3.57285,-2.598769036,0.017287841,0.272211969,-3.833926708,,,,,,,,,,,,,,,,,,,
CEP164,-1.454671631,0.576393478,-2.920886161,0.008529556,0.272211969,-3.643406742,,,,,,,,,,,,,,,,,,,
CEP20,-1.812726923,0.174808696,-2.195220294,0.040282039,0.272211969,-4.067736203,,,,,,,,,,,,,,,,,,,
CERT1,-2.405508024,0.622371739,-2.465143353,0.023001866,0.272211969,-3.912308047,,,,,,,,,,,,,,,,,,,
CES1,-2.696134881,0.264852174,-2.560922669,0.018753521,0.272211969,-3.856192421,,,,,,,,,,,,,,,,,,,
CETN2,-1.713396388,5.699532609,-2.657472782,0.015226597,0.272211969,-3.799310571,,,,,,,,,,,,,,,,,,,
CETN3,-1.867952724,3.506293478,-2.757512159,0.01224052,0.272211969,-3.740161363,,,,,,,,,,,,,,,,,,,
CHAC2,-0.963041481,2.20845,-2.219619624,0.038330918,0.272211969,-4.053900655,,,,,,,,,,,,,,,,,,,
CHCHD10,-1.758842981,3.955754348,-2.259408257,0.035333958,0.272211969,-4.031234223,,,,,,,,,,,,,,,,,,,
CHM,-1.530789177,5.073102174,-2.50902464,0.020954303,0.272211969,-3.886644671,,,,,,,,,,,,,,,,,,,
CIAPIN1,-1.089257772,5.244206522,-2.112945215,0.047547415,0.272211969,-4.113997777,,,,,,,,,,,,,,,,,,,
CINP,-0.852158682,1.121719565,-2.293426871,0.032943944,0.272211969,-4.011758409,,,,,,,,,,,,,,,,,,,
CIT,-1.822223705,1.66781087,-2.998713666,0.007168072,0.272211969,-3.597363219,,,,,,,,,,,,,,,,,,,
CKMT1A_CKMT1B,-2.821957866,0.877593478,-2.881504681,0.00931014,0.272211969,-3.66672709,,,,,,,,,,,,,,,,,,,
CLEC4C,-1.857933772,-4.82245,-3.443291239,0.002609224,0.272211969,-3.337455398,,,,,,,,,,,,,,,,,,,
CLEC6A,-1.442598072,-1.006134783,-2.303112888,0.032291203,0.272211969,-4.006197756,,,,,,,,,,,,,,,,,,,
