"","X.1","X","show","Aggregated","pathway","gs_number.x","gs_description.x","gs_number.y","gs_description.y","pval","padj","log2err","ES","NES","size","leadingEdge"
"919","8381","8381",NA,NA,"GOCC_ORGANELLE_SUBCOMPARTMENT","GO:0031984","A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle. [GOC:mah, GOC:pz]","GO:0031984","A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle. [GOC:mah, GOC:pz]","0.961038961038961","1","0.00918593980608508","-0.298431443866995","-0.791534261582601","80","c(""RPS27A"", ""CHST6"", ""CYP3A5"", ""CNIH2"", ""FMO2"", ""CDS1"", ""XBP1"", ""OST4"", ""ERGIC2"", ""GPR37"", ""PYURF"", ""MMP27"", ""CYP4F8"", ""SLN"", ""BET1"", ""ALG3"", ""AHCYL1"", ""EXTL2"", ""STBD1"", ""ATG9A"", ""PIGV"", ""YIPF4"", ""GALNT1"", ""ALG10"")"
"920","8386","8386",NA,NA,"GOCC_OUTER_MEMBRANE","GO:0019867","The external membrane of Gram-negative bacteria or certain organelles such as mitochondria and chloroplasts; freely permeable to most ions and metabolites. [GOC:go_curators]","GO:0019867","The external membrane of Gram-negative bacteria or certain organelles such as mitochondria and chloroplasts; freely permeable to most ions and metabolites. [GOC:go_curators]","0.790890269151139","1","0.025411808387565","-0.363787023221836","-0.805721820967278","11","RPS27A"
"921","8403","8403",NA,NA,"GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM","GO:0048471","Cytoplasm situated near, or occurring around, the nucleus. [GOC:jid]","GO:0048471","Cytoplasm situated near, or occurring around, the nucleus. [GOC:jid]","0.595404595404595","1","0.0376142599562161","-0.371943012317161","-0.962373501580189","49","c(""FMR1"", ""GTPBP4"", ""CDK5R1"", ""SLK"", ""KCNH2"", ""HMGB2"", ""ST8SIA2"", ""TRIP10"", ""RAD51"", ""SLC5A1"", ""CYLC2"", ""STBD1"", ""HSPA1B"", ""ITM2C"", ""GALNT1"", ""PTPN22"", ""TF"", ""SNAPIN"", ""MTDH"", ""TMEM192"", ""OPTN"", ""VPS50"", ""CDH1"")"
"922","8430","8430",NA,NA,"GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX","GO:0098797","Any protein complex that is part of the plasma membrane. [GOC:dos]","GO:0098797","Any protein complex that is part of the plasma membrane. [GOC:dos]","0.675025075225677","1","0.0318534652552707","-0.374352031669652","-0.914937681914151","26","c(""CNIH2"", ""KCNH2"", ""ITGAL"", ""TGFBR1"", ""CD8B"", ""NOX1"", ""TF"", ""CNIH3"", ""KCNMB1"", ""CACNB1"", ""APH1B"", ""CD40"", ""RAMP3"", ""CHRNB3"", ""CDH1"", ""CTNNB1"", ""KCNJ14"", ""ATP1A1"", ""CSF2RA"", ""IL12RB1"", ""OSMR"")"
"923","8432","8432",NA,NA,"GOCC_PLASMA_MEMBRANE_REGION","GO:0098590","A membrane that is a (regional) part of the plasma membrane. [GOC:dos]","GO:0098590","A membrane that is a (regional) part of the plasma membrane. [GOC:dos]","0.528471528471528","1","0.0431036828790402","-0.374692919053494","-0.988640958739508","70","c(""FMR1"", ""TCTN2"", ""VANGL2"", ""BBS5"", ""ABHD17C"", ""SPHK1"", ""SLC4A9"", ""CNIH2"", ""SLC10A2"", ""THBD"", ""ICAM2"", ""SLC22A1"", ""ABCC3"", ""SRPX2"", ""SLC7A1"", ""SLC5A1"", ""DPP4"", ""RHOB"", ""AHCYL1"", ""SLC19A1"")"
"924","8433","8433",NA,NA,"GOCC_PLASMA_MEMBRANE_SIGNALING_RECEPTOR_COMPLEX","GO:0098802","Any protein complex that is part of the plasma membrane and which functions as a signaling receptor. [GOC:dos]","GO:0098802","Any protein complex that is part of the plasma membrane and which functions as a signaling receptor. [GOC:dos]","0.582150101419878","1","0.0393561959521291","-0.410187158390557","-0.946240359466285","14","c(""CNIH2"", ""ITGAL"", ""TGFBR1"", ""CD8B"", ""TF"", ""CNIH3"", ""CD40"", ""RAMP3"", ""CHRNB3"", ""CSF2RA"", ""IL12RB1"", ""OSMR"")"
"925","8449","8449",NA,NA,"GOCC_POSTSYNAPSE","GO:0098794","The part of a synapse that is part of the post-synaptic cell. [GOC:dos]","GO:0098794","The part of a synapse that is part of the post-synaptic cell. [GOC:dos]","0.018812166460865","1","0.352487857583619","-0.554536341771887","-1.37160948348455","28","c(""RPL8"", ""FMR1"", ""ABHD17C"", ""BAALC"", ""CNIH2"", ""CDK5R1"")"
"926","8456","8456",NA,NA,"GOCC_POSTSYNAPTIC_MEMBRANE","GO:0045211","A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane. [ISBN:0198506732]","GO:0045211","A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane. [ISBN:0198506732]","0.202040816326531","1","0.0919686140000427","-0.522965892410481","-1.1950923066343","13","c(""FMR1"", ""ABHD17C"", ""CNIH2"")"
"927","8468","8468",NA,NA,"GOCC_PRESYNAPSE","GO:0098793","The part of a synapse that is part of the presynaptic cell. [GOC:dos]","GO:0098793","The part of a synapse that is part of the presynaptic cell. [GOC:dos]","0.865596790371113","1","0.0182442460385585","-0.326324573285446","-0.794996626522232","25","c(""FMR1"", ""SPHK1"", ""CDK5R1"", ""SLC6A12"", ""SLC22A1"", ""SYNGR3"", ""NECTIN1"", ""SNAPIN"", ""VPS45"", ""CTNNB1"", ""ATCAY"", ""KCNJ10"", ""TMED9"", ""GLUL"", ""IGSF21"", ""RAB5B"")"
"928","8515","8515",NA,NA,"GOCC_RECEPTOR_COMPLEX","GO:0043235","Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:go_curators]","GO:0043235","Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:go_curators]","0.783350050150451","1","0.024215353215022","-0.352840317315094","-0.859594664117328","25","c(""CNIH2"", ""ITGAL"", ""TGFBR1"", ""CD8B"", ""GPR37"", ""CD200R1"", ""TF"", ""CNIH3"", ""TNFRSF1A"", ""CD40"", ""RAMP3"", ""CHRNB3"", ""IL12RB2"", ""RNMT"", ""CSF2RA"", ""IL12RB1"", ""GABRG1"", ""OSMR"", ""CAPRIN2"")"
"929","8516","8516",NA,NA,"GOCC_RECYCLING_ENDOSOME","GO:0055037","An organelle consisting of a network of tubules that functions in targeting molecules, such as receptors transporters and lipids, to the plasma membrane. [GOC:dph, GOC:jid, GOC:kmv, GOC:rph, PMID:10930469, PMID:15601896, PMID:16246101, PMID:21556374, PMID:21562044]","GO:0055037","An organelle consisting of a network of tubules that functions in targeting molecules, such as receptors transporters and lipids, to the plasma membrane. [GOC:dph, GOC:jid, GOC:kmv, GOC:rph, PMID:10930469, PMID:15601896, PMID:16246101, PMID:21556374, PMID:21562044]","0.731656184486373","1","0.0300618095810087","-0.389510888492745","-0.848663071920065","10","c(""ABHD17C"", ""ST8SIA2"", ""ATG9A"", ""TF"", ""OPTN"", ""VPS50"")"
"930","8527","8527",NA,NA,"GOCC_RIBONUCLEOPROTEIN_COMPLEX","GO:1990904","A macromolecular complex that contains both RNA and protein molecules. [GOC:krc, GOC:vesicles]","GO:1990904","A macromolecular complex that contains both RNA and protein molecules. [GOC:krc, GOC:vesicles]","0.167832167832168","1","0.101713902282311","-0.443337403205165","-1.14484264679717","48","c(""RPL8"", ""CDC5L"", ""FMR1"", ""RPS4X"", ""RPS8"", ""RPS27A"", ""SRRM1"", ""TFIP11"", ""NCL"", ""SRP14"", ""PRPF8"")"
"931","8528","8528",NA,NA,"GOCC_RIBONUCLEOPROTEIN_GRANULE","GO:0035770","A non-membranous macromolecular complex containing proteins and translationally silenced mRNAs. RNA granules contain proteins that control the localization, stability, and translation of their RNA cargo. Different types of RNA granules (RGs) exist, depending on the cell type and cellular conditions. [GOC:go_curators, GOC:sp, PMID:16520386, PMID:20368989, PMID:21436445]","GO:0035770","A non-membranous macromolecular complex containing proteins and translationally silenced mRNAs. RNA granules contain proteins that control the localization, stability, and translation of their RNA cargo. Different types of RNA granules (RGs) exist, depending on the cell type and cellular conditions. [GOC:go_curators, GOC:sp, PMID:16520386, PMID:20368989, PMID:21436445]","0.431886982845611","1","0.052805004567129","-0.445477664471177","-1.03356870288144","15","c(""FMR1"", ""RPS4X"", ""NCL"", ""TRIM21"", ""TDRD7"")"
"932","8530","8530",NA,NA,"GOCC_RIBOSOMAL_SUBUNIT","GO:0044391","Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit. [GOC:jl]","GO:0044391","Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit. [GOC:jl]","0.0224147255302042","1","0.352487857583619","-0.632456060834594","-1.45898143837292","14","c(""RPL8"", ""RPS4X"", ""RPS8"", ""RPS27A"")"
"933","8531","8531",NA,NA,"GOCC_RIBOSOME","GO:0005840","An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins. [ISBN:0198506732]","GO:0005840","An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins. [ISBN:0198506732]","0.0461384152457372","1","0.208955027549354","-0.572342794606947","-1.34993086203491","17","c(""RPL8"", ""RPS4X"", ""RPS8"", ""RPS27A"")"
"934","8541","8541",NA,NA,"GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX","GO:0090575","A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase II. [GOC:tb]","GO:0090575","A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase II. [GOC:tb]","0.39832285115304","1","0.0583452776743612","-0.487471661125658","-1.06209918548293","10","c(""ATF5"", ""XBP1"", ""CHD4"", ""TAF11"", ""TAF5"", ""NFYB"", ""ERCC3"", ""MED26"", ""CTNNB1"")"
"935","8547","8547",NA,NA,"GOCC_RUFFLE","GO:0001726","Projection at the leading edge of a crawling cell; the protrusions are supported by a microfilament meshwork. [ISBN:0124325653]","GO:0001726","Projection at the leading edge of a crawling cell; the protrusions are supported by a microfilament meshwork. [ISBN:0124325653]","0.958333333333333","1","0.208955027549354","0.240888888888889","0.702042891789886","10","PDLIM7"
"936","8561","8561",NA,NA,"GOCC_SECRETORY_GRANULE","GO:0030141","A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules. [GOC:mah, ISBN:0198506732]","GO:0030141","A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules. [GOC:mah, ISBN:0198506732]","0.968031968031968","1","0.00829069833204511","-0.285860466045707","-0.740020375572241","50","c(""ASAH1"", ""ALDOC"", ""SRP14"", ""NLRP5"", ""ITGAL"", ""AGA"", ""STK11IP"", ""F5"", ""CD93"", ""HEBP2"", ""CTSC"", ""EGF"", ""STBD1"", ""HSPA1B"", ""C1orf35"", ""TF"", ""SNAPIN"", ""KIAA1210"", ""TMEM30A"", ""FAM3C"", ""LAIR1"", ""MPO"")"
